Text_Type,Book,Chapter,Window,LGL,GGL,GLG,GL,GG,GGG,GLL,LLG,LGG,G,LL,LLL,LG,L
SN,AS,nidana,1,89,102,122,2,14,98,81,76,94,7,3,56,6,7
SN,AS,nidana,2,90,102,121,2,13,99,81,77,93,8,3,56,6,7
SN,AS,nidana,3,92,101,121,2,13,100,81,76,93,9,3,56,5,7
SN,AS,nidana,4,92,102,119,2,12,97,81,74,93,10,3,54,5,7
SN,AS,nidana,5,92,101,120,2,11,96,80,71,92,11,3,52,5,7
SN,AS,nidana,6,92,94,116,2,10,95,77,70,91,12,3,50,5,7
SN,AS,nidana,7,89,91,111,2,10,96,77,68,82,12,3,47,4,8
SN,AS,nidana,8,82,86,104,2,10,91,71,64,76,13,3,44,4,7
SN,AS,nidana,9,76,86,98,2,10,88,63,57,70,14,3,40,4,7
SN,AS,nidana,10,76,85,97,2,9,89,62,57,68,15,3,39,4,7
SN,AS,nidana,11,78,84,98,2,9,90,62,57,67,16,3,39,4,6
SN,AS,nidana,12,78,85,98,2,9,90,62,58,67,17,3,39,4,6
SN,AS,nidana,13,77,84,96,2,9,88,63,55,63,17,2,38,4,7
SN,AS,nidana,14,75,81,91,1,9,86,61,53,64,18,2,37,4,7
SN,AS,nidana,15,77,81,90,1,9,86,61,50,64,19,2,35,4,6
SN,AS,nidana,16,77,82,90,1,9,87,62,50,65,19,2,35,4,6
SN,AS,nidana,17,76,79,87,1,9,87,62,48,62,20,2,34,4,6
SN,AS,nidana,18,75,79,87,1,9,85,60,48,63,20,2,34,4,6
SN,AS,nidana,19,76,80,87,1,9,86,60,48,62,21,2,34,4,6
SN,AS,nidana,20,74,72,76,1,9,81,55,48,55,22,2,34,4,6
SN,AS,nidana,21,74,72,77,1,9,82,52,46,52,22,2,34,4,6
SN,AS,nidana,22,73,72,75,1,9,82,52,46,49,22,2,34,4,6
SN,AS,nidana,23,74,73,75,1,8,83,52,46,49,23,2,34,4,6
SN,AS,nidana,24,73,72,74,1,8,84,52,46,49,23,2,34,4,6
SN,AS,nidana,25,74,71,75,1,7,85,51,46,50,23,2,34,4,7
SN,AS,nidana,26,74,71,76,1,6,86,50,47,50,23,2,33,4,8
SN,AS,nidana,27,73,71,76,1,6,83,48,47,49,23,2,33,4,8
SN,AS,nidana,28,74,68,75,1,5,84,46,47,50,24,2,33,4,8
SN,AS,nidana,29,75,68,75,1,4,80,46,47,50,25,2,33,4,8
SN,AS,nidana,30,76,67,75,1,4,80,46,47,50,26,2,33,4,8
SN,AS,nidana,31,75,67,71,1,4,80,46,47,51,26,2,33,4,7
SN,AS,nidana,32,74,67,70,1,4,79,44,47,50,25,2,32,5,7
SN,AS,nidana,33,74,67,73,1,3,83,44,47,51,25,2,33,5,7
SN,AS,nidana,34,78,72,79,1,3,94,51,50,60,25,2,42,5,7
SN,AS,nidana,35,83,80,83,2,3,100,52,54,68,24,2,45,5,7
SN,AS,nidana,36,82,80,82,2,3,94,51,54,69,24,2,45,5,7
SN,AS,nidana,37,82,78,82,3,3,93,51,52,68,23,2,46,5,7
SN,AS,nidana,38,83,75,82,3,3,92,51,53,68,24,1,46,5,7
SN,AS,nidana,39,84,75,82,3,3,93,51,52,67,25,1,46,4,7
SN,AS,nidana,40,85,75,82,3,2,92,50,49,68,26,1,46,4,7
SN,AS,nidana,41,84,76,82,3,2,92,50,49,68,27,1,45,3,7
SN,AS,nidana,42,84,74,83,3,2,91,48,50,68,28,1,44,3,6
SN,AS,nidana,43,86,74,83,3,2,91,47,50,67,28,1,44,3,6
SN,AS,nidana,44,86,73,83,3,2,92,47,50,68,29,1,43,2,6
SN,AS,nidana,45,77,66,67,3,2,88,37,46,62,30,1,27,1,6
SN,AS,nidana,46,73,62,61,3,1,84,30,42,59,31,1,26,1,6
SN,AS,nidana,47,65,54,58,3,1,79,27,33,49,32,1,23,1,6
SN,AS,nidana,48,67,54,58,3,0,79,28,32,50,33,1,23,1,6
SN,AS,nidana,49,64,45,51,3,0,71,18,26,40,34,1,15,1,6
SN,AS,nidana,50,64,43,50,3,0,72,18,25,41,35,0,15,1,6
SN,AS,nidana,51,64,44,50,2,0,74,18,25,42,36,0,15,1,6
SN,AS,nidana,52,65,44,52,2,0,73,18,23,42,36,0,15,1,6
SN,AS,nidana,53,65,45,50,2,0,74,18,23,42,36,0,15,1,6
SN,AS,nidana,54,64,46,51,2,0,74,17,24,41,36,0,15,1,6
SN,AS,nidana,55,64,48,50,2,0,74,16,24,41,36,0,15,1,6
SN,AS,nidana,56,62,49,50,2,0,73,17,24,42,36,0,15,1,6
SN,AS,nidana,57,62,49,52,2,0,71,18,22,43,36,0,15,1,6
SN,AS,nidana,58,62,47,53,2,0,71,19,22,43,36,0,15,1,6
SN,AS,nidana,59,61,44,53,2,0,73,19,23,44,36,0,15,1,6
SN,AS,nidana,60,61,43,52,2,0,73,19,24,45,36,0,15,1,6
SN,AS,nidana,61,60,42,52,2,0,75,19,24,45,35,0,15,1,7
SN,AS,nidana,62,60,42,51,2,0,75,20,23,46,35,0,15,1,7
SN,AS,nidana,63,59,43,51,2,0,76,19,23,46,36,0,15,1,6
SN,AS,nidana,64,60,43,50,2,0,75,20,23,46,36,0,15,1,6
SN,AS,nidana,65,59,44,49,2,0,75,20,23,47,35,0,15,1,7
SN,AS,nidana,66,61,44,51,2,0,74,20,23,46,36,0,15,1,7
SN,AS,nidana,67,61,45,52,2,0,73,21,23,46,36,0,15,1,7
SN,AS,nidana,68,61,43,52,2,0,74,22,25,45,36,0,16,1,7
SN,AS,nidana,69,61,42,52,2,0,73,23,27,45,36,0,17,1,7
SN,AS,nidana,70,60,44,54,2,0,74,23,25,45,36,0,17,1,7
SN,AS,nidana,71,59,46,54,2,0,75,23,25,45,35,0,17,1,8
SN,AS,nidana,72,59,44,56,2,0,74,24,25,45,35,0,17,1,8
SN,AS,nidana,73,58,45,57,2,0,74,23,25,45,34,0,17,1,9
SN,AS,nidana,74,59,44,57,2,0,74,23,24,46,35,0,17,1,9
SN,AS,nidana,75,59,44,57,2,0,72,24,25,46,36,0,17,1,8
SN,AS,nidana,76,59,43,57,2,0,72,25,25,46,37,0,17,1,7
SN,AS,nidana,77,59,42,58,2,0,72,25,25,46,38,0,17,1,6
SN,AS,nidana,78,59,42,58,2,0,73,25,26,44,38,0,17,1,6
SN,AS,nidana,79,59,43,59,2,0,74,25,27,43,38,0,17,1,6
SN,AS,nidana,80,60,43,60,2,0,74,25,28,43,38,0,17,1,6
SN,AS,nidana,81,61,43,61,2,0,74,25,28,43,39,0,16,1,6
SN,AS,nidana,82,62,43,60,2,0,75,25,28,43,40,0,16,0,6
SN,AS,nidana,83,62,45,58,2,0,71,25,28,42,41,0,15,0,6
SN,AS,nidana,84,59,40,54,2,0,60,17,24,34,42,0,6,0,6
SN,AS,nidana,85,55,32,50,1,0,54,16,21,26,43,0,3,0,6
SN,AS,nidana,86,56,32,52,1,0,53,16,21,25,44,0,3,0,5
SN,AS,nidana,87,57,32,53,0,0,54,17,21,26,45,0,2,0,5
SN,AS,nidana,88,57,32,54,0,0,55,16,20,26,45,0,2,0,5
SN,AS,nidana,89,57,33,53,0,0,54,16,20,27,45,0,2,0,5
SN,AS,nidana,90,57,34,52,0,0,54,16,20,27,45,0,2,0,5
SN,AS,nidana,91,58,34,53,0,0,53,16,20,26,45,0,2,0,5
SN,AS,nidana,92,58,34,52,0,0,55,15,20,26,45,0,2,0,5
SN,AS,nidana,93,57,34,52,0,0,56,16,19,26,45,0,2,0,5
SN,AS,nidana,94,57,35,52,0,0,57,16,18,25,45,0,2,0,5
SN,AS,nidana,95,57,35,51,0,0,58,16,18,25,45,0,2,0,5
SN,AS,nidana,96,57,36,51,0,0,57,16,19,24,45,0,2,0,5
SN,AS,nidana,97,56,37,51,0,0,56,16,19,25,45,0,2,0,5
SN,AS,nidana,98,56,38,51,0,0,56,15,19,25,45,0,2,0,5
SN,AS,nidana,99,56,38,52,0,0,56,14,19,25,45,0,2,0,5
SN,AS,nidana,100,56,37,51,0,0,55,15,19,27,45,0,2,0,5
SN,AS,nidana,101,56,37,52,0,0,54,15,20,26,45,0,2,0,5
