Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AS,shareera,1,7,12,1,4,4,6,34,39,49,67,41,91,48,65
SN,AS,shareera,2,7,12,1,4,4,6,34,39,49,66,42,91,49,64
SN,AS,shareera,3,7,13,1,3,4,6,35,38,50,67,43,90,48,64
SN,AS,shareera,4,7,13,1,3,4,6,28,35,44,62,40,78,45,61
SN,AS,shareera,5,6,13,1,3,4,6,28,32,43,63,40,81,45,62
SN,AS,shareera,6,6,13,1,3,4,6,27,32,42,63,40,82,44,61
SN,AS,shareera,7,6,14,1,3,4,6,26,30,40,60,40,79,45,59
SN,AS,shareera,8,6,14,1,3,4,6,26,30,42,59,41,78,45,59
SN,AS,shareera,9,6,14,1,3,4,6,27,30,43,58,38,78,47,60
SN,AS,shareera,10,6,14,1,4,4,6,26,30,42,58,37,74,47,57
SN,AS,shareera,11,6,14,1,4,4,7,26,30,40,57,37,74,50,57
SN,AS,shareera,12,6,14,1,4,4,7,28,30,39,57,36,74,50,54
SN,AS,shareera,13,6,14,0,4,4,7,28,27,39,56,37,75,46,52
SN,AS,shareera,14,6,14,0,4,4,7,29,27,36,55,36,77,45,51
SN,AS,shareera,15,6,14,0,4,4,7,29,26,32,53,37,76,44,52
SN,AS,shareera,16,6,14,0,4,3,7,30,26,34,54,36,76,43,53
SN,AS,shareera,17,6,13,0,5,3,7,31,26,33,53,34,76,43,53
SN,AS,shareera,18,5,13,0,5,3,7,32,26,32,51,34,75,43,54
SN,AS,shareera,19,5,14,0,5,2,7,32,24,32,51,34,75,43,56
SN,AS,shareera,20,5,14,0,5,2,7,32,24,32,51,32,75,43,57
SN,AS,shareera,21,5,14,0,5,2,8,30,22,29,51,30,74,43,55
SN,AS,shareera,22,5,14,0,5,2,8,30,22,29,51,31,72,44,55
SN,AS,shareera,23,5,14,0,4,2,8,30,21,26,49,32,74,40,55
SN,AS,shareera,24,5,15,0,4,2,7,29,21,25,48,32,74,40,53
SN,AS,shareera,25,5,15,0,4,2,8,29,21,26,51,33,75,38,54
SN,AS,shareera,26,5,15,0,4,2,7,30,21,26,50,33,74,38,54
SN,AS,shareera,27,5,15,0,5,2,6,27,18,26,49,32,70,39,52
SN,AS,shareera,28,5,15,0,5,2,6,27,17,24,48,32,71,39,52
SN,AS,shareera,29,5,15,0,6,2,6,27,18,23,43,33,64,34,51
SN,AS,shareera,30,5,15,0,5,2,7,26,17,23,41,31,63,34,50
SN,AS,shareera,31,5,14,0,5,2,7,27,17,21,40,29,65,32,52
SN,AS,shareera,32,5,15,0,5,2,6,27,21,24,42,31,68,32,53
SN,AS,shareera,33,5,15,0,5,2,7,26,20,23,43,32,69,32,52
SN,AS,shareera,34,5,15,0,6,1,7,26,19,23,41,31,66,33,52
SN,AS,shareera,35,5,15,0,6,1,7,25,21,22,40,28,67,31,52
SN,AS,shareera,36,5,15,0,7,0,7,24,21,24,40,29,68,33,52
SN,AS,shareera,37,5,15,0,7,0,7,24,21,25,39,28,66,33,51
SN,AS,shareera,38,4,16,0,7,0,7,23,21,26,39,29,65,34,53
SN,AS,shareera,39,4,16,0,7,0,7,24,21,27,40,29,64,36,51
SN,AS,shareera,40,4,16,0,7,0,7,24,20,27,40,30,64,36,50
SN,AS,shareera,41,4,15,0,7,0,8,25,20,28,40,30,65,36,50
SN,AS,shareera,42,4,15,0,7,0,7,25,21,27,39,31,65,37,51
SN,AS,shareera,43,4,16,0,7,0,7,25,21,28,39,31,64,38,51
SN,AS,shareera,44,3,17,0,7,0,7,25,20,29,38,29,63,39,53
SN,AS,shareera,45,3,17,0,7,0,7,25,20,29,38,30,63,38,55
SN,AS,shareera,46,3,17,0,7,0,7,25,20,31,35,29,61,38,58
SN,AS,shareera,47,2,18,0,7,0,7,25,20,32,36,28,57,39,58
SN,AS,shareera,48,2,18,0,7,0,7,25,19,32,36,28,57,39,57
SN,AS,shareera,49,2,18,0,6,1,7,26,20,34,36,30,58,42,57
SN,AS,shareera,50,2,18,0,6,1,7,25,22,36,36,33,58,43,59
SN,AS,shareera,51,2,18,0,6,1,7,26,21,35,34,33,56,43,58
SN,AS,shareera,52,2,18,0,6,1,7,27,24,35,38,33,59,42,60
SN,AS,shareera,53,2,17,0,6,1,7,28,25,35,37,33,60,43,60
SN,AS,shareera,54,2,16,0,6,1,7,29,24,35,38,33,59,45,60
SN,AS,shareera,55,2,16,0,6,1,7,29,24,35,38,33,57,45,56
SN,AS,shareera,56,2,15,0,7,1,7,29,24,35,38,32,57,46,59
SN,AS,shareera,57,2,14,0,7,1,7,29,24,34,39,33,57,45,59
SN,AS,shareera,58,2,14,0,7,1,7,30,24,33,40,33,57,47,59
SN,AS,shareera,59,2,13,0,7,1,8,29,24,33,38,34,55,47,57
SN,AS,shareera,60,2,13,0,6,1,8,28,24,33,39,34,58,46,59
SN,AS,shareera,61,2,13,0,6,1,7,28,25,34,39,34,58,44,60
SN,AS,shareera,62,2,13,0,6,1,7,26,28,34,41,34,58,43,61
SN,AS,shareera,63,2,14,0,6,1,7,24,29,34,42,32,60,49,62
SN,AS,shareera,64,2,13,0,6,1,8,23,29,35,41,33,57,50,61
SN,AS,shareera,65,2,13,0,6,1,9,23,29,36,41,32,58,52,58
SN,AS,shareera,66,2,13,0,7,1,9,22,29,34,41,31,57,52,57
SN,AS,shareera,67,2,13,0,6,1,9,21,29,35,41,31,56,52,57
SN,AS,shareera,68,2,14,0,6,1,9,21,29,36,41,31,54,50,56
SN,AS,shareera,69,2,13,0,6,2,9,22,31,36,43,32,54,50,54
SN,AS,shareera,70,2,13,0,6,2,9,21,33,39,47,34,55,52,62
SN,AS,shareera,71,2,13,0,6,2,9,21,34,41,49,35,58,52,63
SN,AS,shareera,72,2,12,0,6,3,9,21,34,41,48,34,60,51,62
SN,AS,shareera,73,2,12,0,6,4,9,21,34,43,49,35,61,52,62
SN,AS,shareera,74,2,12,0,6,4,9,20,33,44,48,35,61,52,64
SN,AS,shareera,75,2,12,0,6,4,8,21,33,45,45,35,60,53,62
SN,AS,shareera,76,2,12,0,6,4,8,20,34,46,46,36,61,52,63
SN,AS,shareera,77,2,12,0,5,4,9,21,34,46,46,36,62,51,64
SN,AS,shareera,78,2,11,0,5,4,10,20,34,49,46,37,62,54,66
SN,AS,shareera,79,2,11,0,4,4,10,19,33,49,45,35,61,53,65
