Text_Type,Book,Chapter,Window,LLG,LGL,G,LGG,LG,GGG,L,GLG,GGL,GLL,GG,LLL,LL,GL
SN,AS,sutra,1,13,68,44,19,1,46,4,62,35,15,0,0,0,0
SN,AS,sutra,2,13,68,44,20,1,46,4,61,34,14,0,0,0,0
SN,AS,sutra,3,13,66,43,20,2,49,4,59,33,13,0,0,0,0
SN,AS,sutra,4,13,65,43,19,2,45,4,60,34,12,0,0,0,0
SN,AS,sutra,5,13,65,43,19,2,46,4,59,35,11,0,0,0,0
SN,AS,sutra,6,13,65,43,21,2,45,4,60,34,10,0,0,0,0
SN,AS,sutra,7,13,66,43,21,1,44,5,60,34,11,0,0,0,0
SN,AS,sutra,8,13,65,43,22,1,44,5,60,34,11,0,0,0,0
SN,AS,sutra,9,14,64,43,22,1,44,5,60,34,11,0,0,0,0
SN,AS,sutra,10,14,63,43,22,1,45,5,61,34,10,0,0,0,0
SN,AS,sutra,11,13,62,43,22,1,46,5,63,34,9,0,0,0,0
SN,AS,sutra,12,13,61,43,23,1,47,5,63,33,9,0,0,0,0
SN,AS,sutra,13,12,60,43,24,1,48,5,63,34,8,0,0,0,0
SN,AS,sutra,14,12,59,43,25,1,47,5,63,33,10,0,0,0,0
SN,AS,sutra,15,12,58,43,25,1,48,5,62,34,10,0,0,0,0
SN,AS,sutra,16,12,58,43,24,1,50,5,60,35,10,0,0,0,0
SN,AS,sutra,17,11,59,43,25,1,50,5,59,34,11,0,0,0,0
SN,AS,sutra,18,12,59,43,24,1,50,5,59,34,11,0,0,0,0
SN,AS,sutra,19,13,58,43,25,1,51,5,58,33,11,0,0,0,0
SN,AS,sutra,20,13,59,43,24,1,52,5,57,32,12,0,0,0,0
SN,AS,sutra,21,15,60,43,23,1,53,5,55,31,12,0,0,0,0
SN,AS,sutra,22,15,62,43,22,1,52,5,54,31,13,0,0,0,0
SN,AS,sutra,23,15,62,44,22,1,52,4,54,30,14,0,0,0,0
SN,AS,sutra,24,15,62,44,23,1,51,4,53,30,15,0,0,0,0
SN,AS,sutra,25,16,62,43,25,1,52,5,51,28,15,0,0,0,0
SN,AS,sutra,26,17,62,43,25,1,50,5,52,29,14,0,0,0,0
SN,AS,sutra,27,16,61,43,25,1,51,5,52,31,13,0,0,0,0
SN,AS,sutra,28,15,61,43,25,1,51,5,52,32,13,0,0,0,0
SN,AS,sutra,29,15,61,44,25,1,54,5,50,31,13,0,0,0,0
SN,AS,sutra,30,15,61,44,24,1,54,5,51,32,12,0,0,0,0
SN,AS,sutra,31,16,61,44,25,1,52,5,50,33,12,0,0,0,0
SN,AS,sutra,32,17,60,44,25,1,53,5,48,34,12,0,0,0,0
SN,AS,sutra,33,16,62,44,26,1,52,5,47,33,13,0,0,0,0
SN,AS,sutra,34,15,62,44,26,1,51,5,48,34,13,0,0,0,0
SN,AS,sutra,35,15,62,44,26,1,52,5,48,33,13,0,0,0,0
SN,AS,sutra,36,15,63,44,26,1,50,5,50,32,13,0,0,0,0
SN,AS,sutra,37,15,62,44,26,1,50,5,50,33,13,0,0,0,0
SN,AS,sutra,38,15,62,44,25,1,51,5,48,34,14,0,0,0,0
SN,AS,sutra,39,15,62,44,26,1,50,5,48,34,14,0,0,0,0
SN,AS,sutra,40,16,62,44,26,1,49,5,48,33,15,0,0,0,0
SN,AS,sutra,41,16,62,44,26,1,49,5,47,33,16,0,0,0,0
SN,AS,sutra,42,16,62,44,26,1,49,5,47,33,16,0,0,0,0
SN,AS,sutra,43,14,62,45,25,1,50,4,48,34,16,0,0,0,0
SN,AS,sutra,44,15,62,45,26,1,51,4,47,32,16,0,0,0,0
SN,AS,sutra,45,15,62,45,24,1,52,4,47,32,17,0,0,0,0
SN,AS,sutra,46,14,62,45,25,1,51,4,47,33,17,0,0,0,0
SN,AS,sutra,47,14,62,46,26,1,49,3,47,34,17,0,0,0,0
SN,AS,sutra,48,14,63,46,27,1,48,3,47,31,19,0,0,0,0
SN,AS,sutra,49,14,63,46,26,1,49,3,48,31,18,0,0,0,0
SN,AS,sutra,50,13,63,46,26,1,47,3,50,32,18,0,0,0,0
SN,AS,sutra,51,13,64,46,26,1,46,3,52,31,17,0,0,0,0
SN,AS,sutra,52,13,65,46,26,1,46,3,51,31,17,0,0,0,0
SN,AS,sutra,53,14,66,47,26,0,46,3,50,31,17,0,0,0,0
SN,AS,sutra,54,14,66,47,26,0,47,3,49,31,17,0,0,0,0
SN,AS,sutra,55,13,66,47,28,0,45,3,50,31,17,0,0,0,0
SN,AS,sutra,56,13,66,47,27,0,46,3,49,32,17,0,0,0,0
SN,AS,sutra,57,13,66,48,28,0,46,2,48,32,17,0,0,0,0
