Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AS,uttara,1,4,16,0,12,4,6,28,38,55,62,28,78,66,62
SN,AS,uttara,2,4,16,0,12,5,6,29,37,57,62,31,80,67,65
SN,AS,uttara,3,5,16,0,11,5,6,29,37,61,63,32,79,66,71
SN,AS,uttara,4,5,16,0,10,6,6,29,36,59,62,32,78,66,70
SN,AS,uttara,5,5,16,0,10,6,6,20,36,52,53,28,75,62,65
SN,AS,uttara,6,5,17,0,9,6,6,20,36,54,53,29,76,61,64
SN,AS,uttara,7,5,17,0,9,6,6,19,36,54,52,29,75,59,65
SN,AS,uttara,8,6,17,0,8,6,6,19,36,55,52,28,74,60,66
SN,AS,uttara,9,6,17,0,8,6,6,18,37,55,52,28,74,59,67
SN,AS,uttara,10,6,17,0,8,6,6,18,37,56,52,26,76,59,66
SN,AS,uttara,11,5,18,0,8,6,6,18,37,55,51,26,76,61,66
SN,AS,uttara,12,4,19,0,8,6,6,18,37,55,53,26,76,61,64
SN,AS,uttara,13,4,20,0,7,6,6,18,35,55,51,27,73,59,62
SN,AS,uttara,14,4,21,0,7,6,5,18,35,56,51,27,73,62,61
SN,AS,uttara,15,4,22,0,6,6,5,18,35,57,52,27,72,63,61
SN,AS,uttara,16,4,22,0,6,6,5,17,35,55,50,25,68,60,63
SN,AS,uttara,17,4,23,0,6,6,4,14,34,53,51,23,67,58,62
SN,AS,uttara,18,4,24,0,6,6,4,13,35,55,51,22,65,58,62
SN,AS,uttara,19,4,24,0,6,6,4,12,35,56,49,22,59,54,62
SN,AS,uttara,20,5,24,0,6,6,4,11,35,58,50,24,58,53,59
SN,AS,uttara,21,5,25,0,5,6,4,11,35,56,49,24,58,53,61
SN,AS,uttara,22,5,26,0,4,6,4,12,34,57,48,24,57,53,61
SN,AS,uttara,23,6,26,0,4,6,3,12,34,58,48,24,58,52,60
SN,AS,uttara,24,7,26,0,4,6,3,11,35,59,48,24,59,53,61
SN,AS,uttara,25,7,26,0,4,6,3,11,34,60,46,24,60,53,62
SN,AS,uttara,26,7,26,0,4,6,3,11,33,61,46,24,61,53,61
SN,AS,uttara,27,7,27,0,4,6,3,11,33,62,42,24,60,52,62
SN,AS,uttara,28,7,28,0,4,5,3,11,34,63,43,24,58,52,62
SN,AS,uttara,29,7,29,0,4,5,3,10,35,62,43,25,55,50,60
