Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AS,chikitsa,1,8,66,0,1,0,0,2,30,93,24,20,72,57,75
SN,AS,chikitsa,2,9,65,0,1,0,0,1,30,94,24,21,72,57,75
SN,AS,chikitsa,3,9,66,0,0,0,0,1,29,95,24,21,70,59,76
SN,AS,chikitsa,4,9,66,0,0,0,0,1,29,95,25,21,71,60,73
SN,AS,chikitsa,5,10,65,0,0,0,0,1,28,95,25,21,71,61,73
SN,AS,chikitsa,6,10,65,0,0,0,0,1,29,95,25,21,71,61,72
SN,AS,chikitsa,7,10,65,0,0,0,0,1,30,95,25,22,69,62,71
SN,AS,chikitsa,8,9,66,0,0,0,0,1,29,95,27,23,68,62,70
SN,AS,chikitsa,9,9,66,0,0,0,0,1,29,97,27,24,67,61,69
SN,AS,chikitsa,10,9,66,0,0,0,0,1,29,97,28,24,67,60,69
SN,AS,chikitsa,11,9,66,0,0,0,0,1,31,96,27,24,66,61,69
SN,AS,chikitsa,12,9,66,0,0,0,0,1,32,96,27,24,66,61,68
SN,AS,chikitsa,13,9,66,0,0,0,0,1,30,96,29,24,67,61,67
SN,AS,chikitsa,14,9,66,0,0,0,0,1,30,97,30,23,67,61,66
SN,AS,chikitsa,15,9,66,0,0,0,0,1,30,97,30,23,66,61,67
SN,AS,chikitsa,16,9,66,0,0,0,0,1,31,97,29,23,66,60,68
SN,AS,chikitsa,17,9,66,0,0,0,0,1,31,96,29,23,65,62,68
SN,AS,chikitsa,18,10,65,0,0,0,0,1,33,96,29,23,65,62,66
SN,AS,chikitsa,19,10,65,0,0,0,0,1,32,95,29,22,66,63,67
SN,AS,chikitsa,20,10,65,0,0,0,0,1,32,94,29,22,67,63,67
SN,AS,chikitsa,21,10,65,0,0,0,0,1,32,93,29,22,67,64,67
SN,AS,chikitsa,22,10,65,0,0,0,0,1,32,93,30,22,68,62,67
SN,AS,chikitsa,23,11,64,0,0,0,0,1,32,91,31,21,70,62,67
SN,AS,chikitsa,24,11,64,0,0,0,0,1,33,91,32,20,69,62,67
SN,AS,chikitsa,25,12,63,0,0,0,0,1,32,91,33,21,68,62,67
SN,AS,chikitsa,26,12,63,0,0,0,0,1,32,91,33,21,68,61,68
SN,AS,chikitsa,27,12,63,0,0,0,0,1,32,92,33,21,67,62,67
SN,AS,chikitsa,28,12,63,0,0,0,0,1,32,92,32,20,69,61,68
SN,AS,chikitsa,29,12,63,0,0,0,0,1,31,92,31,20,69,61,70
SN,AS,chikitsa,30,12,63,0,0,0,0,1,31,92,32,21,67,61,70
SN,AS,chikitsa,31,11,64,0,0,0,0,1,31,92,32,21,67,60,71
SN,AS,chikitsa,32,10,65,0,0,0,0,1,31,92,33,21,67,59,71
SN,AS,chikitsa,33,10,65,0,0,0,0,1,30,93,32,21,67,60,71
SN,AS,chikitsa,34,10,65,0,0,0,0,1,31,93,32,22,66,61,69
SN,AS,chikitsa,35,10,65,0,0,0,0,1,31,94,33,22,66,60,68
SN,AS,chikitsa,36,10,65,0,0,0,0,1,31,94,33,23,67,59,67
SN,AS,chikitsa,37,10,65,0,0,0,0,1,31,94,33,22,68,60,66
SN,AS,chikitsa,38,10,65,0,0,0,0,1,30,94,34,23,68,60,65
SN,AS,chikitsa,39,10,65,0,0,0,0,1,29,95,34,23,67,60,66
SN,AS,chikitsa,40,9,66,0,0,0,0,1,31,95,34,23,66,59,66
SN,AS,chikitsa,41,8,67,0,0,0,0,1,31,95,34,23,68,59,64
SN,AS,chikitsa,42,8,67,0,0,0,0,1,32,95,34,24,69,58,62
SN,AS,chikitsa,43,8,67,0,0,0,0,1,31,96,34,25,70,58,60
SN,AS,chikitsa,44,8,67,0,0,0,0,1,31,96,33,26,71,56,61
SN,AS,chikitsa,45,8,67,0,0,0,0,1,31,97,34,26,69,56,61
SN,AS,chikitsa,46,8,67,0,0,0,0,1,31,98,35,27,68,55,60
SN,AS,chikitsa,47,8,67,0,0,0,0,1,31,98,35,26,67,56,61
SN,AS,chikitsa,48,8,67,0,0,0,0,1,31,97,34,25,67,57,63
SN,AS,chikitsa,49,8,67,0,0,0,0,1,32,97,36,25,66,56,62
SN,AS,chikitsa,50,8,67,0,0,0,0,1,32,97,36,24,66,56,63
SN,AS,chikitsa,51,8,67,0,0,0,0,1,31,97,37,24,66,56,63
SN,AS,chikitsa,52,8,67,0,0,0,0,1,30,97,35,25,68,56,63
SN,AS,chikitsa,53,8,67,0,0,0,0,1,29,97,35,25,69,54,65
SN,AS,chikitsa,54,8,67,0,0,0,0,1,29,97,35,25,71,53,64
SN,AS,chikitsa,55,8,67,0,0,0,0,1,29,97,35,25,71,54,63
SN,AS,chikitsa,56,8,67,0,0,0,0,1,28,97,36,25,71,55,62
SN,AS,chikitsa,57,8,67,0,0,0,0,1,29,98,36,25,71,54,61
SN,AS,chikitsa,58,7,68,0,0,0,0,1,30,98,36,24,72,54,60
SN,AS,chikitsa,59,7,68,0,0,0,0,1,29,98,35,24,73,57,58
SN,AS,chikitsa,60,7,68,0,0,0,0,1,29,97,36,24,74,55,59
