Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AS,kalpa,1,4,16,1,24,7,3,57,83,61,91,65,125,106,107
SN,AS,kalpa,2,4,16,1,25,7,3,56,83,61,90,65,125,106,106
SN,AS,kalpa,3,4,16,1,24,8,3,56,82,63,90,65,124,105,106
SN,AS,kalpa,4,4,15,1,24,9,3,52,83,62,90,66,124,104,103
SN,AS,kalpa,5,4,15,1,24,9,3,54,84,62,91,66,127,105,102
SN,AS,kalpa,6,5,15,1,23,9,3,56,83,59,89,63,126,102,100
SN,AS,kalpa,7,5,15,1,22,10,3,52,83,56,89,63,128,98,99
SN,AS,kalpa,8,5,15,1,23,10,3,48,84,56,88,63,125,95,99
SN,AS,kalpa,9,5,16,1,22,10,3,45,82,53,83,61,122,91,94
SN,AS,kalpa,10,6,16,1,21,10,3,44,81,53,82,62,124,89,95
SN,AS,kalpa,11,5,16,1,21,11,3,43,81,54,84,63,123,89,100
SN,AS,kalpa,12,5,16,1,20,12,3,43,81,52,78,63,124,88,100
SN,AS,kalpa,13,6,16,1,19,12,3,46,89,59,82,69,130,86,100
SN,AS,kalpa,14,6,16,1,19,12,3,47,88,58,81,69,128,85,97
SN,AS,kalpa,15,6,16,1,19,12,3,45,87,59,82,69,126,81,97
SN,AS,kalpa,16,6,17,1,19,12,3,45,86,60,82,68,125,80,98
SN,AS,kalpa,17,5,18,1,19,12,3,45,85,61,78,68,123,81,97
SN,AS,kalpa,18,5,19,1,19,11,3,45,84,57,78,68,121,77,95
SN,AS,kalpa,19,5,20,1,18,11,3,42,82,56,78,60,119,70,90
SN,AS,kalpa,20,5,21,1,18,11,3,41,79,57,74,59,116,65,89
SN,AS,kalpa,21,5,22,1,17,11,3,39,79,58,73,59,115,66,87
SN,AS,kalpa,22,5,23,1,16,11,3,39,78,59,75,59,114,65,88
SN,AS,kalpa,23,5,24,1,15,11,3,39,79,60,76,59,112,65,88
SN,AS,kalpa,24,6,23,1,15,11,3,38,79,60,75,58,111,61,87
SN,AS,kalpa,25,6,24,1,15,11,3,34,76,59,70,54,105,56,84
SN,AS,kalpa,26,6,25,0,15,11,3,33,72,60,70,54,105,54,83
SN,AS,kalpa,27,6,26,0,15,11,3,33,71,61,69,53,106,54,83
SN,AS,kalpa,28,6,27,0,14,11,3,31,69,62,69,54,106,54,83
SN,AS,kalpa,29,6,28,0,14,11,3,30,70,64,68,54,106,55,83
SN,AS,kalpa,30,6,29,0,14,11,3,30,70,66,69,53,106,55,82
SN,AS,kalpa,31,6,30,0,13,11,3,30,72,66,69,53,106,52,83
SN,AS,kalpa,32,6,30,0,13,11,3,30,72,67,71,54,106,52,82
SN,AS,kalpa,33,6,30,0,13,11,3,30,73,68,70,54,107,53,82
SN,AS,kalpa,34,6,31,0,12,11,3,30,74,70,69,54,106,54,83
SN,AS,kalpa,35,6,32,0,12,11,3,30,74,71,67,53,107,54,85
