Text_Type,Book,Chapter,Window,GLG,GG,LLL,LLG,GGL,GGG,G,LG,LGG,L,GLL,LGL,GL,LL
SN,AS,nidana,1,140,14,56,85,123,131,26,6,101,11,86,121,2,3
SN,AS,nidana,2,141,13,56,84,124,130,26,6,101,12,86,122,2,3
SN,AS,nidana,3,140,13,56,83,123,131,27,5,103,12,86,123,2,3
SN,AS,nidana,4,138,12,54,81,123,128,28,5,103,12,85,122,2,3
SN,AS,nidana,5,138,11,52,78,122,126,29,5,102,12,83,122,2,3
SN,AS,nidana,6,134,10,51,77,115,125,29,5,102,12,80,119,2,3
SN,AS,nidana,7,131,10,48,74,113,124,29,5,93,12,80,115,2,3
SN,AS,nidana,8,127,10,46,70,106,122,29,5,88,11,74,108,2,3
SN,AS,nidana,9,127,10,51,67,109,130,29,5,91,11,74,104,2,3
SN,AS,nidana,10,130,9,53,71,116,136,29,5,97,11,74,108,3,3
SN,AS,nidana,11,130,9,53,72,114,137,29,5,98,11,74,108,3,3
SN,AS,nidana,12,129,9,54,72,114,136,29,5,98,11,74,107,4,3
SN,AS,nidana,13,128,9,53,70,112,133,30,5,95,11,75,105,4,2
SN,AS,nidana,14,123,9,52,68,109,133,31,5,94,11,73,103,3,2
SN,AS,nidana,15,122,9,50,65,109,133,32,5,95,10,73,104,3,2
SN,AS,nidana,16,121,9,50,66,110,134,33,5,96,10,73,105,3,2
SN,AS,nidana,17,118,9,49,65,106,133,34,5,93,10,74,104,3,2
SN,AS,nidana,18,118,9,49,66,105,131,34,5,93,10,72,104,3,2
SN,AS,nidana,19,118,9,49,67,105,131,35,5,93,10,72,105,3,2
SN,AS,nidana,20,108,9,49,66,98,125,36,5,86,10,67,103,3,2
SN,AS,nidana,21,108,9,49,64,98,125,36,5,85,10,64,103,3,2
SN,AS,nidana,22,108,9,49,64,96,124,36,5,82,10,64,103,3,2
SN,AS,nidana,23,108,8,49,64,96,125,37,5,83,10,64,104,3,2
SN,AS,nidana,24,107,8,49,63,94,125,38,5,83,10,65,105,3,2
SN,AS,nidana,25,108,7,49,63,94,125,39,5,84,10,64,106,3,2
SN,AS,nidana,26,108,6,48,63,94,127,40,5,85,10,63,106,3,2
SN,AS,nidana,27,108,6,48,63,93,125,41,5,83,9,61,106,3,2
SN,AS,nidana,28,106,5,48,63,91,127,42,5,82,9,59,108,3,2
SN,AS,nidana,29,107,4,48,64,93,123,43,5,81,9,59,109,3,2
SN,AS,nidana,30,107,4,48,64,94,124,44,5,81,9,59,110,3,2
SN,AS,nidana,31,103,4,47,64,95,123,45,5,82,8,60,110,3,2
SN,AS,nidana,32,102,4,46,63,94,122,44,5,82,9,59,110,3,2
SN,AS,nidana,33,103,3,46,63,94,123,45,5,82,9,60,110,3,2
SN,AS,nidana,34,103,3,46,63,93,125,46,5,83,9,59,111,3,2
SN,AS,nidana,35,102,3,46,64,92,126,46,5,84,9,59,112,3,2
SN,AS,nidana,36,102,3,46,63,92,122,46,5,83,9,58,112,3,2
SN,AS,nidana,37,102,3,46,61,91,122,46,5,83,9,59,113,3,2
SN,AS,nidana,38,101,3,46,61,90,123,47,5,82,9,58,114,3,1
SN,AS,nidana,39,100,3,46,60,90,121,48,4,83,9,59,116,3,1
SN,AS,nidana,40,99,2,46,57,91,120,48,4,84,10,58,117,3,1
SN,AS,nidana,41,102,2,45,56,92,119,49,3,83,10,59,117,3,1
SN,AS,nidana,42,104,2,44,56,92,118,50,3,83,9,57,117,3,1
SN,AS,nidana,43,104,2,45,57,91,119,50,3,82,9,57,118,3,1
