Text_Type,Book,Chapter,Window,GL,GGG,GGL,LLG,LLL,LGG,GG,LG,G,GLG,GLL,L,LL,LGL
SN,AS,shareera,1,4,96,67,44,52,88,9,6,22,122,55,8,1,59
SN,AS,shareera,2,4,95,68,44,52,87,9,7,22,120,56,8,1,59
SN,AS,shareera,3,4,96,67,43,53,88,9,6,23,121,56,8,1,59
SN,AS,shareera,4,4,94,65,40,47,83,9,7,22,109,53,8,1,55
SN,AS,shareera,5,4,91,66,38,47,82,10,7,22,111,53,7,1,55
SN,AS,shareera,6,4,92,65,38,47,81,10,7,21,113,52,7,1,54
SN,AS,shareera,7,4,90,66,40,46,79,10,7,22,113,54,7,1,55
SN,AS,shareera,8,4,89,67,40,45,78,11,7,22,113,55,6,1,55
SN,AS,shareera,9,4,88,69,40,46,75,11,8,21,111,52,6,1,55
SN,AS,shareera,10,4,86,69,42,43,75,11,8,21,108,51,6,1,54
SN,AS,shareera,11,4,88,71,44,43,75,11,9,21,109,52,6,1,54
SN,AS,shareera,12,4,85,71,44,43,76,11,9,20,108,51,6,1,53
SN,AS,shareera,13,4,85,67,41,41,75,11,9,21,108,51,6,0,54
SN,AS,shareera,14,4,82,68,41,42,74,11,9,20,107,50,6,0,52
SN,AS,shareera,15,4,80,67,40,42,72,12,9,20,107,51,6,0,48
SN,AS,shareera,16,3,80,65,40,43,73,13,9,20,106,49,6,0,49
SN,AS,shareera,17,3,80,66,41,43,72,13,9,19,104,48,6,0,48
SN,AS,shareera,18,3,78,66,40,43,69,13,9,20,99,48,5,0,48
SN,AS,shareera,19,2,80,67,38,43,69,13,9,21,98,49,5,0,49
SN,AS,shareera,20,2,81,66,37,41,68,13,9,22,98,48,5,0,50
SN,AS,shareera,21,2,82,64,35,39,67,13,9,22,97,46,6,0,49
SN,AS,shareera,22,2,81,65,36,39,68,13,9,22,95,46,6,0,50
SN,AS,shareera,23,2,81,62,35,39,66,13,8,23,97,46,6,0,48
SN,AS,shareera,24,3,79,64,36,38,65,12,8,23,99,48,6,0,49
SN,AS,shareera,25,3,80,63,38,38,64,12,8,23,99,51,6,0,51
SN,AS,shareera,26,3,81,62,37,38,63,11,8,23,99,52,6,0,51
SN,AS,shareera,27,3,81,62,37,36,66,10,8,23,100,51,6,0,51
SN,AS,shareera,28,3,80,63,37,37,64,10,8,22,100,52,6,0,50
SN,AS,shareera,29,3,78,59,37,37,60,10,8,22,92,53,6,0,47
SN,AS,shareera,30,3,77,58,35,36,60,10,7,22,90,51,6,0,46
SN,AS,shareera,31,3,80,57,35,36,60,10,8,21,91,49,6,0,44
SN,AS,shareera,32,3,81,56,35,36,62,9,8,21,91,50,6,0,43
SN,AS,shareera,33,3,81,57,34,37,64,9,8,21,91,51,7,0,43
SN,AS,shareera,34,2,81,58,33,36,62,10,8,21,88,51,7,0,44
SN,AS,shareera,35,2,82,55,33,36,62,10,8,21,91,48,7,0,43
SN,AS,shareera,36,1,81,56,32,35,61,10,8,21,91,48,7,0,44
SN,AS,shareera,37,1,81,55,35,35,61,10,8,22,90,47,7,0,45
SN,AS,shareera,38,1,82,62,36,34,62,10,8,23,92,47,6,0,45
SN,AS,shareera,39,1,81,63,36,34,62,11,8,23,91,48,6,0,46
SN,AS,shareera,40,1,80,65,35,34,62,11,8,23,91,48,6,0,47
SN,AS,shareera,41,1,80,66,35,34,62,11,9,22,92,48,6,0,47
SN,AS,shareera,42,1,81,66,35,34,61,10,9,22,93,48,6,0,47
SN,AS,shareera,43,1,83,65,36,35,62,10,9,23,94,48,6,0,48
SN,AS,shareera,44,2,83,65,37,36,63,10,9,23,94,46,5,0,48
SN,AS,shareera,45,2,93,67,40,37,68,10,9,22,95,48,5,0,50
SN,AS,shareera,46,2,94,69,41,37,68,11,9,22,96,48,4,0,52
SN,AS,shareera,47,3,94,69,40,37,67,11,9,22,94,47,3,0,52
SN,AS,shareera,48,4,93,69,39,37,68,11,9,21,95,49,3,0,53
SN,AS,shareera,49,4,95,70,38,37,67,11,8,22,94,49,3,0,54
SN,AS,shareera,50,4,95,71,38,37,68,11,8,22,94,50,3,0,56
SN,AS,shareera,51,4,94,71,39,38,67,11,8,22,92,50,3,0,56
SN,AS,shareera,52,4,95,70,39,39,67,12,8,22,91,50,3,0,56
SN,AS,shareera,53,4,98,73,39,38,67,13,8,21,93,50,3,0,58
SN,AS,shareera,54,4,98,73,38,38,66,13,8,20,92,48,3,0,60
SN,AS,shareera,55,4,94,73,38,38,66,13,8,21,89,48,3,0,60
SN,AS,shareera,56,4,96,73,38,38,68,13,8,21,88,47,3,0,60
SN,AS,shareera,57,4,94,74,38,38,69,13,8,20,88,47,3,0,59
SN,AS,shareera,58,4,95,75,38,38,68,13,8,20,87,46,2,0,58
SN,AS,shareera,59,4,93,74,39,37,67,13,9,19,86,48,2,0,57
SN,AS,shareera,60,4,94,74,40,36,67,13,8,20,88,48,2,0,57
SN,AS,shareera,61,4,97,71,40,36,67,12,8,21,87,48,2,0,57
SN,AS,shareera,62,4,97,71,40,34,67,13,8,20,86,48,2,0,58
SN,AS,shareera,63,4,99,71,40,32,70,13,8,20,87,46,3,0,58
SN,AS,shareera,64,4,97,71,40,31,69,14,8,19,85,47,3,0,58
SN,AS,shareera,65,4,94,72,40,31,69,15,8,19,85,48,3,0,58
