Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,AS,sutra,1,6,66,0,2,0,0,0,22,97,36,25,85,47,70
SN,AS,sutra,2,6,66,0,2,0,0,0,22,97,36,24,84,47,70
SN,AS,sutra,3,6,66,0,2,0,0,0,22,96,37,23,82,47,71
SN,AS,sutra,4,6,66,0,2,0,0,0,22,95,36,22,82,47,69
SN,AS,sutra,5,6,66,0,2,0,0,0,21,96,36,21,82,48,69
SN,AS,sutra,6,6,66,0,2,0,0,0,22,96,37,20,82,48,68
SN,AS,sutra,7,6,67,0,1,0,0,0,23,97,37,20,80,50,67
SN,AS,sutra,8,6,67,0,1,0,0,0,23,98,37,21,79,50,66
SN,AS,sutra,9,6,67,0,1,0,0,0,23,97,37,21,80,51,65
SN,AS,sutra,10,6,67,0,1,0,0,0,23,97,37,20,80,51,66
SN,AS,sutra,11,6,67,0,1,0,0,0,22,97,37,19,83,50,66
SN,AS,sutra,12,6,67,0,1,0,0,0,22,96,37,19,85,50,65
SN,AS,sutra,13,6,67,0,1,0,0,0,21,96,37,19,85,50,66
SN,AS,sutra,14,6,67,0,1,0,0,0,20,95,38,19,87,49,66
SN,AS,sutra,15,6,67,0,1,0,0,0,21,94,38,19,86,49,67
SN,AS,sutra,16,6,67,0,1,0,0,0,21,95,37,20,83,50,68
SN,AS,sutra,17,7,66,0,1,0,0,0,20,96,36,20,82,51,69
SN,AS,sutra,18,7,66,0,1,0,0,0,20,96,35,19,82,51,71
SN,AS,sutra,19,7,66,0,1,0,0,0,21,95,36,19,80,50,73
SN,AS,sutra,20,7,66,0,1,0,0,0,21,95,35,20,80,49,74
SN,AS,sutra,21,7,66,0,1,0,0,0,21,95,35,20,79,49,75
SN,AS,sutra,22,7,66,0,1,0,0,0,21,95,34,20,79,50,75
SN,AS,sutra,23,6,67,0,1,0,0,0,21,96,35,22,77,49,74
SN,AS,sutra,24,6,67,0,1,0,0,0,21,96,34,22,78,49,74
SN,AS,sutra,25,6,67,0,1,0,0,0,21,96,34,22,79,48,74
SN,AS,sutra,26,6,67,0,1,0,0,0,21,97,34,21,81,48,72
SN,AS,sutra,27,6,67,0,1,0,0,0,20,97,35,20,80,49,73
SN,AS,sutra,28,6,67,0,1,0,0,0,20,97,34,20,79,49,75
SN,AS,sutra,29,6,68,0,1,0,0,0,20,97,34,20,77,49,77
SN,AS,sutra,30,6,68,0,1,0,0,0,20,96,35,19,78,50,76
SN,AS,sutra,31,6,68,0,1,0,0,0,20,96,36,19,77,51,75
SN,AS,sutra,32,6,68,0,1,0,0,0,20,95,37,20,76,50,76
SN,AS,sutra,33,7,67,0,1,0,0,0,19,95,37,20,76,50,77
