Text_Type,Book,Chapter,Window,GG,LGL,LG,GLG,G,LGG,LLG,L,GGL,GLL,LLL,GGG,GL,LL
SN,AS,uttara,1,6,91,12,105,34,72,49,9,82,39,31,90,6,0
SN,AS,uttara,2,6,92,12,106,35,72,49,9,81,39,31,88,6,0
SN,AS,uttara,3,6,93,11,104,36,74,49,9,80,39,31,89,6,0
SN,AS,uttara,4,6,92,10,104,37,74,49,9,80,40,30,88,6,0
SN,AS,uttara,5,6,85,10,101,37,65,49,9,77,35,21,83,6,0
SN,AS,uttara,6,6,86,9,101,38,65,49,9,76,36,21,84,6,0
SN,AS,uttara,7,6,87,9,99,37,64,49,10,74,36,20,85,6,0
SN,AS,uttara,8,6,88,8,98,38,64,49,10,76,35,20,85,6,0
SN,AS,uttara,9,6,87,8,99,38,64,49,10,75,36,19,86,6,0
SN,AS,uttara,10,6,87,8,100,38,64,49,10,75,35,19,86,6,0
SN,AS,uttara,11,6,86,8,100,39,63,48,9,76,35,19,88,6,0
SN,AS,uttara,12,6,86,8,100,40,63,47,8,79,34,19,87,6,0
SN,AS,uttara,13,6,87,7,97,41,62,45,8,75,34,19,86,6,0
SN,AS,uttara,14,5,88,7,97,42,62,45,8,75,34,19,88,6,0
SN,AS,uttara,15,5,89,6,96,43,62,45,8,75,34,19,90,6,0
SN,AS,uttara,16,5,87,6,93,43,61,43,8,73,32,18,91,6,0
SN,AS,uttara,17,4,85,6,91,44,61,42,8,72,30,15,91,6,0
SN,AS,uttara,18,4,86,6,90,45,61,42,8,73,30,14,90,6,0
SN,AS,uttara,19,4,88,6,83,45,59,41,8,70,30,13,90,6,0
SN,AS,uttara,20,4,90,6,83,46,59,41,8,69,31,12,88,6,0
SN,AS,uttara,21,4,89,5,83,47,58,42,8,69,31,12,88,6,0
SN,AS,uttara,22,4,91,4,82,47,56,41,9,69,30,12,90,6,0
SN,AS,uttara,23,3,91,4,82,48,57,40,9,68,31,12,90,6,0
SN,AS,uttara,24,3,93,4,82,49,57,40,9,69,31,11,92,6,0
SN,AS,uttara,25,3,93,4,85,48,55,39,10,68,31,11,93,6,0
SN,AS,uttara,26,3,93,4,86,48,54,38,10,69,31,11,93,6,0
SN,AS,uttara,27,3,95,4,85,49,49,37,10,68,31,11,95,6,0
SN,AS,uttara,28,3,97,4,84,50,48,37,10,68,31,11,96,5,0
SN,AS,uttara,29,3,97,4,81,50,47,38,11,66,31,10,95,5,0
SN,AS,uttara,30,3,98,4,79,51,47,38,11,66,31,9,94,5,0
SN,AS,uttara,31,3,97,4,79,52,45,38,11,66,30,8,92,4,0
SN,AS,uttara,32,3,98,4,78,52,44,36,11,65,30,7,93,4,0
SN,AS,uttara,33,3,98,3,81,52,44,35,12,63,30,7,93,4,0
SN,AS,uttara,34,3,99,2,80,53,44,35,12,64,30,6,93,4,0
SN,AS,uttara,35,3,101,2,81,53,44,35,12,64,31,6,92,4,0
SN,AS,uttara,36,3,102,2,80,54,43,36,12,65,31,6,92,3,0
SN,AS,uttara,37,3,102,2,79,54,41,36,12,67,31,6,92,3,0
SN,AS,uttara,38,3,103,2,80,54,40,35,12,65,31,6,91,3,0
SN,AS,uttara,39,2,105,2,81,55,38,34,12,64,30,6,91,3,0
SN,AS,uttara,40,2,106,2,81,56,36,34,11,67,30,5,90,3,0
SN,AS,uttara,41,2,107,2,79,57,35,32,11,66,31,5,91,3,0
SN,AS,uttara,42,2,109,1,78,58,35,31,11,65,30,5,93,3,0
SN,AS,uttara,43,2,108,1,79,58,36,29,11,65,31,5,92,3,0
SN,AS,uttara,44,2,108,1,79,59,37,29,11,64,31,5,94,2,0
SN,AS,uttara,45,1,109,1,80,60,37,28,11,63,31,5,95,2,0
SN,AS,uttara,46,1,106,1,79,60,30,24,11,60,28,4,89,2,0
SN,AS,uttara,47,1,103,0,78,61,29,23,11,59,26,3,90,2,0
SN,AS,uttara,48,1,102,0,76,61,26,21,11,58,24,3,89,2,0
SN,AS,uttara,49,1,104,0,76,62,27,21,10,55,25,3,87,2,0
SN,AS,uttara,50,1,105,0,78,62,25,21,10,49,25,3,87,2,0
SN,AS,uttara,51,0,105,0,78,63,24,21,10,48,25,3,88,2,0
SN,AS,uttara,52,0,104,0,78,64,24,21,10,46,22,2,83,1,0
SN,AS,uttara,53,0,101,0,80,65,23,20,9,47,21,2,77,1,0
SN,AS,uttara,54,0,103,0,80,66,23,21,9,48,21,1,78,0,0
SN,AS,uttara,55,0,103,0,79,66,23,22,9,47,20,1,80,0,0
SN,AS,uttara,56,0,103,0,77,66,24,23,9,48,19,1,80,0,0
SN,AS,uttara,57,0,103,0,76,66,24,22,9,49,19,1,81,0,0
SN,AS,uttara,58,0,103,0,76,67,24,23,8,49,20,1,79,0,0
SN,AS,uttara,59,0,102,0,76,67,24,23,8,52,20,1,77,0,0
SN,AS,uttara,60,0,101,0,75,67,25,24,8,52,20,1,77,0,0
SN,AS,uttara,61,0,103,0,74,67,26,23,8,50,21,1,77,0,0
SN,AS,uttara,62,0,103,0,76,67,24,22,8,50,21,1,78,0,0
SN,AS,uttara,63,0,103,0,77,67,24,22,8,50,20,1,78,0,0
SN,AS,uttara,64,0,104,0,78,67,24,22,8,47,20,1,79,0,0
SN,AS,uttara,65,0,106,0,77,67,23,22,8,45,21,2,79,0,0
SN,AS,uttara,66,0,106,0,78,67,25,20,8,45,21,2,78,0,0
SN,AS,uttara,67,0,106,0,78,67,25,20,8,45,21,2,78,0,0
SN,AS,uttara,68,0,105,0,79,67,26,19,8,45,21,2,78,0,0
SN,AS,uttara,69,0,106,0,78,66,27,18,9,45,22,2,77,0,0
SN,AS,uttara,70,0,105,0,79,67,26,18,8,46,21,2,78,0,0
SN,AS,uttara,71,0,105,0,78,67,26,19,8,46,21,2,78,0,0
SN,AS,uttara,72,0,106,0,78,67,25,19,8,46,20,1,80,0,0
SN,AS,uttara,73,0,106,0,77,68,25,18,7,46,21,1,81,0,0
SN,AS,uttara,74,0,107,0,77,69,26,17,6,45,21,1,81,0,0
SN,AS,uttara,75,0,107,0,76,69,26,18,6,44,21,1,82,0,0
SN,AS,uttara,76,0,106,0,75,69,25,19,6,46,21,1,82,0,0
SN,AS,uttara,77,0,106,0,76,69,24,18,6,46,21,1,83,0,0
SN,AS,uttara,78,0,106,0,78,69,23,17,6,46,21,1,83,0,0
SN,AS,uttara,79,0,106,0,78,69,22,16,6,47,20,1,85,0,0
SN,AS,uttara,80,0,106,0,77,69,21,17,6,46,20,1,87,0,0
SN,AS,uttara,81,0,106,0,79,69,21,17,6,47,19,1,85,0,0
SN,AS,uttara,82,0,105,0,80,70,22,16,5,47,20,1,84,0,0
SN,AS,uttara,83,0,105,0,81,70,22,16,5,45,20,1,85,0,0
SN,AS,uttara,84,0,105,0,81,69,22,17,6,45,20,1,84,0,0
SN,AS,uttara,85,0,105,0,79,69,24,18,6,46,19,1,83,0,0
SN,AS,uttara,86,0,106,0,79,69,24,18,6,45,19,1,83,0,0
SN,AS,uttara,87,0,107,0,80,69,24,19,6,43,19,1,82,0,0
SN,AS,uttara,88,0,106,0,79,69,24,21,6,43,19,1,82,0,0
SN,AS,uttara,89,0,106,0,80,69,24,21,6,43,20,1,80,0,0
SN,AS,uttara,90,0,106,0,81,69,24,21,6,42,20,1,80,0,0
SN,AS,uttara,91,0,106,0,81,69,24,21,6,41,20,1,81,0,0
SN,AS,uttara,92,0,107,0,80,69,24,23,6,41,20,1,79,0,0
SN,AS,uttara,93,0,108,0,78,69,24,23,6,40,20,1,81,0,0
SN,AS,uttara,94,0,108,0,79,69,25,23,6,39,20,1,80,0,0
SN,AS,uttara,95,0,107,0,79,69,26,23,6,39,19,1,81,0,0
SN,AS,uttara,96,0,106,0,78,69,26,22,6,42,19,1,81,0,0
SN,AS,uttara,97,0,105,0,80,70,26,22,5,42,19,1,80,0,0
SN,AS,uttara,98,0,105,0,80,70,25,22,5,42,18,1,82,0,0
SN,AS,uttara,99,0,105,0,81,70,25,23,5,41,18,1,81,0,0
SN,AS,uttara,100,0,106,0,79,71,25,23,4,41,18,1,82,0,0
SN,AS,uttara,101,0,106,0,78,71,26,23,4,42,18,1,81,0,0
SN,AS,uttara,102,0,105,0,78,71,26,23,4,43,18,1,81,0,0
SN,AS,uttara,103,0,105,0,78,71,26,23,4,43,18,1,81,0,0
SN,AS,uttara,104,0,105,0,77,72,26,23,3,44,18,1,81,0,0
SN,AS,uttara,105,0,105,0,76,72,28,23,3,45,18,1,79,0,0
SN,AS,uttara,106,0,106,0,75,72,30,23,3,45,17,1,78,0,0
SN,AS,uttara,107,0,107,0,74,72,30,22,3,46,17,1,78,0,0
SN,AS,uttara,108,0,107,0,71,73,31,22,2,47,17,1,79,0,0
SN,AS,uttara,109,0,105,0,71,73,31,23,2,47,19,1,78,0,0
SN,AS,uttara,110,0,104,0,70,73,31,24,2,47,17,1,81,0,0
SN,AS,uttara,111,0,104,0,70,73,32,23,2,46,18,1,81,0,0
SN,AS,uttara,112,0,104,0,70,73,32,24,2,44,18,1,82,0,0
SN,AS,uttara,113,0,104,0,69,73,31,24,2,45,18,1,83,0,0
SN,AS,uttara,114,0,103,0,68,73,31,25,2,46,18,1,83,0,0
SN,AS,uttara,115,0,104,0,67,73,32,25,2,43,19,1,84,0,0
SN,AS,uttara,116,0,103,0,68,73,32,26,2,44,18,1,83,0,0
SN,AS,uttara,117,0,102,0,69,73,32,26,2,45,18,1,82,0,0
SN,AS,uttara,118,0,102,0,70,73,31,26,2,46,17,1,82,0,0
SN,AS,uttara,119,0,102,0,71,73,30,26,2,48,16,1,81,0,0
SN,AS,uttara,120,0,101,0,72,73,30,26,2,48,17,1,80,0,0
SN,AS,uttara,121,0,101,0,70,73,30,27,2,48,17,1,81,0,0
SN,AS,uttara,122,0,101,0,71,73,30,27,2,46,18,1,81,0,0
SN,AS,uttara,123,0,100,0,71,73,29,28,2,48,18,1,80,0,0
SN,AS,uttara,124,0,99,0,71,73,28,28,2,49,17,1,82,0,0
SN,AS,uttara,125,0,99,0,70,73,29,27,2,50,17,1,82,0,0
SN,AS,uttara,126,0,99,0,70,73,29,27,2,48,17,1,84,0,0
SN,AS,uttara,127,0,99,0,68,73,28,28,2,49,18,1,84,0,0
SN,AS,uttara,128,0,99,0,65,73,28,30,2,50,18,1,84,0,0
SN,AS,uttara,129,0,98,0,65,73,28,30,2,49,18,1,86,0,0
SN,AS,uttara,130,0,98,0,66,73,27,29,2,50,18,1,86,0,0
SN,AS,uttara,131,0,97,0,68,73,26,28,2,49,18,1,88,0,0
SN,AS,uttara,132,0,98,0,68,73,27,28,2,49,18,1,86,0,0
SN,AS,uttara,133,0,98,0,69,73,27,27,2,50,17,1,86,0,0
SN,AS,uttara,134,0,98,0,69,73,27,28,2,48,18,1,86,0,0
SN,AS,uttara,135,0,98,0,68,73,26,27,2,50,18,1,87,0,0
SN,AS,uttara,136,0,96,0,69,73,25,28,2,50,17,1,89,0,0
SN,AS,uttara,137,0,96,0,67,73,26,28,2,50,17,1,90,0,0
SN,AS,uttara,138,0,96,0,66,73,27,28,2,49,18,1,90,0,0
SN,AS,uttara,139,0,95,0,66,73,27,28,2,49,18,1,91,0,0
SN,AS,uttara,140,0,93,0,66,73,27,29,2,50,18,0,92,0,0
SN,AS,uttara,141,0,94,0,66,73,25,29,2,52,18,0,91,0,0
SN,AS,uttara,142,0,94,0,64,73,25,29,2,52,18,0,90,0,0
SN,AS,uttara,143,0,94,0,62,73,24,29,2,52,18,0,90,0,0
SN,AS,uttara,144,0,92,0,62,74,24,29,1,53,18,0,92,0,0
SN,AS,uttara,145,0,91,1,63,73,24,30,1,53,17,0,91,0,0
SN,AS,uttara,146,0,90,1,62,72,26,30,1,55,18,0,91,0,0
SN,AS,uttara,147,1,88,1,62,71,26,30,1,54,18,1,90,0,0
SN,AS,uttara,148,1,86,2,61,70,26,30,1,55,17,2,89,0,0
SN,AS,uttara,149,1,86,2,62,70,27,30,1,56,19,2,91,0,0
SN,AS,uttara,150,2,86,2,63,69,28,30,1,59,27,3,93,0,0
SN,AS,uttara,151,2,88,2,67,69,30,31,1,58,28,5,92,0,0
SN,AS,uttara,152,2,93,2,68,69,32,32,1,60,30,6,90,0,0
SN,AS,uttara,153,2,92,2,68,68,33,32,1,61,30,8,89,0,0
SN,AS,uttara,154,2,92,2,69,67,34,33,1,61,32,9,87,0,0
SN,AS,uttara,155,2,92,3,69,66,34,32,1,61,33,9,85,0,0
SN,AS,uttara,156,2,93,4,66,65,34,32,1,61,33,9,87,0,0
SN,AS,uttara,157,2,94,4,65,64,33,35,1,61,34,10,89,0,0
SN,AS,uttara,158,2,96,4,67,63,35,37,2,67,35,10,88,0,0
SN,AS,uttara,159,2,96,4,68,63,36,36,1,69,35,11,87,0,0
SN,AS,uttara,160,2,98,4,74,63,40,38,1,74,35,14,93,0,0
SN,AS,uttara,161,2,98,5,74,62,41,38,1,74,36,14,91,0,0
SN,AS,uttara,162,2,96,6,73,61,41,37,1,74,36,14,94,0,0
SN,AS,uttara,163,2,96,6,74,60,41,35,1,75,36,16,95,0,0
SN,AS,uttara,164,2,95,6,73,60,42,36,1,77,35,16,94,0,0
SN,AS,uttara,165,2,94,6,71,59,42,36,1,77,35,17,92,0,0
SN,AS,uttara,166,2,93,7,70,58,42,38,1,79,36,17,92,0,0
SN,AS,uttara,167,2,92,7,72,57,43,37,1,78,36,17,93,0,0
SN,AS,uttara,168,2,90,7,74,56,44,38,2,78,35,18,91,0,0
SN,AS,uttara,169,2,88,7,76,55,43,40,2,78,36,19,91,1,0
SN,AS,uttara,170,2,88,7,77,55,42,41,2,78,36,19,90,1,0
SN,AS,uttara,171,2,89,7,79,54,42,42,2,77,36,19,92,1,0
SN,AS,uttara,172,3,88,7,77,53,42,44,2,77,36,19,92,1,0
SN,AS,uttara,173,3,89,7,77,52,44,45,2,77,37,19,90,1,0
SN,AS,uttara,174,3,87,7,76,51,45,44,2,78,37,19,91,1,0
SN,AS,uttara,175,3,85,7,76,50,45,44,2,78,37,19,91,1,0
SN,AS,uttara,176,4,85,7,79,49,47,44,2,76,38,19,92,1,0
SN,AS,uttara,177,4,84,7,78,48,47,44,2,75,38,20,90,1,0
SN,AS,uttara,178,4,82,7,77,47,48,44,2,77,39,21,88,1,0
SN,AS,uttara,179,4,80,8,78,46,49,43,2,76,40,21,88,1,0
SN,AS,uttara,180,4,80,9,78,45,47,44,2,75,40,21,88,1,0
SN,AS,uttara,181,4,78,9,78,45,46,44,2,74,40,22,90,1,0
SN,AS,uttara,182,4,76,10,80,44,46,46,2,74,40,22,88,1,0
SN,AS,uttara,183,4,75,10,81,43,46,46,3,74,40,22,87,1,0
SN,AS,uttara,184,4,77,11,83,42,46,46,3,74,38,23,87,1,0
SN,AS,uttara,185,4,77,11,85,41,46,45,3,74,39,23,86,1,0
SN,AS,uttara,186,4,78,11,85,40,45,45,3,76,40,24,88,1,0
SN,AS,uttara,187,4,77,11,84,39,45,44,4,75,42,24,87,1,0
SN,AS,uttara,188,4,76,12,83,38,45,44,4,75,42,24,86,1,0
SN,AS,uttara,189,4,77,12,83,37,47,43,4,74,43,25,86,1,0
SN,AS,uttara,190,4,75,12,84,37,46,45,4,74,42,27,87,1,0
SN,AS,uttara,191,4,74,12,83,36,46,44,4,73,42,27,89,1,0
SN,AS,uttara,192,4,74,12,83,35,47,44,4,73,43,27,89,1,0
SN,AS,uttara,193,4,73,13,80,34,47,45,4,73,43,27,90,1,0
SN,AS,uttara,194,4,72,13,79,33,47,45,4,71,43,28,89,1,0
SN,AS,uttara,195,4,72,13,79,32,47,47,4,70,42,28,89,1,0
SN,AS,uttara,196,4,71,13,80,31,47,46,4,70,44,28,88,1,0
SN,AS,uttara,197,4,70,13,81,30,47,46,4,70,43,28,88,1,0
SN,AS,uttara,198,4,69,13,81,29,48,46,5,70,43,29,87,1,0
SN,AS,uttara,199,4,69,13,83,29,48,46,5,70,43,31,85,1,0
SN,AS,uttara,200,4,70,13,84,28,47,46,5,71,43,31,85,2,0
SN,AS,uttara,201,4,69,13,83,27,47,47,6,71,43,31,84,2,0
SN,AS,uttara,202,4,71,13,90,26,49,46,7,73,43,32,85,2,0
SN,AS,uttara,203,4,72,14,93,25,52,45,7,75,45,34,88,2,0
SN,AS,uttara,204,4,75,14,95,24,56,45,7,77,46,35,90,3,0
SN,AS,uttara,205,4,74,14,95,24,56,45,7,77,46,36,89,3,0
SN,AS,uttara,206,4,74,14,95,23,56,45,7,78,46,36,88,3,0
SN,AS,uttara,207,4,72,14,96,23,56,46,7,78,47,37,90,3,0
SN,AS,uttara,208,5,71,14,95,22,57,46,7,78,47,37,90,3,0
SN,AS,uttara,209,5,72,14,96,22,57,44,7,77,46,37,92,3,0
SN,AS,uttara,210,5,73,14,95,21,57,44,7,75,46,38,93,3,0
SN,AS,uttara,211,5,73,14,94,21,57,44,7,76,46,38,91,3,0
SN,AS,uttara,212,5,73,14,94,21,56,44,7,78,45,38,89,3,0
SN,AS,uttara,213,5,73,14,93,21,55,44,7,78,45,38,90,3,0
SN,AS,uttara,214,5,72,14,93,20,55,44,7,78,45,38,88,3,0
SN,AS,uttara,215,5,71,14,93,19,55,45,7,77,45,38,88,4,0
SN,AS,uttara,216,5,69,14,93,18,56,46,7,75,45,38,89,4,0
SN,AS,uttara,217,5,70,14,93,17,57,51,7,78,45,38,91,4,0
SN,AS,uttara,218,5,70,15,94,16,58,52,7,78,45,38,91,4,0
SN,AS,uttara,219,6,70,15,94,15,57,53,7,77,45,38,88,4,0
SN,AS,uttara,220,6,72,14,94,15,57,53,7,77,47,38,90,4,0
SN,AS,uttara,221,6,72,14,94,15,56,52,7,76,46,38,90,4,0
SN,AS,uttara,222,5,75,14,95,15,60,54,7,79,47,38,92,4,0
SN,AS,uttara,223,5,77,13,102,16,61,55,7,78,48,38,94,4,0
SN,AS,uttara,224,5,75,13,102,15,60,55,7,79,46,39,93,4,0
SN,AS,uttara,225,4,75,13,107,15,63,55,7,77,38,38,92,4,0
SN,AS,uttara,226,4,72,13,107,14,63,53,7,76,37,36,92,4,0
SN,AS,uttara,227,4,67,13,106,13,61,53,7,74,35,35,92,4,1
SN,AS,uttara,228,4,68,13,106,13,60,53,8,73,35,33,92,4,1
SN,AS,uttara,229,4,72,13,106,13,59,52,8,78,36,32,92,4,2
