Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AS,nidana,1,12.09,7.84,44.68,0.95,0.13,0.06
SN,AS,nidana,2,11.96,8.08,45.6,0.95,0.13,0.05
SN,AS,nidana,3,11.84,8.24,46.08,0.95,0.13,0.05
SN,AS,nidana,4,11.9,8.08,45.16,0.96,0.13,0.05
SN,AS,nidana,5,11.72,7.96,43.76,0.95,0.13,0.06
SN,AS,nidana,6,11.58,7.72,41.76,0.94,0.13,0.05
SN,AS,nidana,7,11.77,7.16,39.48,0.95,0.14,0.06
SN,AS,nidana,8,11.28,6.4,33.96,0.93,0.14,0.06
SN,AS,nidana,9,10.71,5.8,28.84,0.94,0.14,0.05
SN,AS,nidana,10,10.69,5.64,27.92,0.94,0.14,0.05
SN,AS,nidana,11,10.99,5.76,29.0,0.94,0.14,0.06
SN,AS,nidana,12,11.24,5.72,29.4,0.94,0.14,0.06
SN,AS,nidana,13,11.39,5.4,27.96,0.94,0.14,0.07
SN,AS,nidana,14,11.71,4.88,26.0,0.94,0.15,0.07
SN,AS,nidana,15,11.88,4.84,25.88,0.94,0.15,0.08
SN,AS,nidana,16,12.07,4.88,26.56,0.94,0.15,0.09
SN,AS,nidana,17,12.48,4.52,25.52,0.94,0.15,0.11
SN,AS,nidana,18,11.86,4.64,25.04,0.94,0.15,0.09
SN,AS,nidana,19,11.77,4.72,25.32,0.93,0.15,0.09
SN,AS,nidana,20,14.22,4.36,29.48,0.93,0.15,0.07
SN,AS,nidana,21,17.01,4.08,32.72,0.93,0.15,0.09
SN,AS,nidana,22,20.47,3.92,37.8,0.92,0.16,0.13
SN,AS,nidana,23,20.73,3.88,37.84,0.93,0.16,0.13
SN,AS,nidana,24,21.4,4.44,45.12,0.9,0.16,0.12
SN,AS,nidana,25,21.02,4.56,45.6,0.89,0.16,0.11
SN,AS,nidana,26,20.9,4.56,45.24,0.9,0.15,0.11
SN,AS,nidana,27,21.69,4.32,44.4,0.9,0.16,0.12
SN,AS,nidana,28,22.13,4.2,44.0,0.9,0.16,0.12
SN,AS,nidana,29,22.4,4.12,43.92,0.91,0.16,0.14
SN,AS,nidana,30,22.17,4.2,44.28,0.91,0.16,0.13
SN,AS,nidana,31,22.39,4.12,43.92,0.91,0.16,0.14
SN,AS,nidana,32,21.46,4.24,43.28,0.9,0.16,0.12
SN,AS,nidana,33,21.61,4.24,43.6,0.9,0.16,0.12
SN,AS,nidana,34,21.37,4.32,43.84,0.9,0.16,0.12
SN,AS,nidana,35,21.58,4.32,44.12,0.9,0.16,0.12
SN,AS,nidana,36,21.45,4.24,43.36,0.9,0.16,0.11
SN,AS,nidana,37,21.03,4.32,43.36,0.9,0.16,0.1
SN,AS,nidana,38,21.22,4.24,43.08,0.9,0.16,0.1
SN,AS,nidana,39,20.91,4.32,43.08,0.9,0.16,0.1
SN,AS,nidana,40,20.76,4.32,42.68,0.9,0.16,0.09
SN,AS,nidana,41,20.36,4.4,42.52,0.89,0.16,0.08
SN,AS,nidana,42,20.39,4.36,42.08,0.9,0.16,0.07
SN,AS,nidana,43,20.28,4.4,42.08,0.89,0.16,0.07
SN,AS,nidana,44,20.35,4.4,42.12,0.9,0.16,0.07
SN,AS,nidana,45,16.62,4.4,33.52,0.9,0.16,0.06
SN,AS,nidana,46,14.31,4.52,29.56,0.9,0.15,0.05
SN,AS,nidana,47,11.61,4.52,23.76,0.89,0.16,0.02
SN,AS,nidana,48,11.42,4.64,24.08,0.89,0.16,0.02
SN,AS,nidana,49,9.13,4.16,16.6,0.9,0.16,0.01
SN,AS,nidana,50,9.36,4.04,16.32,0.9,0.16,0.01
SN,AS,nidana,51,9.32,4.16,16.76,0.88,0.16,0.01
SN,AS,nidana,52,9.11,4.24,16.8,0.89,0.16,0.01
