Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AS,shareera,1,11.24,6.08,32.12,0.89,0.14,0.05
SN,AS,shareera,2,11.14,6.4,33.56,0.89,0.14,0.05
SN,AS,shareera,3,11.17,6.48,34.12,0.89,0.14,0.05
SN,AS,shareera,4,9.77,6.88,31.64,0.87,0.14,0.03
SN,AS,shareera,5,9.98,6.88,32.4,0.87,0.14,0.03
SN,AS,shareera,6,10.19,6.76,32.56,0.88,0.15,0.04
SN,AS,shareera,7,9.92,6.6,30.96,0.88,0.14,0.03
SN,AS,shareera,8,10.05,6.48,30.92,0.9,0.14,0.03
SN,AS,shareera,9,10.24,6.36,30.96,0.91,0.14,0.04
SN,AS,shareera,10,10.21,6.28,30.56,0.91,0.14,0.04
SN,AS,shareera,11,10.16,6.4,31.0,0.9,0.14,0.04
SN,AS,shareera,12,10.07,6.44,30.76,0.91,0.14,0.04
SN,AS,shareera,13,10.4,5.92,29.24,0.91,0.15,0.04
SN,AS,shareera,14,10.55,5.64,28.28,0.92,0.15,0.04
SN,AS,shareera,15,10.73,5.4,27.44,0.93,0.15,0.04
SN,AS,shareera,16,10.66,5.32,26.84,0.93,0.15,0.05
SN,AS,shareera,17,10.45,5.32,26.28,0.93,0.15,0.05
SN,AS,shareera,18,10.49,5.0,24.76,0.94,0.15,0.05
SN,AS,shareera,19,10.57,5.0,25.08,0.94,0.15,0.05
SN,AS,shareera,20,10.44,4.96,24.44,0.94,0.15,0.05
SN,AS,shareera,21,10.31,4.84,23.4,0.93,0.15,0.04
SN,AS,shareera,22,10.39,4.88,23.76,0.93,0.15,0.04
SN,AS,shareera,23,10.58,4.72,23.32,0.93,0.15,0.04
SN,AS,shareera,24,10.45,4.64,22.6,0.93,0.15,0.04
SN,AS,shareera,25,10.19,4.64,22.24,0.92,0.15,0.04
SN,AS,shareera,26,10.38,4.68,22.8,0.93,0.15,0.04
SN,AS,shareera,27,10.56,4.32,21.4,0.94,0.15,0.04
SN,AS,shareera,28,10.73,4.16,20.96,0.94,0.15,0.04
SN,AS,shareera,29,11.36,3.48,18.36,0.97,0.16,0.03
SN,AS,shareera,30,11.4,3.4,17.72,0.95,0.16,0.04
SN,AS,shareera,31,11.13,3.4,17.2,0.95,0.16,0.02
SN,AS,shareera,32,11.58,3.32,17.44,0.94,0.16,0.02
SN,AS,shareera,33,11.99,3.24,17.6,0.94,0.16,0.02
SN,AS,shareera,34,11.93,3.28,17.72,0.93,0.16,0.02
