Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AS,uttara,1,11.12,5.08,27.28,0.94,0.15,0.05
SN,AS,uttara,2,11.16,5.16,27.76,0.93,0.15,0.05
SN,AS,uttara,3,11.22,5.16,27.76,0.92,0.15,0.05
SN,AS,uttara,4,11.39,5.2,28.2,0.91,0.15,0.05
SN,AS,uttara,5,10.43,4.88,23.56,0.91,0.15,0.02
SN,AS,uttara,6,10.62,5.04,24.64,0.91,0.15,0.02
SN,AS,uttara,7,10.98,4.84,24.64,0.91,0.15,0.03
SN,AS,uttara,8,10.91,4.88,24.76,0.92,0.15,0.03
SN,AS,uttara,9,11.05,4.84,24.8,0.92,0.15,0.03
SN,AS,uttara,10,11.31,4.68,24.44,0.91,0.15,0.03
SN,AS,uttara,11,11.35,4.68,24.32,0.91,0.15,0.03
SN,AS,uttara,12,11.43,4.68,24.48,0.91,0.15,0.03
SN,AS,uttara,13,11.49,4.44,23.6,0.91,0.15,0.04
SN,AS,uttara,14,11.79,4.44,24.2,0.91,0.15,0.04
SN,AS,uttara,15,11.57,4.56,24.36,0.9,0.15,0.04
SN,AS,uttara,16,11.78,4.32,23.24,0.92,0.16,0.05
SN,AS,uttara,17,11.41,4.2,21.88,0.9,0.16,0.05
SN,AS,uttara,18,11.21,4.28,21.92,0.9,0.16,0.05
SN,AS,uttara,19,10.71,4.12,20.24,0.9,0.16,0.04
SN,AS,uttara,20,10.54,4.16,20.08,0.9,0.16,0.03
SN,AS,uttara,21,10.86,4.72,23.28,0.91,0.16,0.04
SN,AS,uttara,22,10.77,4.92,24.28,0.89,0.16,0.04
SN,AS,uttara,23,10.75,5.24,25.68,0.91,0.15,0.04
SN,AS,uttara,24,10.93,5.32,26.32,0.92,0.15,0.04
SN,AS,uttara,25,11.2,5.32,26.92,0.92,0.15,0.05
SN,AS,uttara,26,11.54,5.16,27.04,0.92,0.15,0.05
SN,AS,uttara,27,11.59,5.32,27.96,0.92,0.15,0.05
SN,AS,uttara,28,11.84,5.44,29.12,0.9,0.15,0.06
SN,AS,uttara,29,11.73,5.24,27.88,0.91,0.15,0.06
SN,AS,uttara,30,11.65,5.2,27.52,0.91,0.15,0.06
SN,AS,uttara,31,11.48,5.08,26.64,0.91,0.15,0.06
SN,AS,uttara,32,11.03,5.24,26.12,0.91,0.15,0.05
SN,AS,uttara,33,10.88,5.32,26.08,0.89,0.15,0.05
SN,AS,uttara,34,10.61,5.44,26.04,0.9,0.15,0.05
SN,AS,uttara,35,10.92,5.36,26.44,0.9,0.15,0.06
SN,AS,uttara,36,10.88,5.36,26.56,0.9,0.15,0.06
SN,AS,uttara,37,10.98,5.28,26.44,0.9,0.15,0.07
SN,AS,uttara,38,10.74,5.32,26.08,0.89,0.15,0.06
SN,AS,uttara,39,10.28,5.48,25.8,0.87,0.16,0.06
SN,AS,uttara,40,10.48,5.4,25.8,0.89,0.15,0.06
SN,AS,uttara,41,10.38,5.4,25.48,0.9,0.15,0.05
SN,AS,uttara,42,10.56,5.32,25.44,0.9,0.15,0.06
SN,AS,uttara,43,10.74,5.2,25.32,0.91,0.15,0.07
SN,AS,uttara,44,10.94,5.16,25.6,0.91,0.15,0.07
SN,AS,uttara,45,10.99,5.12,25.64,0.91,0.15,0.07
SN,AS,uttara,46,10.73,4.56,22.28,0.9,0.16,0.06
SN,AS,uttara,47,10.74,4.36,21.12,0.9,0.16,0.06
SN,AS,uttara,48,10.8,4.0,19.64,0.88,0.16,0.07
SN,AS,uttara,49,10.78,3.96,19.52,0.87,0.17,0.07
SN,AS,uttara,50,10.41,3.96,18.92,0.87,0.17,0.06
SN,AS,uttara,51,10.35,3.96,18.8,0.87,0.17,0.06
SN,AS,uttara,52,9.8,3.84,17.4,0.88,0.17,0.06
SN,AS,uttara,53,9.34,3.72,16.32,0.9,0.16,0.05
SN,AS,uttara,54,9.7,3.68,16.76,0.9,0.17,0.07
SN,AS,uttara,55,9.78,3.64,16.8,0.9,0.17,0.07
SN,AS,uttara,56,9.96,3.6,16.84,0.9,0.17,0.07
SN,AS,uttara,57,10.41,3.44,16.84,0.9,0.17,0.07
SN,AS,uttara,58,10.45,3.44,16.88,0.91,0.17,0.07
SN,AS,uttara,59,10.94,3.32,16.88,0.9,0.17,0.07
SN,AS,uttara,60,10.47,3.48,16.88,0.91,0.17,0.06
SN,AS,uttara,61,10.73,3.44,16.88,0.91,0.17,0.06
SN,AS,uttara,62,10.61,3.48,16.96,0.91,0.17,0.05
SN,AS,uttara,63,10.62,3.52,17.0,0.9,0.17,0.05
SN,AS,uttara,64,10.66,3.52,17.0,0.92,0.16,0.05
SN,AS,uttara,65,10.73,3.52,17.04,0.91,0.16,0.05
SN,AS,uttara,66,10.86,3.48,17.04,0.91,0.16,0.06
SN,AS,uttara,67,10.67,3.56,17.08,0.91,0.16,0.04
SN,AS,uttara,68,10.46,3.64,17.12,0.91,0.16,0.03
SN,AS,uttara,69,10.15,3.76,17.08,0.91,0.16,0.03
SN,AS,uttara,70,10.05,3.8,17.12,0.92,0.16,0.03
SN,AS,uttara,71,10.04,3.76,17.08,0.93,0.16,0.03
SN,AS,uttara,72,10.0,3.8,17.08,0.93,0.16,0.03
SN,AS,uttara,73,9.93,3.84,17.12,0.94,0.16,0.03
SN,AS,uttara,74,9.62,3.96,17.16,0.94,0.15,0.03
SN,AS,uttara,75,9.48,4.0,17.16,0.93,0.16,0.03
SN,AS,uttara,76,9.32,4.08,17.2,0.92,0.15,0.02
SN,AS,uttara,77,9.71,3.92,17.16,0.93,0.16,0.02
SN,AS,uttara,78,9.58,4.0,17.16,0.91,0.16,0.02
SN,AS,uttara,79,9.41,4.08,17.2,0.91,0.16,0.01
SN,AS,uttara,80,9.44,4.12,17.2,0.91,0.16,0.01
SN,AS,uttara,81,9.23,4.2,17.12,0.91,0.15,0.01
SN,AS,uttara,82,8.94,4.32,17.16,0.92,0.15,0.01
SN,AS,uttara,83,8.98,4.28,17.12,0.92,0.15,0.01
SN,AS,uttara,84,8.92,4.28,17.08,0.92,0.15,0.01
SN,AS,uttara,85,9.01,4.2,17.0,0.92,0.15,0.01
SN,AS,uttara,86,8.77,4.28,17.0,0.93,0.15,0.01
SN,AS,uttara,87,8.5,4.44,16.88,0.92,0.15,0.01
SN,AS,uttara,88,8.9,4.24,16.8,0.94,0.15,0.02
SN,AS,uttara,89,9.27,4.04,16.76,0.95,0.15,0.03
SN,AS,uttara,90,9.3,4.0,16.76,0.95,0.15,0.03
SN,AS,uttara,91,9.11,4.08,16.72,0.94,0.15,0.02
SN,AS,uttara,92,8.99,4.12,16.68,0.94,0.15,0.02
SN,AS,uttara,93,8.92,4.12,16.6,0.95,0.15,0.02
SN,AS,uttara,94,8.86,4.12,16.6,0.95,0.15,0.02
SN,AS,uttara,95,8.75,4.2,16.56,0.94,0.15,0.02
SN,AS,uttara,96,8.87,4.2,16.56,0.95,0.15,0.02
SN,AS,uttara,97,8.71,4.28,16.64,0.94,0.15,0.02
SN,AS,uttara,98,8.92,4.2,16.64,0.93,0.15,0.03
SN,AS,uttara,99,9.19,4.08,16.6,0.94,0.15,0.03
SN,AS,uttara,100,9.3,4.04,16.6,0.95,0.15,0.03
SN,AS,uttara,101,9.41,4.0,16.52,0.95,0.15,0.03
SN,AS,uttara,102,9.28,4.08,16.48,0.95,0.15,0.03
SN,AS,uttara,103,9.64,3.92,16.48,0.96,0.15,0.04
SN,AS,uttara,104,9.43,4.0,16.48,0.96,0.15,0.04
SN,AS,uttara,105,9.54,3.92,16.48,0.96,0.15,0.04
SN,AS,uttara,106,9.43,3.96,16.56,0.95,0.15,0.04
SN,AS,uttara,107,9.42,4.0,16.56,0.95,0.15,0.04
SN,AS,uttara,108,9.67,3.88,16.56,0.95,0.16,0.04
SN,AS,uttara,109,9.39,4.0,16.6,0.94,0.16,0.04
SN,AS,uttara,110,9.29,4.04,16.64,0.93,0.16,0.04
SN,AS,uttara,111,9.23,4.04,16.72,0.93,0.16,0.04
SN,AS,uttara,112,9.27,4.0,16.8,0.93,0.16,0.04
SN,AS,uttara,113,9.08,4.08,16.8,0.93,0.16,0.03
SN,AS,uttara,114,9.11,4.08,16.8,0.93,0.16,0.03
SN,AS,uttara,115,9.28,3.96,16.76,0.93,0.16,0.03
SN,AS,uttara,116,9.19,4.0,16.76,0.94,0.16,0.03
SN,AS,uttara,117,9.39,3.88,16.72,0.94,0.16,0.03
SN,AS,uttara,118,9.64,3.8,16.72,0.94,0.16,0.03
SN,AS,uttara,119,9.72,3.76,16.72,0.94,0.16,0.03
SN,AS,uttara,120,9.93,3.68,16.76,0.95,0.16,0.03
SN,AS,uttara,121,9.74,3.72,16.76,0.94,0.16,0.03
SN,AS,uttara,122,10.07,3.6,16.72,0.96,0.16,0.03
SN,AS,uttara,123,9.9,3.64,16.72,0.97,0.16,0.02
SN,AS,uttara,124,9.65,3.72,16.76,0.97,0.16,0.02
SN,AS,uttara,125,9.78,3.68,16.76,0.97,0.16,0.02
SN,AS,uttara,126,9.79,3.68,16.8,0.97,0.16,0.03
SN,AS,uttara,127,9.67,3.72,16.8,0.96,0.16,0.03
SN,AS,uttara,128,9.53,3.8,16.92,0.96,0.16,0.02
SN,AS,uttara,129,9.7,3.76,16.88,0.96,0.16,0.02
SN,AS,uttara,130,9.48,3.84,16.84,0.96,0.16,0.02
SN,AS,uttara,131,9.64,3.76,16.8,0.97,0.15,0.02
SN,AS,uttara,132,9.8,3.68,16.8,0.96,0.16,0.02
SN,AS,uttara,133,9.74,3.72,16.76,0.96,0.16,0.02
SN,AS,uttara,134,9.57,3.76,16.76,0.96,0.16,0.02
SN,AS,uttara,135,9.76,3.72,16.72,0.97,0.16,0.02
SN,AS,uttara,136,9.73,3.76,16.64,0.96,0.16,0.02
SN,AS,uttara,137,10.25,3.56,16.56,0.97,0.16,0.03
SN,AS,uttara,138,10.39,3.48,16.56,0.97,0.16,0.05
SN,AS,uttara,139,10.39,3.48,16.56,0.97,0.16,0.05
SN,AS,uttara,140,10.26,3.56,16.6,0.97,0.16,0.04
SN,AS,uttara,141,10.47,3.52,16.64,0.95,0.16,0.06
SN,AS,uttara,142,10.66,3.48,16.64,0.95,0.16,0.07
SN,AS,uttara,143,10.68,3.48,16.68,0.95,0.16,0.08
SN,AS,uttara,144,10.66,3.48,16.68,0.93,0.16,0.08
SN,AS,uttara,145,10.64,3.48,16.64,0.93,0.16,0.08
SN,AS,uttara,146,10.88,3.4,16.64,0.93,0.16,0.08
SN,AS,uttara,147,10.76,3.44,16.68,0.93,0.16,0.08
SN,AS,uttara,148,10.86,3.44,16.68,0.93,0.16,0.08
SN,AS,uttara,149,11.02,3.4,16.68,0.93,0.16,0.08
SN,AS,uttara,150,10.94,3.44,16.72,0.93,0.16,0.08
SN,AS,uttara,151,10.68,3.52,16.72,0.92,0.16,0.07
SN,AS,uttara,152,11.25,3.32,16.72,0.93,0.16,0.08
SN,AS,uttara,153,11.19,3.32,16.6,0.93,0.16,0.08
SN,AS,uttara,154,11.56,3.2,16.6,0.93,0.16,0.1
SN,AS,uttara,155,11.75,3.16,16.64,0.94,0.16,0.1
SN,AS,uttara,156,11.78,3.16,16.6,0.94,0.16,0.1
SN,AS,uttara,157,12.22,3.04,16.56,0.95,0.16,0.12
SN,AS,uttara,158,12.13,3.08,16.56,0.95,0.16,0.12
SN,AS,uttara,159,12.94,2.88,16.56,0.96,0.16,0.12
SN,AS,uttara,160,12.43,3.0,16.6,0.96,0.16,0.12
SN,AS,uttara,161,13.14,2.84,16.56,0.97,0.16,0.14
SN,AS,uttara,162,12.48,3.0,16.64,0.95,0.16,0.12
SN,AS,uttara,163,12.23,3.08,16.68,0.95,0.16,0.1
SN,AS,uttara,164,11.63,3.24,16.68,0.95,0.16,0.09
SN,AS,uttara,165,11.42,3.32,16.68,0.95,0.16,0.08
SN,AS,uttara,166,11.29,3.32,16.64,0.95,0.16,0.07
