Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AS,chikitsa,1,9.58,3.78,16.64,0.92,0.14,0.03
SN,AS,chikitsa,2,9.71,3.74,16.7,0.92,0.14,0.04
SN,AS,chikitsa,3,9.64,3.78,16.76,0.9,0.14,0.04
SN,AS,chikitsa,4,9.74,3.74,16.72,0.9,0.14,0.04
SN,AS,chikitsa,5,9.9,3.68,16.68,0.91,0.14,0.04
SN,AS,chikitsa,6,10.05,3.62,16.66,0.91,0.14,0.04
SN,AS,chikitsa,7,10.08,3.62,16.66,0.91,0.14,0.05
SN,AS,chikitsa,8,10.17,3.58,16.66,0.9,0.14,0.05
SN,AS,chikitsa,9,10.21,3.56,16.68,0.89,0.14,0.05
SN,AS,chikitsa,10,10.33,3.52,16.72,0.89,0.14,0.05
SN,AS,chikitsa,11,10.25,3.56,16.74,0.89,0.14,0.04
SN,AS,chikitsa,12,10.27,3.56,16.78,0.9,0.14,0.04
SN,AS,chikitsa,13,10.31,3.56,16.8,0.9,0.14,0.04
SN,AS,chikitsa,14,10.3,3.58,16.8,0.9,0.14,0.04
SN,AS,chikitsa,15,10.41,3.54,16.8,0.9,0.14,0.05
SN,AS,chikitsa,16,10.42,3.54,16.82,0.9,0.14,0.05
SN,AS,chikitsa,17,10.47,3.54,16.84,0.91,0.14,0.05
SN,AS,chikitsa,18,10.54,3.5,16.86,0.92,0.14,0.05
SN,AS,chikitsa,19,10.52,3.52,16.86,0.92,0.14,0.05
SN,AS,chikitsa,20,10.57,3.5,16.84,0.93,0.14,0.05
SN,AS,chikitsa,21,10.83,3.42,16.84,0.94,0.14,0.05
SN,AS,chikitsa,22,10.84,3.42,16.82,0.94,0.14,0.05
SN,AS,chikitsa,23,10.78,3.44,16.82,0.94,0.14,0.05
SN,AS,chikitsa,24,10.77,3.44,16.82,0.94,0.14,0.05
SN,AS,chikitsa,25,11.07,3.34,16.78,0.93,0.14,0.05
SN,AS,chikitsa,26,11.29,3.28,16.78,0.93,0.14,0.05
SN,AS,chikitsa,27,11.12,3.32,16.78,0.93,0.14,0.05
SN,AS,chikitsa,28,10.99,3.36,16.76,0.93,0.14,0.05
SN,AS,chikitsa,29,11.12,3.34,16.74,0.93,0.14,0.05
SN,AS,chikitsa,30,10.73,3.46,16.72,0.92,0.14,0.05
SN,AS,chikitsa,31,10.76,3.46,16.72,0.92,0.14,0.05
