Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AS,kalpa,1,11.06,6.06,32.2,0.81,0.14,0.05
SN,AS,kalpa,2,11.05,6.06,32.18,0.81,0.14,0.05
SN,AS,kalpa,3,11.2,6.04,32.48,0.81,0.14,0.05
SN,AS,kalpa,4,11.15,6.02,32.18,0.8,0.14,0.05
SN,AS,kalpa,5,11.09,6.1,32.42,0.8,0.14,0.04
SN,AS,kalpa,6,10.9,5.98,31.26,0.8,0.15,0.04
SN,AS,kalpa,7,10.81,5.78,29.96,0.79,0.15,0.04
SN,AS,kalpa,8,10.88,5.6,29.16,0.79,0.15,0.04
SN,AS,kalpa,9,10.77,5.36,27.66,0.79,0.15,0.04
SN,AS,kalpa,10,10.58,5.46,27.74,0.79,0.15,0.03
SN,AS,kalpa,11,10.62,5.62,28.6,0.79,0.15,0.04
SN,AS,kalpa,12,10.6,5.56,28.24,0.8,0.15,0.03
SN,AS,kalpa,13,10.83,5.58,29.06,0.8,0.15,0.04
SN,AS,kalpa,14,11.04,5.5,29.2,0.8,0.15,0.04
SN,AS,kalpa,15,11.29,5.38,29.24,0.8,0.15,0.04
SN,AS,kalpa,16,11.38,5.36,29.4,0.81,0.15,0.04
SN,AS,kalpa,17,11.4,5.4,29.84,0.8,0.15,0.04
SN,AS,kalpa,18,11.26,5.28,28.82,0.8,0.15,0.05
SN,AS,kalpa,19,10.86,5.16,27.12,0.81,0.15,0.04
SN,AS,kalpa,20,10.57,5.08,26.1,0.81,0.15,0.04
SN,AS,kalpa,21,10.54,5.0,25.64,0.81,0.15,0.04
SN,AS,kalpa,22,10.59,4.96,25.5,0.81,0.15,0.04
SN,AS,kalpa,23,10.59,4.96,25.46,0.81,0.15,0.04
SN,AS,kalpa,24,10.37,4.94,24.86,0.81,0.15,0.03
SN,AS,kalpa,25,10.16,4.66,22.9,0.81,0.15,0.03
SN,AS,kalpa,26,10.16,4.54,22.24,0.81,0.15,0.03
SN,AS,kalpa,27,10.1,4.52,21.98,0.81,0.15,0.03
SN,AS,kalpa,28,10.19,4.44,21.72,0.81,0.15,0.03
SN,AS,kalpa,29,10.1,4.52,21.86,0.81,0.15,0.03
SN,AS,kalpa,30,10.16,4.62,22.44,0.82,0.15,0.03
SN,AS,kalpa,31,10.22,4.66,22.72,0.82,0.15,0.03
SN,AS,kalpa,32,10.31,4.84,23.78,0.82,0.15,0.03
SN,AS,kalpa,33,10.36,4.88,24.1,0.82,0.15,0.03
SN,AS,kalpa,34,10.33,4.94,24.28,0.83,0.14,0.03
SN,AS,kalpa,35,10.46,4.94,24.54,0.83,0.14,0.03
SN,AS,kalpa,36,10.72,4.92,24.88,0.84,0.14,0.04
SN,AS,kalpa,37,11.02,4.78,24.78,0.84,0.14,0.04
SN,AS,kalpa,38,11.55,4.8,26.34,0.84,0.14,0.06
SN,AS,kalpa,39,11.58,4.74,26.14,0.83,0.14,0.06
SN,AS,kalpa,40,11.62,4.74,26.18,0.84,0.14,0.06
SN,AS,kalpa,41,11.53,4.76,26.0,0.84,0.14,0.05
SN,AS,kalpa,42,11.54,4.78,26.1,0.84,0.14,0.05
SN,AS,kalpa,43,11.36,4.82,25.9,0.84,0.14,0.05
SN,AS,kalpa,44,11.46,4.74,25.76,0.84,0.14,0.05
SN,AS,kalpa,45,11.66,4.68,25.78,0.85,0.14,0.06
SN,AS,kalpa,46,11.69,4.6,25.36,0.85,0.14,0.06
SN,AS,kalpa,47,11.7,4.6,25.38,0.85,0.14,0.06
SN,AS,kalpa,48,11.77,4.58,25.42,0.84,0.14,0.06
SN,AS,kalpa,49,11.66,4.48,24.68,0.84,0.14,0.05
SN,AS,kalpa,50,11.66,4.48,24.74,0.84,0.14,0.05
SN,AS,kalpa,51,11.9,4.4,24.76,0.85,0.14,0.06
SN,AS,kalpa,52,11.86,4.44,24.88,0.86,0.14,0.06
SN,AS,kalpa,53,11.66,4.46,24.64,0.86,0.14,0.06
SN,AS,kalpa,54,11.68,4.44,24.56,0.86,0.14,0.06
SN,AS,kalpa,55,11.84,4.32,24.26,0.87,0.14,0.06
SN,AS,kalpa,56,12.04,4.26,24.32,0.87,0.14,0.07
SN,AS,kalpa,57,11.92,4.28,24.14,0.86,0.14,0.07
SN,AS,kalpa,58,11.97,4.28,24.2,0.86,0.14,0.07
SN,AS,kalpa,59,12.06,4.24,24.08,0.86,0.14,0.07
SN,AS,kalpa,60,12.21,4.14,23.72,0.87,0.14,0.07
SN,AS,kalpa,61,12.46,3.94,23.06,0.87,0.14,0.08
SN,AS,kalpa,62,12.27,3.92,22.6,0.87,0.14,0.08
SN,AS,kalpa,63,11.81,3.92,21.64,0.88,0.14,0.07
SN,AS,kalpa,64,11.82,3.86,21.26,0.88,0.14,0.07
SN,AS,kalpa,65,11.62,3.86,20.8,0.88,0.14,0.07
