Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,AS,sutra,1,9.83,3.88,17.1,0.96,0.13,0.03
SN,AS,sutra,2,9.75,3.9,16.96,0.95,0.13,0.03
SN,AS,sutra,3,9.69,3.92,16.78,0.95,0.13,0.03
SN,AS,sutra,4,9.78,3.82,16.48,0.95,0.13,0.03
SN,AS,sutra,5,9.77,3.84,16.48,0.94,0.13,0.03
SN,AS,sutra,6,9.85,3.82,16.48,0.94,0.13,0.03
SN,AS,sutra,7,9.82,3.84,16.52,0.94,0.14,0.03
SN,AS,sutra,8,9.87,3.82,16.5,0.94,0.14,0.03
SN,AS,sutra,9,9.86,3.82,16.52,0.94,0.14,0.03
SN,AS,sutra,10,9.78,3.84,16.5,0.94,0.13,0.03
SN,AS,sutra,11,9.61,3.92,16.5,0.94,0.13,0.03
SN,AS,sutra,12,9.58,3.94,16.5,0.94,0.13,0.03
SN,AS,sutra,13,9.51,3.98,16.48,0.94,0.13,0.03
SN,AS,sutra,14,9.59,3.94,16.46,0.94,0.13,0.03
SN,AS,sutra,15,9.55,3.98,16.48,0.94,0.13,0.03
SN,AS,sutra,16,9.37,4.06,16.5,0.94,0.13,0.02
SN,AS,sutra,17,9.42,4.04,16.5,0.93,0.13,0.02
SN,AS,sutra,18,9.46,4.02,16.48,0.94,0.13,0.02
SN,AS,sutra,19,9.52,4.02,16.5,0.94,0.13,0.02
SN,AS,sutra,20,9.51,4.02,16.48,0.93,0.13,0.02
SN,AS,sutra,21,9.53,4.02,16.44,0.93,0.13,0.02
SN,AS,sutra,22,9.46,4.04,16.42,0.93,0.13,0.02
SN,AS,sutra,23,9.48,4.02,16.4,0.93,0.13,0.02
SN,AS,sutra,24,9.36,4.06,16.38,0.93,0.13,0.02
SN,AS,sutra,25,9.39,4.04,16.44,0.92,0.13,0.02
SN,AS,sutra,26,9.35,4.08,16.44,0.92,0.13,0.02
SN,AS,sutra,27,9.28,4.12,16.44,0.92,0.13,0.02
SN,AS,sutra,28,9.36,4.08,16.42,0.93,0.13,0.02
SN,AS,sutra,29,9.44,4.04,16.42,0.93,0.13,0.02
SN,AS,sutra,30,9.47,4.02,16.4,0.93,0.13,0.02
SN,AS,sutra,31,9.37,4.04,16.38,0.93,0.13,0.02
SN,AS,sutra,32,9.26,4.08,16.38,0.92,0.13,0.01
SN,AS,sutra,33,9.14,4.12,16.38,0.92,0.13,0.01
SN,AS,sutra,34,9.07,4.14,16.4,0.91,0.13,0.01
SN,AS,sutra,35,9.13,4.12,16.4,0.91,0.13,0.02
SN,AS,sutra,36,9.14,4.1,16.4,0.91,0.14,0.02
SN,AS,sutra,37,9.14,4.1,16.4,0.9,0.14,0.02
SN,AS,sutra,38,9.07,4.12,16.4,0.9,0.14,0.02
