Text_Type,Book,Chapter,Window,Mean,StDev
SN,CS,chikitsa,1,30.82,32.58
SN,CS,chikitsa,2,28.31,31.2
SN,CS,chikitsa,3,28.5,32.4
SN,CS,chikitsa,4,27.35,32.78
SN,CS,chikitsa,5,26.45,31.77
SN,CS,chikitsa,6,26.76,32.85
SN,CS,chikitsa,7,27.76,32.58
SN,CS,chikitsa,8,27.55,31.75
SN,CS,chikitsa,9,26.72,31.54
SN,CS,chikitsa,10,27.26,30.56
SN,CS,chikitsa,11,26.93,31.81
SN,CS,chikitsa,12,26.74,31.8
SN,CS,chikitsa,13,27.16,31.89
SN,CS,chikitsa,14,26.88,31.47
SN,CS,chikitsa,15,26.83,31.84
SN,CS,chikitsa,16,27.22,32.68
SN,CS,chikitsa,17,27.05,31.81
SN,CS,chikitsa,18,27.05,31.81
SN,CS,chikitsa,19,27.62,31.1
SN,CS,chikitsa,20,27.5,31.9
SN,CS,chikitsa,21,25.81,30.48
SN,CS,chikitsa,22,25.25,31.05
SN,CS,chikitsa,23,24.99,30.75
SN,CS,chikitsa,24,25.2,30.62
SN,CS,chikitsa,25,24.94,30.3
SN,CS,chikitsa,26,24.27,30.07
SN,CS,chikitsa,27,24.17,29.81
SN,CS,chikitsa,28,24.22,29.58
SN,CS,chikitsa,29,23.41,28.73
SN,CS,chikitsa,30,23.54,28.86
SN,CS,chikitsa,31,22.95,29.11
SN,CS,chikitsa,32,23.16,29.8
SN,CS,chikitsa,33,23.7,30.65
SN,CS,chikitsa,34,23.84,29.74
SN,CS,chikitsa,35,24.1,29.64
SN,CS,chikitsa,36,25.19,29.32
SN,CS,chikitsa,37,25.08,29.35
SN,CS,chikitsa,38,25.58,29.58
SN,CS,chikitsa,39,25.58,29.58
SN,CS,chikitsa,40,26.11,28.68
SN,CS,chikitsa,41,25.36,28.57
SN,CS,chikitsa,42,25.86,28.39
SN,CS,chikitsa,43,25.67,27.28
SN,CS,chikitsa,44,25.94,27.55
SN,CS,chikitsa,45,26.96,27.81
SN,CS,chikitsa,46,27.6,29.22
SN,CS,chikitsa,47,27.99,29.34
SN,CS,chikitsa,48,28.56,29.28
SN,CS,chikitsa,49,28.06,28.97
SN,CS,chikitsa,50,27.79,28.43
SN,CS,chikitsa,51,27.69,27.73
SN,CS,chikitsa,52,27.74,28.58
SN,CS,chikitsa,53,28.59,28.05
SN,CS,chikitsa,54,28.59,28.05
SN,CS,chikitsa,55,29.98,28.68
SN,CS,chikitsa,56,29.68,27.75
SN,CS,chikitsa,57,30.77,27.6
SN,CS,chikitsa,58,30.35,27.41
SN,CS,chikitsa,59,31.03,26.81
SN,CS,chikitsa,60,31.99,27.29
SN,CS,chikitsa,61,30.96,26.59
SN,CS,chikitsa,62,31.25,26.61
SN,CS,chikitsa,63,31.14,27.27
SN,CS,chikitsa,64,31.18,27.98
SN,CS,chikitsa,65,29.77,27.28
SN,CS,chikitsa,66,29.77,26.19
SN,CS,chikitsa,67,34.36,20.7
SN,CS,chikitsa,68,34.91,20.06
SN,CS,chikitsa,69,35.09,20.46
SN,CS,chikitsa,70,35.61,20.1
SN,CS,chikitsa,71,34.68,21.32
SN,CS,chikitsa,72,34.35,21.48
SN,CS,chikitsa,73,34.32,21.81
SN,CS,chikitsa,74,34.25,22.36
SN,CS,chikitsa,75,35.01,22.89
SN,CS,chikitsa,76,35.33,22.67
SN,CS,chikitsa,77,35.5,23.31
SN,CS,chikitsa,78,34.86,23.79
SN,CS,chikitsa,79,35.38,24.06
SN,CS,chikitsa,80,34.5,24.75
SN,CS,chikitsa,81,35.43,23.95
SN,CS,chikitsa,82,35.24,23.81
SN,CS,chikitsa,83,36.14,23.67
SN,CS,chikitsa,84,35.47,24.15
SN,CS,chikitsa,85,35.23,24.8
SN,CS,chikitsa,86,34.38,25.6
SN,CS,chikitsa,87,33.63,25.72
SN,CS,chikitsa,88,33.27,25.93
SN,CS,chikitsa,89,33.33,25.96
SN,CS,chikitsa,90,32.99,26.6
SN,CS,chikitsa,91,33.27,26.7
SN,CS,chikitsa,92,33.62,27.45
SN,CS,chikitsa,93,34.53,28.58
SN,CS,chikitsa,94,34.14,27.72
SN,CS,chikitsa,95,33.19,27.44
SN,CS,chikitsa,96,33.42,26.69
SN,CS,chikitsa,97,32.76,25.85
SN,CS,chikitsa,98,32.75,24.99
SN,CS,chikitsa,99,33.19,24.21
SN,CS,chikitsa,100,33.2,23.27
SN,CS,chikitsa,101,33.12,23.77
SN,CS,chikitsa,102,40.82,27.23
SN,CS,chikitsa,103,42.91,26.56
SN,CS,chikitsa,104,44.87,26.19
SN,CS,chikitsa,105,51.49,28.83
SN,CS,chikitsa,106,51.5,29.14
SN,CS,chikitsa,107,61.0,30.0
SN,CS,chikitsa,108,61.41,29.25
SN,CS,chikitsa,109,62.04,29.2
SN,CS,chikitsa,110,62.45,29.55
SN,CS,chikitsa,111,62.09,29.48
SN,CS,chikitsa,112,62.51,29.01
SN,CS,chikitsa,113,63.17,28.36
SN,CS,chikitsa,114,64.88,28.7
SN,CS,chikitsa,115,63.1,28.42
SN,CS,chikitsa,116,62.68,27.94
SN,CS,chikitsa,117,53.01,29.98
SN,CS,chikitsa,118,57.26,29.59
SN,CS,chikitsa,119,61.01,29.6
SN,CS,chikitsa,120,66.57,31.61
SN,CS,chikitsa,121,68.22,31.23
SN,CS,chikitsa,122,71.62,30.41
SN,CS,chikitsa,123,74.05,30.82
SN,CS,chikitsa,124,74.55,30.42
SN,CS,chikitsa,125,75.54,29.71
SN,CS,chikitsa,126,75.67,29.46
SN,CS,chikitsa,127,76.27,28.66
SN,CS,chikitsa,128,76.87,28.53
SN,CS,chikitsa,129,81.16,29.22
SN,CS,chikitsa,130,80.92,29.3
SN,CS,chikitsa,131,82.27,30.15
SN,CS,chikitsa,132,83.74,30.64
SN,CS,chikitsa,133,89.78,32.03
SN,CS,chikitsa,134,89.62,32.02
SN,CS,chikitsa,135,90.82,31.26
SN,CS,chikitsa,136,92.9,31.59
SN,CS,chikitsa,137,99.31,33.24
SN,CS,chikitsa,138,99.82,33.23
SN,CS,chikitsa,139,109.93,34.96
SN,CS,chikitsa,140,111.67,35.04
SN,CS,chikitsa,141,111.72,35.04
SN,CS,chikitsa,142,114.79,35.34
SN,CS,chikitsa,143,118.8,36.32
SN,CS,chikitsa,144,120.36,36.84
SN,CS,chikitsa,145,125.07,38.34
SN,CS,chikitsa,146,129.26,39.52
SN,CS,chikitsa,147,132.0,40.21
SN,CS,chikitsa,148,135.77,40.93
SN,CS,chikitsa,149,138.85,41.59
SN,CS,chikitsa,150,139.96,42.15
SN,CS,chikitsa,151,145.18,42.98
SN,CS,chikitsa,152,140.69,41.78
SN,CS,chikitsa,153,139.45,41.65
SN,CS,chikitsa,154,139.29,41.85
SN,CS,chikitsa,155,135.07,40.58
SN,CS,chikitsa,156,135.57,40.48
SN,CS,chikitsa,157,124.87,38.48
SN,CS,chikitsa,158,122.62,38.32
SN,CS,chikitsa,159,122.45,38.49
SN,CS,chikitsa,160,122.84,38.57
SN,CS,chikitsa,161,122.03,38.37
SN,CS,chikitsa,162,122.68,39.07
SN,CS,chikitsa,163,120.99,39.01
SN,CS,chikitsa,164,118.44,38.01
SN,CS,chikitsa,165,120.48,38.13
SN,CS,chikitsa,166,117.97,37.61
SN,CS,chikitsa,167,114.83,37.03
SN,CS,chikitsa,168,109.85,36.27
SN,CS,chikitsa,169,106.91,36.27
SN,CS,chikitsa,170,98.35,34.44
SN,CS,chikitsa,171,98.77,34.73
SN,CS,chikitsa,172,96.04,35.27
SN,CS,chikitsa,173,95.54,35.09
SN,CS,chikitsa,174,107.42,37.23
SN,CS,chikitsa,175,107.88,37.36
SN,CS,chikitsa,176,108.36,37.72
SN,CS,chikitsa,177,108.13,38.01
SN,CS,chikitsa,178,107.3,37.88
SN,CS,chikitsa,179,101.34,37.31
SN,CS,chikitsa,180,102.43,37.11
