Text_Type,Book,Chapter,Window,Mean,StDev
SN,CS,shareera,1,89.28,62.74
SN,CS,shareera,2,91.8,64.71
SN,CS,shareera,3,94.92,67.51
SN,CS,shareera,4,94.61,67.39
SN,CS,shareera,5,94.56,67.4
SN,CS,shareera,6,96.55,69.13
SN,CS,shareera,7,98.35,70.02
SN,CS,shareera,8,99.72,71.22
SN,CS,shareera,9,99.17,71.08
SN,CS,shareera,10,99.06,71.21
SN,CS,shareera,11,101.6,72.71
SN,CS,shareera,12,101.87,73.03
SN,CS,shareera,13,102.6,73.74
SN,CS,shareera,14,102.04,73.01
SN,CS,shareera,15,102.52,73.81
SN,CS,shareera,16,102.12,73.28
SN,CS,shareera,17,103.67,73.69
SN,CS,shareera,18,101.33,73.04
SN,CS,shareera,19,100.25,72.51
SN,CS,shareera,20,101.61,73.68
SN,CS,shareera,21,101.36,73.8
SN,CS,shareera,22,102.31,74.48
SN,CS,shareera,23,102.83,74.91
SN,CS,shareera,24,102.96,74.94
SN,CS,shareera,25,104.28,75.14
SN,CS,shareera,26,102.85,74.49
SN,CS,shareera,27,103.99,74.55
SN,CS,shareera,28,104.89,75.01
SN,CS,shareera,29,104.56,73.86
SN,CS,shareera,30,102.5,72.62
SN,CS,shareera,31,103.05,72.76
SN,CS,shareera,32,103.88,72.95
SN,CS,shareera,33,103.88,72.95
SN,CS,shareera,34,102.93,72.69
SN,CS,shareera,35,102.17,72.2
SN,CS,shareera,36,101.61,71.76
SN,CS,shareera,37,99.71,70.21
SN,CS,shareera,38,98.71,70.31
SN,CS,shareera,39,97.79,69.79
SN,CS,shareera,40,97.06,69.82
SN,CS,shareera,41,98.08,69.84
SN,CS,shareera,42,99.08,70.71
SN,CS,shareera,43,100.6,71.18
SN,CS,shareera,44,101.07,71.36
SN,CS,shareera,45,100.35,70.89
SN,CS,shareera,46,100.35,70.89
SN,CS,shareera,47,99.06,70.28
SN,CS,shareera,48,99.62,71.36
SN,CS,shareera,49,99.49,71.54
SN,CS,shareera,50,99.76,71.58
SN,CS,shareera,51,100.49,71.77
SN,CS,shareera,52,100.37,71.73
SN,CS,shareera,53,100.29,71.67
SN,CS,shareera,54,101.83,72.64
SN,CS,shareera,55,101.51,72.31
SN,CS,shareera,56,100.39,71.5
SN,CS,shareera,57,99.24,71.1
SN,CS,shareera,58,98.92,70.72
SN,CS,shareera,59,97.18,69.95
SN,CS,shareera,60,97.37,69.69
SN,CS,shareera,61,95.89,68.35
SN,CS,shareera,62,95.42,68.24
SN,CS,shareera,63,94.86,67.16
