Text_Type,Book,Chapter,Window,Mean,StDev
SN,CS,indriya,1,55.52,18.83
SN,CS,indriya,2,54.2,18.5
SN,CS,indriya,3,52.84,18.05
SN,CS,indriya,4,46.2,16.14
SN,CS,indriya,5,44.05,15.83
SN,CS,indriya,6,41.2,15.04
SN,CS,indriya,7,41.34,14.97
SN,CS,indriya,8,40.64,14.98
SN,CS,indriya,9,38.61,14.21
SN,CS,indriya,10,34.55,12.37
SN,CS,indriya,11,34.15,12.23
SN,CS,indriya,12,31.07,10.83
SN,CS,indriya,13,30.86,10.63
SN,CS,indriya,14,31.13,10.76
SN,CS,indriya,15,31.49,11.08
SN,CS,indriya,16,29.74,10.71
SN,CS,indriya,17,26.99,9.38
SN,CS,indriya,18,26.01,8.94
SN,CS,indriya,19,24.95,8.69
SN,CS,indriya,20,22.71,7.21
SN,CS,indriya,21,24.24,7.63
SN,CS,indriya,22,22.42,6.63
SN,CS,indriya,23,22.67,5.88
SN,CS,indriya,24,21.7,5.57
SN,CS,indriya,25,20.72,5.43
SN,CS,indriya,26,18.95,4.97
SN,CS,indriya,27,17.61,4.85
SN,CS,indriya,28,18.54,5.28
SN,CS,indriya,29,18.02,4.96
SN,CS,indriya,30,18.75,5.49
SN,CS,indriya,31,19.25,6.11
SN,CS,indriya,32,19.05,5.98
SN,CS,indriya,33,19.76,6.32
SN,CS,indriya,34,20.95,7.18
SN,CS,indriya,35,22.01,7.72
SN,CS,indriya,36,22.64,8.03
SN,CS,indriya,37,26.73,10.36
SN,CS,indriya,38,28.83,11.46
SN,CS,indriya,39,30.26,12.08
SN,CS,indriya,40,31.63,12.59
SN,CS,indriya,41,33.37,13.28
SN,CS,indriya,42,34.4,13.58
SN,CS,indriya,43,34.03,13.54
SN,CS,indriya,44,34.55,13.81
SN,CS,indriya,45,36.54,14.45
SN,CS,indriya,46,36.64,14.57
SN,CS,indriya,47,35.66,14.34
SN,CS,indriya,48,36.41,14.53
SN,CS,indriya,49,36.6,14.57
SN,CS,indriya,50,34.79,14.05
SN,CS,indriya,51,35.02,14.04
SN,CS,indriya,52,33.89,13.63
SN,CS,indriya,53,31.38,12.83
SN,CS,indriya,54,31.89,12.83
SN,CS,indriya,55,31.07,12.62
SN,CS,indriya,56,31.21,12.51
SN,CS,indriya,57,30.54,12.28
SN,CS,indriya,58,30.18,12.28
SN,CS,indriya,59,29.98,12.17
SN,CS,indriya,60,29.95,12.21
SN,CS,indriya,61,29.49,12.11
SN,CS,indriya,62,28.42,11.6
SN,CS,indriya,63,28.26,11.54
SN,CS,indriya,64,28.84,11.85
SN,CS,indriya,65,28.76,11.8
SN,CS,indriya,66,28.55,11.64
SN,CS,indriya,67,28.47,11.55
SN,CS,indriya,68,28.13,11.46
SN,CS,indriya,69,28.19,11.59
SN,CS,indriya,70,28.26,11.58
SN,CS,indriya,71,28.79,11.71
SN,CS,indriya,72,28.61,11.62
SN,CS,indriya,73,28.52,11.52
SN,CS,indriya,74,29.06,11.69
SN,CS,indriya,75,28.3,11.52
SN,CS,indriya,76,28.44,11.61
SN,CS,indriya,77,28.6,11.66
SN,CS,indriya,78,28.43,11.61
SN,CS,indriya,79,27.94,11.44
SN,CS,indriya,80,27.45,11.12
SN,CS,indriya,81,27.54,11.12
SN,CS,indriya,82,26.24,10.54
SN,CS,indriya,83,25.37,10.04
SN,CS,indriya,84,25.74,10.16
SN,CS,indriya,85,25.82,10.26
SN,CS,indriya,86,25.64,10.07
SN,CS,indriya,87,25.45,9.94
SN,CS,indriya,88,25.46,9.91
SN,CS,indriya,89,25.83,9.94
SN,CS,indriya,90,25.5,9.74
SN,CS,indriya,91,25.49,9.74
SN,CS,indriya,92,26.22,10.14
SN,CS,indriya,93,26.28,10.25
SN,CS,indriya,94,27.36,10.49
SN,CS,indriya,95,26.69,10.27
SN,CS,indriya,96,27.53,10.54
SN,CS,indriya,97,27.93,10.71
SN,CS,indriya,98,26.54,10.05
SN,CS,indriya,99,26.63,10.1
SN,CS,indriya,100,26.19,10.05
SN,CS,indriya,101,25.53,9.79
SN,CS,indriya,102,24.14,9.26
SN,CS,indriya,103,20.9,8.0
SN,CS,indriya,104,19.79,7.24
SN,CS,indriya,105,18.79,6.75
SN,CS,indriya,106,17.26,5.85
SN,CS,indriya,107,16.25,5.16
SN,CS,indriya,108,16.18,4.93
SN,CS,indriya,109,15.04,4.48
SN,CS,indriya,110,14.69,4.2
SN,CS,indriya,111,15.02,4.29
SN,CS,indriya,112,12.12,4.91
SN,CS,indriya,113,11.36,6.26
SN,CS,indriya,114,10.18,7.44
SN,CS,indriya,115,10.61,8.18
SN,CS,indriya,116,12.34,9.94
SN,CS,indriya,117,11.8,10.35
SN,CS,indriya,118,11.04,10.17
SN,CS,indriya,119,10.97,10.4
SN,CS,indriya,120,10.95,11.14
SN,CS,indriya,121,11.05,11.42
SN,CS,indriya,122,11.24,11.73
SN,CS,indriya,123,11.62,11.99
SN,CS,indriya,124,12.13,12.27
SN,CS,indriya,125,11.55,11.95
SN,CS,indriya,126,11.43,11.7
SN,CS,indriya,127,10.91,11.41
SN,CS,indriya,128,10.74,11.36
SN,CS,indriya,129,10.79,11.39
SN,CS,indriya,130,10.81,11.57
SN,CS,indriya,131,10.92,11.67
SN,CS,indriya,132,10.74,11.51
SN,CS,indriya,133,10.39,11.37
SN,CS,indriya,134,11.09,11.53
SN,CS,indriya,135,11.03,11.58
SN,CS,indriya,136,10.98,11.55
SN,CS,indriya,137,10.96,11.83
SN,CS,indriya,138,11.14,12.03
SN,CS,indriya,139,11.51,11.98
SN,CS,indriya,140,11.51,12.01
SN,CS,indriya,141,11.61,12.05
SN,CS,indriya,142,11.82,12.11
SN,CS,indriya,143,10.71,11.72
