Text_Type,Book,Chapter,Window,Mean,StDev
SN,CS,kalpa,1,133.28,35.41
SN,CS,kalpa,2,132.62,35.34
SN,CS,kalpa,3,132.62,35.34
SN,CS,kalpa,4,128.54,34.58
SN,CS,kalpa,5,126.09,34.03
SN,CS,kalpa,6,119.53,32.59
SN,CS,kalpa,7,119.4,32.6
SN,CS,kalpa,8,113.08,31.05
SN,CS,kalpa,9,110.8,30.33
SN,CS,kalpa,10,109.11,29.64
SN,CS,kalpa,11,89.28,26.46
SN,CS,kalpa,12,84.11,25.54
SN,CS,kalpa,13,80.08,24.96
SN,CS,kalpa,14,75.3,24.08
SN,CS,kalpa,15,70.3,22.97
SN,CS,kalpa,16,69.34,22.41
SN,CS,kalpa,17,69.08,22.24
SN,CS,kalpa,18,67.38,21.76
SN,CS,kalpa,19,63.99,20.51
SN,CS,kalpa,20,62.27,19.95
SN,CS,kalpa,21,61.77,19.87
SN,CS,kalpa,22,58.32,19.03
SN,CS,kalpa,23,52.78,17.89
SN,CS,kalpa,24,52.89,18.01
SN,CS,kalpa,25,52.6,17.91
SN,CS,kalpa,26,52.22,17.69
SN,CS,kalpa,27,47.98,16.24
SN,CS,kalpa,28,46.6,15.68
SN,CS,kalpa,29,45.34,15.29
SN,CS,kalpa,30,43.5,14.72
SN,CS,kalpa,31,39.47,13.3
SN,CS,kalpa,32,33.55,11.22
SN,CS,kalpa,33,32.52,10.83
SN,CS,kalpa,34,28.01,9.61
SN,CS,kalpa,35,25.83,9.1
SN,CS,kalpa,36,24.49,9.14
SN,CS,kalpa,37,21.13,9.54
SN,CS,kalpa,38,17.72,11.02
SN,CS,kalpa,39,14.83,12.46
SN,CS,kalpa,40,11.67,14.95
SN,CS,kalpa,41,11.39,16.34
SN,CS,kalpa,42,12.1,16.47
SN,CS,kalpa,43,12.32,16.49
SN,CS,kalpa,44,12.1,16.21
SN,CS,kalpa,45,12.29,15.95
SN,CS,kalpa,46,12.47,15.72
SN,CS,kalpa,47,12.78,15.67
SN,CS,kalpa,48,12.76,15.73
SN,CS,kalpa,49,12.7,15.85
SN,CS,kalpa,50,12.74,16.11
SN,CS,kalpa,51,12.61,15.93
SN,CS,kalpa,52,12.2,15.87
SN,CS,kalpa,53,12.59,15.74
SN,CS,kalpa,54,12.57,15.79
SN,CS,kalpa,55,12.3,15.66
SN,CS,kalpa,56,12.16,15.82
SN,CS,kalpa,57,11.88,15.7
SN,CS,kalpa,58,12.0,15.56
SN,CS,kalpa,59,12.11,15.7
SN,CS,kalpa,60,11.86,15.64
SN,CS,kalpa,61,11.63,15.77
SN,CS,kalpa,62,11.41,15.77
SN,CS,kalpa,63,11.32,15.89
SN,CS,kalpa,64,11.21,15.69
SN,CS,kalpa,65,11.34,15.48
SN,CS,kalpa,66,11.53,15.67
SN,CS,kalpa,67,11.43,15.56
SN,CS,kalpa,68,11.5,15.57
SN,CS,kalpa,69,11.43,15.43
SN,CS,kalpa,70,11.42,15.47
SN,CS,kalpa,71,12.13,15.12
SN,CS,kalpa,72,12.66,15.14
SN,CS,kalpa,73,12.48,15.27
SN,CS,kalpa,74,12.24,15.24
SN,CS,kalpa,75,12.66,15.2
SN,CS,kalpa,76,13.15,15.05
SN,CS,kalpa,77,12.6,15.16
SN,CS,kalpa,78,13.11,15.05
SN,CS,kalpa,79,13.51,14.89
SN,CS,kalpa,80,13.12,14.86
SN,CS,kalpa,81,13.08,15.02
SN,CS,kalpa,82,13.26,14.6
SN,CS,kalpa,83,13.55,14.4
SN,CS,kalpa,84,14.18,14.44
SN,CS,kalpa,85,14.23,14.41
SN,CS,kalpa,86,13.8,14.41
SN,CS,kalpa,87,13.4,14.43
SN,CS,kalpa,88,13.59,14.49
SN,CS,kalpa,89,13.66,14.5
SN,CS,kalpa,90,13.52,14.5
SN,CS,kalpa,91,13.76,14.4
SN,CS,kalpa,92,13.99,14.74
SN,CS,kalpa,93,14.08,14.76
SN,CS,kalpa,94,14.26,14.69
SN,CS,kalpa,95,14.26,14.65
SN,CS,kalpa,96,13.7,14.59
SN,CS,kalpa,97,13.62,14.37
SN,CS,kalpa,98,13.34,14.36
SN,CS,kalpa,99,13.36,14.32
SN,CS,kalpa,100,13.21,14.3
SN,CS,kalpa,101,14.24,14.11
SN,CS,kalpa,102,15.27,14.11
SN,CS,kalpa,103,15.67,14.17
SN,CS,kalpa,104,16.88,14.12
SN,CS,kalpa,105,18.1,14.42
SN,CS,kalpa,106,19.08,14.65
SN,CS,kalpa,107,20.12,14.89
SN,CS,kalpa,108,20.91,15.05
SN,CS,kalpa,109,21.23,15.19
SN,CS,kalpa,110,20.9,15.12
SN,CS,kalpa,111,21.57,15.29
SN,CS,kalpa,112,21.32,15.22
SN,CS,kalpa,113,22.26,15.56
SN,CS,kalpa,114,20.96,15.31
SN,CS,kalpa,115,20.79,15.31
SN,CS,kalpa,116,21.28,15.4
SN,CS,kalpa,117,22.1,15.34
SN,CS,kalpa,118,21.47,15.24
SN,CS,kalpa,119,19.36,14.85
SN,CS,kalpa,120,19.2,14.89
SN,CS,kalpa,121,17.76,14.58
SN,CS,kalpa,122,17.52,14.55
SN,CS,kalpa,123,17.64,14.62
SN,CS,kalpa,124,17.67,14.66
SN,CS,kalpa,125,17.63,14.67
SN,CS,kalpa,126,17.51,14.71
SN,CS,kalpa,127,17.19,14.65
SN,CS,kalpa,128,16.72,14.66
SN,CS,kalpa,129,16.87,14.7
SN,CS,kalpa,130,17.21,14.85
SN,CS,kalpa,131,18.47,15.02
SN,CS,kalpa,132,17.94,14.93
