Text_Type,Book,Chapter,Window,Mean,StDev
SN,CS,nidana,1,20.22,14.71
SN,CS,nidana,2,19.7,14.13
SN,CS,nidana,3,18.9,13.7
SN,CS,nidana,4,18.37,13.41
SN,CS,nidana,5,17.76,13.23
SN,CS,nidana,6,17.3,12.91
SN,CS,nidana,7,17.23,12.62
SN,CS,nidana,8,17.08,12.41
SN,CS,nidana,9,16.77,12.21
SN,CS,nidana,10,16.78,12.27
SN,CS,nidana,11,16.75,11.63
SN,CS,nidana,12,16.81,11.62
SN,CS,nidana,13,16.46,11.24
SN,CS,nidana,14,16.2,11.02
SN,CS,nidana,15,15.98,10.61
SN,CS,nidana,16,15.68,10.21
SN,CS,nidana,17,15.63,10.14
SN,CS,nidana,18,15.9,10.0
SN,CS,nidana,19,16.15,10.13
SN,CS,nidana,20,15.73,9.87
SN,CS,nidana,21,15.6,9.78
SN,CS,nidana,22,15.9,9.87
SN,CS,nidana,23,15.7,9.94
SN,CS,nidana,24,15.66,10.12
SN,CS,nidana,25,16.37,10.5
SN,CS,nidana,26,17.82,10.86
SN,CS,nidana,27,17.85,11.02
SN,CS,nidana,28,19.09,12.57
SN,CS,nidana,29,19.08,12.79
SN,CS,nidana,30,20.37,13.74
SN,CS,nidana,31,22.85,15.7
SN,CS,nidana,32,23.75,16.21
SN,CS,nidana,33,24.7,16.22
SN,CS,nidana,34,27.17,18.3
SN,CS,nidana,35,29.16,19.54
SN,CS,nidana,36,29.55,20.25
SN,CS,nidana,37,30.05,19.92
SN,CS,nidana,38,29.8,19.51
SN,CS,nidana,39,28.83,19.37
SN,CS,nidana,40,25.72,17.51
SN,CS,nidana,41,24.56,17.27
SN,CS,nidana,42,23.72,16.81
SN,CS,nidana,43,19.04,13.93
SN,CS,nidana,44,19.3,13.65
SN,CS,nidana,45,17.69,11.71
SN,CS,nidana,46,17.71,11.8
SN,CS,nidana,47,17.31,11.4
SN,CS,nidana,48,17.69,11.5
SN,CS,nidana,49,17.18,11.3
SN,CS,nidana,50,17.94,11.47
SN,CS,nidana,51,18.28,11.85
SN,CS,nidana,52,18.66,11.8
SN,CS,nidana,53,18.95,12.22
SN,CS,nidana,54,17.83,12.1
SN,CS,nidana,55,17.37,12.21
SN,CS,nidana,56,16.8,12.07
SN,CS,nidana,57,16.73,11.95
SN,CS,nidana,58,16.68,12.04
SN,CS,nidana,59,16.63,12.18
SN,CS,nidana,60,15.91,11.87
SN,CS,nidana,61,15.81,11.92
SN,CS,nidana,62,16.28,12.16
SN,CS,nidana,63,16.35,12.22
SN,CS,nidana,64,16.16,12.19
SN,CS,nidana,65,15.97,12.07
SN,CS,nidana,66,15.97,12.07
SN,CS,nidana,67,16.22,12.02
SN,CS,nidana,68,16.28,11.82
SN,CS,nidana,69,16.44,11.79
SN,CS,nidana,70,16.72,12.01
SN,CS,nidana,71,17.77,12.58
SN,CS,nidana,72,19.63,13.06
SN,CS,nidana,73,20.15,13.32
SN,CS,nidana,74,20.08,13.73
SN,CS,nidana,75,20.18,13.78
SN,CS,nidana,76,19.66,13.67
SN,CS,nidana,77,19.59,13.74
SN,CS,nidana,78,18.59,13.39
SN,CS,nidana,79,18.2,13.32
SN,CS,nidana,80,17.51,13.08
SN,CS,nidana,81,17.4,13.05
SN,CS,nidana,82,16.67,12.72
SN,CS,nidana,83,17.32,13.04
SN,CS,nidana,84,17.4,13.05
SN,CS,nidana,85,16.73,12.76
SN,CS,nidana,86,17.35,13.05
SN,CS,nidana,87,16.55,12.69
SN,CS,nidana,88,16.22,12.59
SN,CS,nidana,89,16.25,12.68
SN,CS,nidana,90,16.09,12.63
SN,CS,nidana,91,16.18,12.62
SN,CS,nidana,92,16.17,12.57
SN,CS,nidana,93,16.05,12.55
