Text_Type,Book,Chapter,Window,Mean,StDev
SN,CS,siddi,1,176.94,75.12
SN,CS,siddi,2,181.77,76.95
SN,CS,siddi,3,188.95,79.45
SN,CS,siddi,4,187.62,78.97
SN,CS,siddi,5,187.62,78.97
SN,CS,siddi,6,186.48,78.44
SN,CS,siddi,7,187.25,78.65
SN,CS,siddi,8,187.25,78.65
SN,CS,siddi,9,186.78,78.43
SN,CS,siddi,10,189.53,79.19
SN,CS,siddi,11,190.2,79.39
SN,CS,siddi,12,189.36,79.26
SN,CS,siddi,13,188.69,79.06
SN,CS,siddi,14,190.19,79.46
SN,CS,siddi,15,192.4,80.06
SN,CS,siddi,16,193.07,80.26
SN,CS,siddi,17,191.72,79.79
SN,CS,siddi,18,193.97,80.73
SN,CS,siddi,19,193.97,80.73
SN,CS,siddi,20,192.65,80.26
SN,CS,siddi,21,190.69,79.72
SN,CS,siddi,22,190.12,79.47
SN,CS,siddi,23,190.02,79.55
SN,CS,siddi,24,188.96,79.14
SN,CS,siddi,25,190.21,79.6
SN,CS,siddi,26,189.43,79.47
SN,CS,siddi,27,188.71,79.26
SN,CS,siddi,28,188.01,79.06
SN,CS,siddi,29,187.66,78.86
SN,CS,siddi,30,187.66,78.86
SN,CS,siddi,31,186.92,78.72
SN,CS,siddi,32,185.7,78.27
SN,CS,siddi,33,186.44,78.4
SN,CS,siddi,34,185.7,78.27
SN,CS,siddi,35,186.03,78.47
SN,CS,siddi,36,185.0,78.06
SN,CS,siddi,37,186.44,78.4
SN,CS,siddi,38,185.7,78.27
SN,CS,siddi,39,186.92,78.72
SN,CS,siddi,40,186.92,78.72
SN,CS,siddi,41,186.73,78.67
SN,CS,siddi,42,187.45,78.88
SN,CS,siddi,43,176.36,75.44
SN,CS,siddi,44,175.64,75.24
SN,CS,siddi,45,170.03,72.74
SN,CS,siddi,46,163.97,70.12
SN,CS,siddi,47,161.51,69.33
SN,CS,siddi,48,159.86,68.89
SN,CS,siddi,49,156.05,67.43
SN,CS,siddi,50,151.44,65.63
SN,CS,siddi,51,150.85,65.37
SN,CS,siddi,52,144.17,62.85
SN,CS,siddi,53,137.32,60.22
SN,CS,siddi,54,134.14,58.99
SN,CS,siddi,55,130.07,57.2
SN,CS,siddi,56,123.98,54.85
SN,CS,siddi,57,107.65,46.66
SN,CS,siddi,58,93.68,35.86
SN,CS,siddi,59,91.47,33.46
SN,CS,siddi,60,88.6,30.23
SN,CS,siddi,61,85.47,28.92
SN,CS,siddi,62,83.87,29.64
SN,CS,siddi,63,85.0,31.01
SN,CS,siddi,64,87.88,31.59
SN,CS,siddi,65,91.26,37.5
SN,CS,siddi,66,95.16,38.72
SN,CS,siddi,67,96.85,40.01
SN,CS,siddi,68,99.51,42.77
SN,CS,siddi,69,99.95,42.97
SN,CS,siddi,70,101.18,44.06
SN,CS,siddi,71,110.01,47.55
SN,CS,siddi,72,112.82,49.39
SN,CS,siddi,73,114.89,50.06
SN,CS,siddi,74,115.17,50.64
SN,CS,siddi,75,114.07,51.2
SN,CS,siddi,76,113.88,51.49
SN,CS,siddi,77,113.51,51.63
SN,CS,siddi,78,113.55,52.14
SN,CS,siddi,79,112.53,52.77
SN,CS,siddi,80,112.4,53.05
SN,CS,siddi,81,112.61,53.5
SN,CS,siddi,82,112.14,54.2
SN,CS,siddi,83,111.44,54.58
SN,CS,siddi,84,113.73,55.85
SN,CS,siddi,85,114.23,56.85
SN,CS,siddi,86,114.04,56.74
SN,CS,siddi,87,113.89,56.77
SN,CS,siddi,88,114.18,56.87
