Text_Type,Book,Chapter,Window,LLL,LGL,LGG,LLG,L,G,LG,GG,GGL,GLG,GLL,GGG,GL,LL
SN,CS,kalpa,1,73,84,80,72,3,8,3,5,73,102,56,104,0,0
SN,CS,kalpa,2,74,86,82,78,3,8,4,5,81,108,56,104,0,0
SN,CS,kalpa,3,74,86,81,79,3,8,4,4,82,108,55,105,0,0
SN,CS,kalpa,4,72,83,78,81,2,9,4,4,80,104,53,99,0,0
SN,CS,kalpa,5,71,81,81,80,2,9,3,4,78,104,52,98,0,0
SN,CS,kalpa,6,67,79,84,77,2,9,3,3,72,95,55,97,0,0
SN,CS,kalpa,7,69,80,88,80,2,8,3,3,82,98,58,99,1,0
SN,CS,kalpa,8,65,78,81,72,3,8,3,2,80,90,55,95,1,0
SN,CS,kalpa,9,67,84,88,79,3,8,3,2,82,92,58,100,1,0
SN,CS,kalpa,10,68,86,90,80,3,8,3,2,86,96,60,102,1,0
SN,CS,kalpa,11,39,65,84,65,3,7,3,2,74,84,47,93,1,0
SN,CS,kalpa,12,37,62,80,66,3,7,3,2,78,82,42,94,2,0
SN,CS,kalpa,13,35,56,83,66,3,6,3,2,77,81,44,84,2,0
SN,CS,kalpa,14,33,57,77,66,3,6,3,2,77,79,46,82,3,0
SN,CS,kalpa,15,33,57,72,69,3,6,4,2,76,81,43,81,3,0
SN,CS,kalpa,16,34,61,73,72,3,6,4,1,75,84,47,80,3,0
SN,CS,kalpa,17,33,61,71,73,3,6,4,1,75,85,46,79,3,0
SN,CS,kalpa,18,33,62,69,73,3,7,4,1,75,85,44,77,3,0
SN,CS,kalpa,19,30,59,67,72,3,7,5,0,74,79,43,76,3,0
SN,CS,kalpa,20,30,60,67,72,3,8,4,0,72,78,43,77,3,0
SN,CS,kalpa,21,30,61,67,72,4,8,4,0,72,79,42,77,3,0
SN,CS,kalpa,22,27,60,65,69,5,8,3,0,69,80,41,74,3,0
SN,CS,kalpa,23,23,53,55,60,5,8,3,0,64,66,37,57,3,0
SN,CS,kalpa,24,23,53,55,60,5,8,3,0,65,65,37,57,3,0
SN,CS,kalpa,25,23,51,57,59,5,8,3,0,65,65,37,57,3,0
SN,CS,kalpa,26,23,50,57,59,5,7,3,1,65,65,37,56,3,0
SN,CS,kalpa,27,21,49,55,53,6,7,2,1,58,60,37,55,3,0
SN,CS,kalpa,28,21,51,55,51,6,8,2,1,57,61,38,55,3,0
SN,CS,kalpa,29,19,52,55,48,6,8,2,1,59,61,38,54,3,0
SN,CS,kalpa,30,19,50,53,47,7,8,2,1,58,62,36,55,3,0
SN,CS,kalpa,31,19,50,44,46,8,8,2,1,53,58,30,47,3,0
SN,CS,kalpa,32,17,50,40,42,8,9,2,1,44,56,27,46,2,0
SN,CS,kalpa,33,17,47,38,39,7,10,2,1,42,55,28,44,2,0
SN,CS,kalpa,34,14,43,31,30,6,11,2,1,38,50,25,39,2,0
SN,CS,kalpa,35,13,42,28,28,5,12,2,1,33,46,23,38,2,0
SN,CS,kalpa,36,12,41,25,27,5,13,2,1,32,43,22,37,2,0
SN,CS,kalpa,37,10,38,22,24,5,14,2,1,28,37,20,33,1,0
SN,CS,kalpa,38,7,35,15,21,6,14,2,1,21,30,14,31,1,0
SN,CS,kalpa,39,5,32,15,20,6,15,2,1,18,28,12,29,0,0
SN,CS,kalpa,40,1,29,14,16,6,16,1,1,16,26,11,26,0,0
SN,CS,kalpa,41,0,25,14,12,6,17,1,1,16,23,8,25,0,0
SN,CS,kalpa,42,0,25,14,11,6,17,1,1,16,23,8,26,0,0
SN,CS,kalpa,43,0,25,13,11,6,17,1,1,16,23,8,27,0,0
SN,CS,kalpa,44,0,26,13,12,6,18,0,1,15,23,7,26,0,0
SN,CS,kalpa,45,0,26,14,11,6,18,0,1,15,23,7,26,0,0
SN,CS,kalpa,46,0,26,14,11,5,19,0,1,16,21,7,27,0,0
SN,CS,kalpa,47,0,26,15,11,4,20,0,1,16,20,7,27,0,0
SN,CS,kalpa,48,0,25,14,12,4,19,1,1,14,19,8,31,0,0
