Text_Type,Book,Chapter,Window,GL,LLL,GG,LGG,GGG,L,LLG,GGL,GLL,LGL,G,GLG,LG,LL
SN,CS,nidana,1,3,19,2,36,51,1,17,35,22,25,6,49,1,0
SN,CS,nidana,2,3,20,2,38,52,2,19,39,28,31,6,54,1,0
SN,CS,nidana,3,3,27,1,60,70,2,26,52,38,45,6,75,1,0
SN,CS,nidana,4,3,26,1,60,68,1,28,55,37,44,7,73,1,0
SN,CS,nidana,5,2,30,1,61,70,1,29,56,40,47,7,79,1,1
SN,CS,nidana,6,2,34,1,75,77,1,34,61,45,53,7,86,1,1
SN,CS,nidana,7,2,36,1,76,79,1,34,60,46,54,8,86,1,1
SN,CS,nidana,8,2,39,1,79,81,1,34,66,48,61,7,91,1,2
SN,CS,nidana,9,3,44,1,84,95,1,41,77,56,62,7,98,1,2
SN,CS,nidana,10,3,47,1,92,103,2,47,81,61,65,6,105,1,2
SN,CS,nidana,11,3,45,1,90,103,2,46,81,64,65,6,106,1,2
SN,CS,nidana,12,3,45,1,89,103,2,46,81,64,66,5,110,1,3
SN,CS,nidana,13,3,44,1,90,104,2,46,81,63,66,6,110,1,3
SN,CS,nidana,14,3,44,1,90,104,2,48,83,63,68,5,113,1,3
SN,CS,nidana,15,3,42,1,92,105,2,49,83,63,72,6,114,1,3
SN,CS,nidana,16,3,41,1,92,104,2,49,81,60,72,6,111,1,3
SN,CS,nidana,17,3,41,1,92,101,2,48,83,61,72,6,112,1,3
SN,CS,nidana,18,3,39,2,94,99,2,46,84,65,71,6,111,1,3
SN,CS,nidana,19,2,41,2,104,112,2,48,93,70,83,6,123,1,3
SN,CS,nidana,20,2,41,3,102,112,2,49,92,69,84,5,121,1,3
SN,CS,nidana,21,2,42,3,106,111,2,56,94,70,85,5,121,1,3
SN,CS,nidana,22,2,42,3,106,111,2,55,95,72,85,5,120,1,3
SN,CS,nidana,23,2,41,3,109,113,2,57,99,71,86,6,123,1,3
SN,CS,nidana,24,2,44,3,108,111,2,60,100,73,89,7,129,1,3
SN,CS,nidana,25,1,44,3,110,117,3,61,103,76,90,7,132,1,3
SN,CS,nidana,26,1,42,3,109,114,3,60,102,75,85,7,127,0,3
SN,CS,nidana,27,1,40,3,107,112,2,59,98,70,80,8,122,0,3
SN,CS,nidana,28,1,33,3,84,96,3,52,85,60,67,8,101,0,3
SN,CS,nidana,29,1,33,3,83,96,3,51,80,59,66,8,98,0,3
SN,CS,nidana,30,1,29,3,79,94,3,50,76,56,63,9,92,0,2
SN,CS,nidana,31,1,25,3,66,87,3,46,69,50,57,10,82,0,2
SN,CS,nidana,32,1,23,3,65,87,3,45,67,50,56,10,81,0,2
SN,CS,nidana,33,1,20,3,62,86,3,45,62,47,50,11,75,0,1
SN,CS,nidana,34,0,15,3,57,73,3,39,52,40,48,11,68,1,1
SN,CS,nidana,35,0,12,3,48,62,2,35,48,35,43,12,58,1,1
SN,CS,nidana,36,0,12,2,47,61,2,36,48,32,43,13,55,1,1
SN,CS,nidana,37,0,12,2,47,60,3,35,48,32,43,13,53,1,0
SN,CS,nidana,38,0,12,2,45,58,3,35,49,32,43,13,54,1,0
SN,CS,nidana,39,0,12,2,44,56,3,34,46,32,43,14,50,1,0
SN,CS,nidana,40,0,12,3,42,55,3,33,44,31,39,13,48,1,0
SN,CS,nidana,41,0,12,4,42,55,3,34,43,32,38,13,47,1,0
SN,CS,nidana,42,0,11,5,41,57,3,35,41,33,38,13,46,1,0
SN,CS,nidana,43,0,21,4,52,73,3,48,61,39,57,13,64,1,1
SN,CS,nidana,44,0,18,4,43,59,3,44,54,34,46,14,54,1,1
SN,CS,nidana,45,0,22,3,53,63,4,49,63,40,50,14,63,1,1
SN,CS,nidana,46,1,20,3,47,61,4,43,61,39,50,13,62,1,1
SN,CS,nidana,47,1,19,3,53,67,4,47,72,39,55,13,67,1,1
SN,CS,nidana,48,1,21,3,53,68,5,47,70,41,55,12,67,1,1
SN,CS,nidana,49,1,20,3,51,68,6,45,67,39,52,11,60,1,1
SN,CS,nidana,50,1,21,3,53,65,6,46,71,38,55,11,58,1,1
SN,CS,nidana,51,1,20,3,53,65,6,46,70,38,55,11,60,1,1
SN,CS,nidana,52,1,20,3,52,65,7,45,71,37,56,10,61,1,1
SN,CS,nidana,53,1,20,3,52,63,6,44,72,37,57,11,62,1,1
SN,CS,nidana,54,1,20,3,51,63,6,43,71,37,58,11,64,1,1
SN,CS,nidana,55,1,20,3,53,61,6,43,71,37,58,11,64,1,1
SN,CS,nidana,56,1,20,3,52,60,6,42,73,37,58,11,65,1,1
SN,CS,nidana,57,1,20,3,52,59,6,43,74,37,58,11,64,1,1
SN,CS,nidana,58,1,20,3,52,59,7,43,73,37,58,10,65,1,1
SN,CS,nidana,59,1,20,3,53,56,7,44,72,37,59,11,65,0,1
SN,CS,nidana,60,1,20,3,53,57,7,42,71,37,59,11,67,0,1
SN,CS,nidana,61,1,20,3,53,58,8,40,70,38,59,10,68,0,1
