Text_Type,Book,Chapter,Window,GGL,G,GG,LGG,GGG,GLG,GLL,LLG,L,LGL,LLL,LL,LG,GL
SN,CS,siddi,1,41,15,2,2,13,52,23,1,7,36,0,0,0,0
SN,CS,siddi,2,43,16,2,1,12,53,24,1,7,37,0,0,0,0
SN,CS,siddi,3,45,17,1,0,13,55,24,0,7,38,0,0,0,0
SN,CS,siddi,4,43,18,1,0,13,56,24,0,6,39,0,0,0,0
SN,CS,siddi,5,44,18,1,0,12,56,24,0,6,39,0,0,0,0
SN,CS,siddi,6,43,17,1,0,13,56,24,0,7,39,0,0,0,0
SN,CS,siddi,7,45,17,1,0,13,55,24,0,7,38,0,0,0,0
SN,CS,siddi,8,46,18,1,0,12,55,24,0,6,38,0,0,0,0
SN,CS,siddi,9,47,17,1,0,13,54,24,0,7,37,0,0,0,0
SN,CS,siddi,10,48,17,1,0,13,54,24,0,7,36,0,0,0,0
SN,CS,siddi,11,49,17,1,0,12,55,24,0,7,35,0,0,0,0
SN,CS,siddi,12,48,18,1,0,13,54,24,0,6,36,0,0,0,0
SN,CS,siddi,13,48,17,1,0,14,53,24,0,7,36,0,0,0,0
SN,CS,siddi,14,48,17,1,0,14,53,24,0,7,36,0,0,0,0
SN,CS,siddi,15,48,16,1,0,14,53,24,0,8,36,0,0,0,0
SN,CS,siddi,16,50,16,1,0,13,53,24,0,8,35,0,0,0,0
SN,CS,siddi,17,48,16,1,0,14,53,24,0,8,36,0,0,0,0
SN,CS,siddi,18,48,16,0,0,15,54,25,0,9,33,0,0,0,0
SN,CS,siddi,19,48,17,0,0,15,54,25,0,8,33,0,0,0,0
SN,CS,siddi,20,48,17,0,0,15,54,25,0,8,33,0,0,0,0
SN,CS,siddi,21,49,18,0,0,15,53,25,0,7,33,0,0,0,0
SN,CS,siddi,22,48,17,0,0,16,53,25,0,8,33,0,0,0,0
SN,CS,siddi,23,49,17,0,0,16,53,25,0,8,32,0,0,0,0
SN,CS,siddi,24,50,17,0,0,17,52,25,0,8,31,0,0,0,0
SN,CS,siddi,25,51,17,0,0,16,52,25,0,8,31,0,0,0,0
SN,CS,siddi,26,52,18,0,0,15,53,25,0,7,30,0,0,0,0
SN,CS,siddi,27,53,17,0,0,14,53,25,0,8,30,0,0,0,0
SN,CS,siddi,28,54,16,0,0,13,53,25,0,9,30,0,0,0,0
SN,CS,siddi,29,55,15,0,0,14,52,25,0,10,29,0,0,0,0
SN,CS,siddi,30,54,15,0,0,14,53,25,0,10,29,0,0,0,0
SN,CS,siddi,31,54,15,0,0,14,53,25,0,10,29,0,0,0,0
SN,CS,siddi,32,52,15,0,0,15,53,25,0,10,30,0,0,0,0
SN,CS,siddi,33,51,15,0,0,16,53,25,0,10,30,0,0,0,0
SN,CS,siddi,34,51,16,0,0,16,53,25,0,9,30,0,0,0,0
SN,CS,siddi,35,51,16,0,0,16,53,25,0,9,30,0,0,0,0
SN,CS,siddi,36,51,15,0,0,16,52,26,0,10,30,0,0,0,0
SN,CS,siddi,37,52,15,0,0,15,53,26,0,10,29,0,0,0,0
SN,CS,siddi,38,52,16,0,0,15,53,26,0,9,29,0,0,0,0
SN,CS,siddi,39,52,15,0,0,15,53,26,0,10,29,0,0,0,0
SN,CS,siddi,40,52,16,0,0,15,53,26,0,9,29,0,0,0,0
SN,CS,siddi,41,51,16,0,0,16,53,26,0,9,29,0,0,0,0
SN,CS,siddi,42,52,15,0,0,15,54,26,0,10,28,0,0,0,0
SN,CS,siddi,43,52,16,0,0,15,54,26,0,9,28,0,0,0,0
SN,CS,siddi,44,52,16,0,0,15,54,26,0,9,28,0,0,0,0
SN,CS,siddi,45,51,16,0,0,15,54,26,0,9,29,0,0,0,0
SN,CS,siddi,46,50,16,0,0,15,54,27,0,9,29,0,0,0,0
SN,CS,siddi,47,52,17,0,0,14,54,27,0,8,28,0,0,0,0
SN,CS,siddi,48,51,18,0,0,14,54,27,0,7,29,0,0,0,0
SN,CS,siddi,49,51,17,0,0,14,54,27,0,8,29,0,0,0,0
SN,CS,siddi,50,51,16,0,0,15,54,27,0,9,28,0,0,0,0
SN,CS,siddi,51,51,16,0,0,16,53,27,0,9,28,0,0,0,0
SN,CS,siddi,52,50,17,0,0,17,53,27,0,8,28,0,0,0,0
SN,CS,siddi,53,49,18,0,0,17,54,27,0,7,28,0,0,0,0
SN,CS,siddi,54,49,18,0,0,17,54,27,0,7,28,0,0,0,0
SN,CS,siddi,55,49,18,0,0,18,53,27,0,7,28,0,0,0,0
SN,CS,siddi,56,48,18,0,0,18,53,27,0,7,29,0,0,0,0
SN,CS,siddi,57,49,18,0,0,17,53,28,0,7,28,0,0,0,0
SN,CS,siddi,58,49,17,0,0,17,53,28,0,8,28,0,0,0,0
SN,CS,siddi,59,49,17,0,0,17,53,28,0,8,28,0,0,0,0
SN,CS,siddi,60,49,16,0,0,16,53,29,0,9,28,0,0,0,0
SN,CS,siddi,61,49,17,0,0,17,53,28,0,8,28,0,0,0,0
SN,CS,siddi,62,49,17,0,0,17,53,28,0,8,28,0,0,0,0
SN,CS,siddi,63,48,17,0,0,16,54,28,0,8,29,0,0,0,0
SN,CS,siddi,64,48,17,0,0,15,54,28,0,8,30,0,0,0,0
SN,CS,siddi,65,49,16,0,0,14,54,28,0,9,30,0,0,0,0
SN,CS,siddi,66,49,16,0,0,14,54,28,0,9,30,0,0,0,0
SN,CS,siddi,67,49,17,0,0,15,53,28,0,8,30,0,0,0,0
SN,CS,siddi,68,49,17,0,0,14,54,28,0,8,30,0,0,0,0
SN,CS,siddi,69,49,16,0,0,14,54,28,0,9,30,0,0,0,0
SN,CS,siddi,70,49,16,0,0,15,54,28,0,9,29,0,0,0,0
SN,CS,siddi,71,49,16,0,0,16,54,27,0,9,29,0,0,0,0
SN,CS,siddi,72,48,16,0,0,17,54,27,0,9,29,0,0,0,0
SN,CS,siddi,73,49,16,0,0,17,54,27,0,9,28,0,0,0,0
SN,CS,siddi,74,48,17,0,0,17,54,27,0,8,29,0,0,0,0
SN,CS,siddi,75,48,18,0,0,16,54,27,0,7,30,0,0,0,0
SN,CS,siddi,76,47,18,0,0,16,54,27,0,7,31,0,0,0,0
SN,CS,siddi,77,46,18,0,0,16,54,27,0,7,32,0,0,0,0
SN,CS,siddi,78,45,18,0,0,17,53,27,0,7,33,0,0,0,0
SN,CS,siddi,79,45,19,0,0,17,53,27,0,6,33,0,0,0,0
SN,CS,siddi,80,46,19,0,0,16,53,27,0,6,33,0,0,0,0
SN,CS,siddi,81,47,20,0,0,16,53,27,0,5,32,0,0,0,0
SN,CS,siddi,82,47,20,0,0,17,53,26,0,5,32,0,0,0,0
SN,CS,siddi,83,48,20,0,0,16,53,26,0,5,32,0,0,0,0
SN,CS,siddi,84,48,20,0,0,16,53,26,0,5,32,0,0,0,0
SN,CS,siddi,85,47,21,0,0,16,54,25,0,4,33,0,0,0,0
SN,CS,siddi,86,47,21,0,0,16,54,25,0,4,33,0,0,0,0
SN,CS,siddi,87,47,20,0,0,17,53,25,0,5,33,0,0,0,0
SN,CS,siddi,88,48,20,0,0,18,52,25,0,5,32,0,0,0,0
SN,CS,siddi,89,49,21,0,0,18,52,25,0,4,31,0,0,0,0
SN,CS,siddi,90,48,21,0,0,19,52,25,0,4,31,0,0,0,0
SN,CS,siddi,91,48,21,0,0,18,53,25,0,4,31,0,0,0,0
SN,CS,siddi,92,48,21,0,0,18,53,25,0,4,31,0,0,0,0
SN,CS,siddi,93,48,20,1,2,20,50,24,1,4,31,0,0,0,0
SN,CS,siddi,94,47,21,1,2,20,50,24,1,3,32,0,0,0,0
SN,CS,siddi,95,45,20,2,3,21,49,23,1,3,31,0,0,0,0
SN,CS,siddi,96,43,19,3,4,20,47,23,2,3,30,0,0,0,0
SN,CS,siddi,97,42,19,3,4,21,45,22,2,3,31,0,0,0,0
SN,CS,siddi,98,41,19,3,4,21,45,21,2,3,31,0,0,0,0
