Text_Type,Book,Chapter,Window,GG,GLG,GLL,LLL,LLG,GGG,GL,GGL,G,LGG,LG,LGL,L,LL
SN,CS,chikitsa,1,1,37,12,1,15,41,1,35,45,32,1,70,2,0
SN,CS,chikitsa,2,1,38,13,1,16,40,1,35,44,30,1,69,3,0
SN,CS,chikitsa,3,0,39,12,1,15,42,1,35,45,30,1,70,3,0
SN,CS,chikitsa,4,0,41,12,1,15,44,1,33,45,29,1,69,3,0
SN,CS,chikitsa,5,0,43,12,1,15,43,1,34,45,28,1,68,3,0
SN,CS,chikitsa,6,0,43,12,1,15,43,0,34,46,29,1,70,3,0
SN,CS,chikitsa,7,0,42,13,1,14,43,0,35,47,30,0,72,3,0
SN,CS,chikitsa,8,0,42,13,1,14,42,0,37,47,29,0,72,3,0
SN,CS,chikitsa,9,0,43,13,1,14,43,0,37,47,28,0,71,3,0
SN,CS,chikitsa,10,0,42,15,1,14,41,0,37,47,29,0,71,3,0
SN,CS,chikitsa,11,0,41,15,1,15,43,0,35,47,29,0,71,3,0
SN,CS,chikitsa,12,0,40,15,1,16,43,0,36,47,29,0,70,3,0
SN,CS,chikitsa,13,0,38,16,1,17,43,0,36,47,29,0,70,3,0
SN,CS,chikitsa,14,0,38,16,1,17,43,0,37,47,28,0,70,3,0
SN,CS,chikitsa,15,0,38,16,1,16,45,0,36,47,27,0,71,3,0
SN,CS,chikitsa,16,0,37,16,1,18,44,0,35,47,28,0,71,3,0
SN,CS,chikitsa,17,0,37,16,1,18,43,0,37,47,27,0,71,3,0
SN,CS,chikitsa,18,0,37,16,1,18,43,0,37,47,27,0,71,3,0
SN,CS,chikitsa,19,0,36,17,1,18,42,0,38,47,27,0,71,3,0
SN,CS,chikitsa,20,0,35,17,1,18,45,0,37,47,26,0,71,3,0
SN,CS,chikitsa,21,0,37,17,1,18,44,0,38,46,25,0,70,4,0
SN,CS,chikitsa,22,0,37,17,1,19,46,0,37,46,24,0,69,4,0
SN,CS,chikitsa,23,0,38,17,1,20,44,0,37,46,24,0,69,4,0
SN,CS,chikitsa,24,0,37,17,1,20,44,0,37,45,24,0,70,5,0
SN,CS,chikitsa,25,0,38,17,1,20,43,0,37,45,24,0,70,5,0
SN,CS,chikitsa,26,0,39,17,1,20,44,0,36,44,23,0,70,6,0
SN,CS,chikitsa,27,0,39,17,1,21,44,0,36,43,23,0,69,7,0
SN,CS,chikitsa,28,0,39,16,1,21,43,0,38,43,24,0,68,7,0
SN,CS,chikitsa,29,0,42,16,1,20,43,0,37,42,23,0,68,8,0
SN,CS,chikitsa,30,0,41,17,1,19,45,0,36,42,23,0,68,8,0
SN,CS,chikitsa,31,0,42,17,1,19,47,0,35,42,23,0,66,8,0
SN,CS,chikitsa,32,0,41,16,1,19,47,0,36,43,22,0,68,7,0
SN,CS,chikitsa,33,0,40,15,1,19,47,0,36,43,23,0,69,7,0
SN,CS,chikitsa,34,0,40,15,1,18,46,0,38,43,23,0,69,7,0
SN,CS,chikitsa,35,0,39,15,1,18,47,0,39,43,22,0,69,7,0
SN,CS,chikitsa,36,0,38,14,1,17,47,0,41,42,22,0,70,8,0
SN,CS,chikitsa,37,0,38,14,1,18,46,0,41,42,22,0,70,8,0
SN,CS,chikitsa,38,0,39,14,0,17,48,0,40,41,21,0,71,9,0
SN,CS,chikitsa,39,0,39,14,0,17,48,0,40,41,21,0,71,9,0
SN,CS,chikitsa,40,0,39,15,0,16,49,0,40,40,20,0,71,10,0
SN,CS,chikitsa,41,0,41,15,0,16,50,0,39,40,19,0,70,10,0
SN,CS,chikitsa,42,0,42,15,0,15,51,0,38,39,19,0,70,11,0
SN,CS,chikitsa,43,0,44,16,0,14,51,0,38,39,18,0,69,11,0
SN,CS,chikitsa,44,0,43,16,0,14,52,0,38,39,18,0,69,11,0
SN,CS,chikitsa,45,0,41,16,0,14,53,0,38,38,19,0,69,12,0
SN,CS,chikitsa,46,0,39,16,0,15,55,0,36,38,19,0,70,12,0
SN,CS,chikitsa,47,0,38,16,0,17,54,0,36,37,19,0,70,13,0
SN,CS,chikitsa,48,0,37,16,0,17,56,0,37,37,18,0,69,13,0
SN,CS,chikitsa,49,0,38,16,0,17,55,0,37,37,18,0,69,13,0
SN,CS,chikitsa,50,0,40,16,0,17,56,0,37,37,16,0,68,13,0
SN,CS,chikitsa,51,0,41,16,0,17,55,0,38,37,15,0,68,13,0
SN,CS,chikitsa,52,0,41,15,0,17,57,0,38,38,14,0,68,12,0
SN,CS,chikitsa,53,0,40,15,0,17,57,0,40,38,13,0,68,12,0
SN,CS,chikitsa,54,0,40,15,0,17,57,0,40,38,13,0,68,12,0
SN,CS,chikitsa,55,0,39,14,0,17,59,0,40,37,13,0,68,13,0
SN,CS,chikitsa,56,0,41,14,0,17,58,0,41,37,12,0,67,13,0
SN,CS,chikitsa,57,0,41,13,0,17,59,0,43,37,11,0,66,13,0
SN,CS,chikitsa,58,0,40,15,0,18,58,0,41,37,11,0,67,13,0
SN,CS,chikitsa,59,0,40,16,0,18,58,0,41,37,10,0,67,13,0
SN,CS,chikitsa,60,0,41,14,0,18,59,0,42,37,9,0,67,13,0
SN,CS,chikitsa,61,0,41,14,0,18,56,0,44,37,10,0,67,13,0
SN,CS,chikitsa,62,0,41,14,0,17,57,0,44,37,10,0,67,13,0
SN,CS,chikitsa,63,0,42,13,0,17,57,0,43,37,10,0,68,13,0
SN,CS,chikitsa,64,0,43,12,0,17,58,0,42,37,10,0,68,13,0
SN,CS,chikitsa,65,0,43,12,0,18,55,0,42,36,11,1,66,13,0
SN,CS,chikitsa,66,0,43,14,1,19,56,0,44,36,11,1,68,13,0
SN,CS,chikitsa,67,0,57,24,11,23,64,0,61,35,21,1,79,13,1
SN,CS,chikitsa,68,0,59,24,12,22,63,0,61,34,22,1,79,13,1
SN,CS,chikitsa,69,0,59,23,12,22,65,0,61,34,21,1,79,13,1
SN,CS,chikitsa,70,0,58,23,12,22,64,0,63,34,21,1,79,13,1
SN,CS,chikitsa,71,0,56,23,12,23,65,0,62,35,22,1,79,12,1
SN,CS,chikitsa,72,0,57,22,12,24,63,0,62,35,22,1,80,12,1
SN,CS,chikitsa,73,0,57,22,12,25,64,0,61,35,21,1,80,12,1
SN,CS,chikitsa,74,0,57,21,12,26,64,0,61,35,21,2,78,11,1
SN,CS,chikitsa,75,0,55,21,12,26,67,0,61,35,20,2,78,11,1
SN,CS,chikitsa,76,0,54,21,12,26,67,0,63,36,19,2,78,10,1
SN,CS,chikitsa,77,0,53,21,12,26,69,0,62,36,19,2,78,10,1
SN,CS,chikitsa,78,0,54,21,12,26,70,0,60,37,18,2,79,9,1
SN,CS,chikitsa,79,0,52,21,12,26,71,0,62,38,18,2,78,8,1
SN,CS,chikitsa,80,0,53,20,12,27,70,0,61,38,19,2,78,8,1
SN,CS,chikitsa,81,0,53,19,12,27,68,0,64,37,19,2,78,9,1
SN,CS,chikitsa,82,0,54,19,12,27,69,0,64,37,19,2,76,9,1
SN,CS,chikitsa,83,0,54,19,12,28,70,0,64,37,17,2,76,9,1
SN,CS,chikitsa,84,0,54,19,12,29,69,0,63,37,18,2,76,9,1
SN,CS,chikitsa,85,0,54,18,12,30,68,0,63,37,19,2,76,9,1
SN,CS,chikitsa,86,0,54,18,12,30,69,0,62,38,20,2,75,8,1
SN,CS,chikitsa,87,0,55,18,12,30,68,0,61,38,21,2,75,8,1
SN,CS,chikitsa,88,0,55,18,12,30,67,0,61,39,21,2,76,7,1
SN,CS,chikitsa,89,0,55,18,12,31,66,0,61,39,21,2,76,7,1
SN,CS,chikitsa,90,0,56,17,12,32,64,0,61,40,22,2,76,6,1
SN,CS,chikitsa,91,0,54,18,12,32,65,0,61,40,22,2,76,6,1
SN,CS,chikitsa,92,0,53,18,12,32,67,0,61,41,22,2,75,5,1
SN,CS,chikitsa,93,0,51,17,12,33,68,0,61,41,22,2,76,5,1
SN,CS,chikitsa,94,0,52,17,12,33,66,0,62,40,23,2,75,6,1
SN,CS,chikitsa,95,0,55,17,12,33,64,0,61,41,23,2,75,5,1
SN,CS,chikitsa,96,0,55,17,12,32,63,0,63,41,23,2,75,5,1
SN,CS,chikitsa,97,0,58,18,12,30,63,0,63,42,23,2,75,4,1
SN,CS,chikitsa,98,0,59,19,12,30,62,0,64,42,23,2,75,4,1
SN,CS,chikitsa,99,0,59,20,12,30,62,0,66,42,23,2,74,4,1
SN,CS,chikitsa,100,0,59,21,12,30,61,0,67,41,23,2,75,5,1
SN,CS,chikitsa,101,0,57,21,12,30,60,0,66,41,24,2,75,5,1
SN,CS,chikitsa,102,0,64,22,23,35,70,0,73,41,34,2,85,5,1
SN,CS,chikitsa,103,0,70,23,26,35,70,0,74,40,36,3,86,5,1
SN,CS,chikitsa,104,0,69,23,28,35,68,0,75,39,36,3,85,5,1
SN,CS,chikitsa,105,0,75,29,34,44,74,0,79,39,47,3,87,4,1
SN,CS,chikitsa,106,1,74,29,34,44,74,0,78,38,47,3,87,4,1
SN,CS,chikitsa,107,1,86,35,44,50,78,0,84,37,58,3,92,4,2
SN,CS,chikitsa,108,1,89,36,44,49,78,0,84,36,58,3,91,4,2
SN,CS,chikitsa,109,1,89,36,45,49,77,0,84,36,58,3,91,4,2
SN,CS,chikitsa,110,1,87,36,45,51,77,0,84,35,58,3,91,5,2
SN,CS,chikitsa,111,1,87,38,45,51,78,0,82,35,57,3,91,5,2
SN,CS,chikitsa,112,1,89,38,45,51,76,0,82,34,57,3,94,5,2
SN,CS,chikitsa,113,1,90,38,45,50,75,0,84,33,57,3,96,5,2
SN,CS,chikitsa,114,1,88,40,45,51,76,0,84,32,57,4,95,5,2
SN,CS,chikitsa,115,1,88,40,45,50,78,0,85,33,56,3,97,5,2
SN,CS,chikitsa,116,1,89,39,44,47,78,0,84,32,56,3,94,5,2
SN,CS,chikitsa,117,2,75,30,34,44,70,0,64,32,47,3,81,5,1
SN,CS,chikitsa,118,2,79,35,41,46,73,0,68,33,48,3,86,5,1
SN,CS,chikitsa,119,2,83,38,44,48,73,1,70,32,51,3,88,5,1
SN,CS,chikitsa,120,2,95,41,48,59,88,1,83,31,61,3,101,6,1
SN,CS,chikitsa,121,2,98,44,48,59,90,2,85,30,62,3,102,6,1
SN,CS,chikitsa,122,2,113,51,50,60,100,2,95,30,70,3,112,6,1
SN,CS,chikitsa,123,2,113,52,51,61,100,2,97,29,73,3,115,6,1
SN,CS,chikitsa,124,2,116,54,51,62,99,2,97,29,74,2,115,6,1
SN,CS,chikitsa,125,2,118,55,51,62,96,2,98,28,74,2,116,7,1
SN,CS,chikitsa,126,2,120,56,51,62,95,2,97,28,74,2,117,7,1
SN,CS,chikitsa,127,2,122,58,51,61,92,2,98,28,74,2,118,7,1
SN,CS,chikitsa,128,2,121,58,52,60,91,2,99,28,74,2,116,7,1
SN,CS,chikitsa,129,3,126,64,52,65,93,2,103,27,77,2,117,7,1
SN,CS,chikitsa,130,3,125,66,52,65,97,2,104,27,76,2,119,7,1
SN,CS,chikitsa,131,3,124,66,53,66,98,2,103,27,78,2,119,6,1
SN,CS,chikitsa,132,4,122,66,53,66,97,2,103,26,78,2,119,6,1
