Text_Type,Book,Chapter,Window,GLL,GLG,LG,LGG,GGG,LGL,GG,G,LLL,L,GGL,GL,LLG,LL
SN,CS,kalpa,1,93,167,6,137,160,134,6,15,96,8,138,3,131,0
SN,CS,kalpa,2,93,168,6,137,159,135,6,15,95,9,139,3,131,0
SN,CS,kalpa,3,93,169,6,136,160,137,5,16,95,9,139,3,130,0
SN,CS,kalpa,4,91,165,6,133,153,135,5,17,91,8,139,3,129,0
SN,CS,kalpa,5,88,166,5,134,153,131,5,17,90,9,136,3,127,0
SN,CS,kalpa,6,85,153,5,128,144,129,4,17,86,10,125,3,123,0
SN,CS,kalpa,7,85,154,5,128,145,130,4,17,86,10,126,3,122,0
SN,CS,kalpa,8,83,145,5,119,139,125,3,18,82,10,122,3,111,0
SN,CS,kalpa,9,83,142,5,119,139,127,3,19,81,9,120,3,109,0
SN,CS,kalpa,10,83,142,5,118,140,128,3,20,81,8,119,3,108,0
SN,CS,kalpa,11,69,127,5,109,130,106,3,20,51,8,106,3,92,0
SN,CS,kalpa,12,62,119,5,102,127,100,3,21,47,8,106,3,90,0
SN,CS,kalpa,13,58,111,5,98,115,91,3,20,42,9,98,3,87,0
SN,CS,kalpa,14,58,107,5,92,111,89,3,21,38,9,95,3,86,0
SN,CS,kalpa,15,54,107,5,86,107,86,3,22,34,9,92,3,85,0
SN,CS,kalpa,16,55,107,5,87,105,86,2,23,34,9,91,3,84,0
SN,CS,kalpa,17,54,108,5,85,105,86,2,23,33,9,91,3,84,0
SN,CS,kalpa,18,52,108,5,82,104,87,2,24,33,9,91,3,84,0
SN,CS,kalpa,19,50,102,5,80,102,85,1,25,30,9,89,3,84,0
SN,CS,kalpa,20,50,101,4,81,103,86,1,26,30,9,87,3,83,0
SN,CS,kalpa,21,49,100,4,81,104,87,1,27,30,9,88,3,83,0
SN,CS,kalpa,22,48,100,3,80,101,86,1,28,27,9,85,3,80,0
SN,CS,kalpa,23,45,85,4,69,88,78,1,27,23,9,78,3,72,0
SN,CS,kalpa,24,45,86,4,68,88,78,1,26,23,10,79,3,71,0
SN,CS,kalpa,25,45,87,4,68,88,77,1,26,23,10,79,3,71,0
SN,CS,kalpa,26,44,89,4,67,89,77,1,26,23,10,79,3,70,0
SN,CS,kalpa,27,44,83,3,64,89,76,1,26,21,10,72,3,64,0
SN,CS,kalpa,28,45,83,3,65,88,76,2,26,21,10,71,3,63,0
