Text_Type,Book,Chapter,Window,GLL,LGG,GGG,LGL,G,GLG,LLG,GGL,L,GG,LL,LG,LLL,GL
SN,CS,shareera,1,17,26,54,59,41,50,20,22,7,2,0,0,0,0
SN,CS,shareera,2,17,27,52,60,42,52,18,22,7,1,0,0,0,0
SN,CS,shareera,3,17,26,54,61,43,53,17,22,7,0,0,0,0,0
SN,CS,shareera,4,17,26,54,61,43,53,16,23,7,0,0,0,0,0
SN,CS,shareera,5,17,26,55,61,43,52,16,23,7,0,0,0,0,0
SN,CS,shareera,6,17,24,56,63,43,51,17,22,7,0,0,0,0,0
SN,CS,shareera,7,17,24,58,63,44,51,16,21,6,0,0,0,0,0
SN,CS,shareera,8,16,23,59,64,44,51,16,21,6,0,0,0,0,0
SN,CS,shareera,9,17,22,58,64,44,51,17,21,6,0,0,0,0,0
SN,CS,shareera,10,16,22,59,65,43,49,17,22,7,0,0,0,0,0
SN,CS,shareera,11,15,21,61,66,43,49,17,21,7,0,0,0,0,0
SN,CS,shareera,12,15,20,60,66,43,51,17,21,7,0,0,0,0,0
SN,CS,shareera,13,15,19,59,67,43,52,16,22,7,0,0,0,0,0
SN,CS,shareera,14,15,19,61,65,43,53,15,22,7,0,0,0,0,0
SN,CS,shareera,15,13,18,62,65,43,53,16,23,7,0,0,0,0,0
SN,CS,shareera,16,14,19,62,65,43,52,16,22,7,0,0,0,0,0
SN,CS,shareera,17,14,19,63,65,43,53,15,21,7,0,0,0,0,0
SN,CS,shareera,18,14,19,62,65,43,51,16,23,7,0,0,0,0,0
SN,CS,shareera,19,14,20,61,65,43,50,17,23,7,0,0,0,0,0
SN,CS,shareera,20,13,19,62,65,44,51,16,24,6,0,0,0,0,0
SN,CS,shareera,21,13,18,61,65,44,52,16,25,6,0,0,0,0,0
SN,CS,shareera,22,12,17,62,65,44,52,17,25,6,0,0,0,0,0
SN,CS,shareera,23,12,17,61,66,44,52,17,25,6,0,0,0,0,0
SN,CS,shareera,24,13,16,62,66,44,51,17,25,6,0,0,0,0,0
SN,CS,shareera,25,13,15,64,66,43,51,17,24,7,0,0,0,0,0
SN,CS,shareera,26,14,15,63,66,43,50,17,25,7,0,0,0,0,0
SN,CS,shareera,27,15,15,62,67,42,51,17,23,8,0,0,0,0,0
SN,CS,shareera,28,14,15,62,67,42,52,18,22,8,0,0,0,0,0
SN,CS,shareera,29,16,16,60,67,41,53,18,20,9,0,0,0,0,0
SN,CS,shareera,30,16,17,59,67,40,51,19,21,10,0,0,0,0,0
SN,CS,shareera,31,15,18,60,67,40,50,20,20,10,0,0,0,0,0
SN,CS,shareera,32,14,19,61,67,40,49,21,19,10,0,0,0,0,0
SN,CS,shareera,33,14,19,61,67,40,49,21,19,10,0,0,0,0,0
SN,CS,shareera,34,14,21,59,67,41,50,20,19,9,0,0,0,0,0
SN,CS,shareera,35,15,21,58,67,41,49,21,19,9,0,0,0,0,0
SN,CS,shareera,36,16,21,56,67,41,50,21,19,9,0,0,0,0,0
SN,CS,shareera,37,17,22,56,65,41,51,20,19,9,0,0,0,0,0
SN,CS,shareera,38,17,22,54,65,42,51,21,20,8,0,0,0,0,0
SN,CS,shareera,39,17,23,52,65,42,52,20,21,8,0,0,0,0,0
SN,CS,shareera,40,16,23,53,65,42,50,21,22,8,0,0,0,0,0
SN,CS,shareera,41,16,23,54,64,42,52,21,20,8,0,0,0,0,0
SN,CS,shareera,42,16,22,56,65,42,50,21,20,8,0,0,0,0,0
SN,CS,shareera,43,17,22,57,66,42,49,20,19,8,0,0,0,0,0
SN,CS,shareera,44,17,22,59,66,42,48,19,19,8,0,0,0,0,0
SN,CS,shareera,45,17,22,59,65,42,49,19,19,8,0,0,0,0,0
SN,CS,shareera,46,17,22,59,65,42,49,19,19,8,0,0,0,0,0
SN,CS,shareera,47,17,23,59,65,42,46,20,20,8,0,0,0,0,0
SN,CS,shareera,48,16,23,59,66,43,45,20,21,7,0,0,0,0,0
SN,CS,shareera,49,15,23,60,66,43,43,21,22,7,0,0,0,0,0
SN,CS,shareera,50,14,24,60,66,43,42,22,22,7,0,0,0,0,0
SN,CS,shareera,51,15,24,60,67,43,40,22,22,7,0,0,0,0,0
SN,CS,shareera,52,16,23,60,67,43,40,22,22,7,0,0,0,0,0
SN,CS,shareera,53,15,24,59,67,43,40,23,22,7,0,0,0,0,0
SN,CS,shareera,54,15,23,59,68,43,41,23,21,7,0,0,0,0,0
SN,CS,shareera,55,15,23,59,67,43,43,23,20,7,0,0,0,0,0
SN,CS,shareera,56,15,23,61,65,43,43,23,20,7,0,0,0,0,0
SN,CS,shareera,57,15,23,59,65,43,43,24,21,7,0,0,0,0,0
SN,CS,shareera,58,15,23,60,64,43,42,25,21,7,0,0,0,0,0
SN,CS,shareera,59,15,24,59,64,43,41,24,23,7,0,0,0,0,0
SN,CS,shareera,60,15,24,59,63,43,41,26,22,7,0,0,0,0,0
SN,CS,shareera,61,15,25,58,62,42,42,26,22,8,0,0,0,0,0
SN,CS,shareera,62,15,25,59,62,42,41,25,23,8,0,0,0,0,0
SN,CS,shareera,63,15,26,60,61,41,40,25,23,9,0,0,0,0,0
SN,CS,shareera,64,15,27,59,61,41,40,25,23,9,0,0,0,0,0
SN,CS,shareera,65,15,27,57,61,41,43,24,23,9,0,0,0,0,0
SN,CS,shareera,66,14,28,55,61,41,43,25,24,9,0,0,0,0,0
SN,CS,shareera,67,14,28,53,61,41,42,27,25,9,0,0,0,0,0
SN,CS,shareera,68,15,28,54,62,40,42,26,23,10,0,0,0,0,0
SN,CS,shareera,69,15,27,56,62,40,42,25,23,10,0,0,0,0,0
SN,CS,shareera,70,15,27,57,62,40,41,25,23,10,0,0,0,0,0
SN,CS,shareera,71,15,27,59,62,40,39,25,23,10,0,0,0,0,0
SN,CS,shareera,72,15,28,57,62,40,40,25,23,10,0,0,0,0,0
SN,CS,shareera,73,15,29,57,61,40,38,26,24,10,0,0,0,0,0
SN,CS,shareera,74,15,29,57,61,40,38,26,24,10,0,0,0,0,0
SN,CS,shareera,75,15,29,55,61,40,37,27,26,10,0,0,0,0,0
SN,CS,shareera,76,14,29,55,61,39,38,27,26,11,0,0,0,0,0
SN,CS,shareera,77,13,29,54,60,40,38,28,28,10,0,0,0,0,0
SN,CS,shareera,78,13,30,55,60,40,38,27,27,10,0,0,0,0,0
SN,CS,shareera,79,12,29,57,60,41,37,27,28,9,0,0,0,0,0
SN,CS,shareera,80,13,28,58,59,42,39,26,27,8,0,0,0,0,0
SN,CS,shareera,81,13,28,59,59,42,39,25,27,8,0,0,0,0,0
SN,CS,shareera,82,14,28,59,58,42,40,24,27,8,0,0,0,0,0
SN,CS,shareera,83,14,27,60,57,42,39,26,27,8,0,0,0,0,0
SN,CS,shareera,84,14,25,63,57,42,38,26,27,8,0,0,0,0,0
SN,CS,shareera,85,13,23,65,59,42,38,25,27,8,0,0,0,0,0
SN,CS,shareera,86,13,23,65,59,42,38,24,28,8,0,0,0,0,0
SN,CS,shareera,87,12,22,65,59,42,37,26,29,8,0,0,0,0,0
SN,CS,shareera,88,12,22,67,60,42,37,25,27,8,0,0,0,0,0
SN,CS,shareera,89,12,22,67,60,42,37,26,26,8,0,0,0,0,0
