Text_Type,Book,Chapter,Window,GGG,L,GG,GLL,LLG,LGL,G,GGL,LGG,GLG,LLL,LL,LG,GL
SN,CS,siddi,1,44,23,2,75,1,94,49,144,2,158,0,0,0,0
SN,CS,siddi,2,43,23,2,76,1,95,50,146,1,159,0,0,0,0
SN,CS,siddi,3,43,23,1,76,0,96,51,148,0,162,0,0,0,0
SN,CS,siddi,4,44,23,1,76,0,96,51,147,0,162,0,0,0,0
SN,CS,siddi,5,44,23,1,76,0,96,51,147,0,162,0,0,0,0
SN,CS,siddi,6,45,24,1,76,0,97,50,145,0,162,0,0,0,0
SN,CS,siddi,7,45,24,1,77,0,96,50,146,0,161,0,0,0,0
SN,CS,siddi,8,45,24,1,77,0,96,50,146,0,161,0,0,0,0
SN,CS,siddi,9,46,24,1,77,0,95,50,147,0,160,0,0,0,0
SN,CS,siddi,10,45,25,1,78,0,94,49,148,0,160,0,0,0,0
SN,CS,siddi,11,45,25,1,78,0,93,49,149,0,160,0,0,0,0
SN,CS,siddi,12,45,24,1,78,0,93,50,149,0,160,0,0,0,0
SN,CS,siddi,13,45,24,1,78,0,94,50,148,0,160,0,0,0,0
SN,CS,siddi,14,44,25,1,78,0,95,49,148,0,160,0,0,0,0
SN,CS,siddi,15,43,26,1,78,0,95,48,149,0,160,0,0,0,0
SN,CS,siddi,16,43,26,1,78,0,94,48,150,0,160,0,0,0,0
SN,CS,siddi,17,44,26,1,78,0,94,48,149,0,160,0,0,0,0
SN,CS,siddi,18,44,26,0,79,0,91,49,149,0,162,0,0,0,0
SN,CS,siddi,19,44,26,0,79,0,91,49,149,0,162,0,0,0,0
SN,CS,siddi,20,45,26,0,79,0,91,49,148,0,162,0,0,0,0
SN,CS,siddi,21,46,25,0,79,0,91,50,148,0,161,0,0,0,0
SN,CS,siddi,22,47,25,0,79,0,90,50,148,0,161,0,0,0,0
SN,CS,siddi,23,47,24,0,79,0,89,51,149,0,161,0,0,0,0
SN,CS,siddi,24,48,24,0,79,0,89,51,149,0,160,0,0,0,0
SN,CS,siddi,25,47,24,0,79,0,89,51,150,0,160,0,0,0,0
SN,CS,siddi,26,47,23,0,79,0,89,52,150,0,160,0,0,0,0
SN,CS,siddi,27,47,23,0,79,0,90,52,149,0,160,0,0,0,0
SN,CS,siddi,28,47,23,0,79,0,91,52,148,0,160,0,0,0,0
SN,CS,siddi,29,48,23,0,79,0,90,52,149,0,159,0,0,0,0
SN,CS,siddi,30,48,23,0,79,0,90,52,149,0,159,0,0,0,0
SN,CS,siddi,31,48,22,0,79,0,90,53,149,0,159,0,0,0,0
SN,CS,siddi,32,49,22,0,79,0,90,53,148,0,159,0,0,0,0
SN,CS,siddi,33,49,23,0,79,0,90,52,148,0,159,0,0,0,0
SN,CS,siddi,34,49,22,0,79,0,90,53,148,0,159,0,0,0,0
SN,CS,siddi,35,48,22,0,79,0,91,53,147,0,160,0,0,0,0
SN,CS,siddi,36,49,22,0,79,0,91,53,147,0,159,0,0,0,0
SN,CS,siddi,37,49,23,0,79,0,90,52,148,0,159,0,0,0,0
SN,CS,siddi,38,49,22,0,79,0,90,53,148,0,159,0,0,0,0
SN,CS,siddi,39,48,22,0,79,0,90,53,149,0,159,0,0,0,0
SN,CS,siddi,40,48,22,0,79,0,90,53,149,0,159,0,0,0,0
SN,CS,siddi,41,48,22,0,79,0,90,53,148,0,160,0,0,0,0
SN,CS,siddi,42,48,22,0,79,0,89,53,149,0,160,0,0,0,0
SN,CS,siddi,43,49,21,1,78,1,89,53,149,2,158,0,0,0,0
SN,CS,siddi,44,49,21,1,78,1,90,53,148,2,158,0,0,0,0
SN,CS,siddi,45,51,21,2,77,1,89,52,145,3,157,0,0,0,0
SN,CS,siddi,46,51,21,3,77,2,88,51,142,4,155,0,0,0,0
SN,CS,siddi,47,52,20,3,76,2,88,52,142,4,153,0,0,0,0
SN,CS,siddi,48,52,19,3,75,2,88,53,141,4,153,0,0,0,0
SN,CS,siddi,49,53,20,3,74,3,88,52,140,4,151,0,0,0,0
