Text_Type,Book,Chapter,Window,LG,GGL,LGL,GLG,LGG,GL,GG,LLG,GLL,GGG,G,L,LLL,LL
SN,CS,chikitsa,1,1,16,32,17,20,1,1,5,6,22,22,0,0,0
SN,CS,chikitsa,2,1,17,32,18,17,1,1,5,6,22,22,0,0,0
SN,CS,chikitsa,3,1,17,34,18,16,1,0,5,6,23,22,1,0,0
SN,CS,chikitsa,4,1,16,34,18,16,1,0,6,6,23,22,1,0,0
SN,CS,chikitsa,5,1,18,33,19,15,1,0,7,5,22,22,1,0,0
SN,CS,chikitsa,6,1,19,36,19,15,0,0,6,6,21,23,1,0,0
SN,CS,chikitsa,7,0,19,37,20,16,0,0,5,7,21,23,2,0,0
SN,CS,chikitsa,8,0,20,37,20,16,0,0,5,8,19,23,2,0,0
SN,CS,chikitsa,9,0,19,36,21,14,0,0,6,8,21,23,2,0,0
SN,CS,chikitsa,10,0,19,36,20,15,0,0,6,9,20,23,2,0,0
SN,CS,chikitsa,11,0,17,36,20,15,0,0,7,10,20,23,2,0,0
SN,CS,chikitsa,12,0,17,35,20,15,0,0,7,10,21,23,2,0,0
SN,CS,chikitsa,13,0,17,35,18,16,0,0,8,10,20,23,2,1,0
SN,CS,chikitsa,14,0,18,35,18,15,0,0,8,9,21,23,2,1,0
SN,CS,chikitsa,15,0,18,35,18,15,0,0,8,9,21,23,2,1,0
SN,CS,chikitsa,16,0,18,36,17,16,0,0,9,9,19,23,2,1,0
SN,CS,chikitsa,17,0,19,36,17,15,0,0,10,9,18,23,2,1,0
SN,CS,chikitsa,18,0,19,37,16,16,0,0,10,8,18,23,2,1,0
SN,CS,chikitsa,19,0,19,37,16,15,0,0,10,8,19,23,2,1,0
SN,CS,chikitsa,20,0,19,37,16,14,0,0,10,8,20,23,2,1,0
SN,CS,chikitsa,21,0,21,36,17,13,0,0,10,8,19,23,2,1,0
SN,CS,chikitsa,22,0,22,35,18,12,0,0,10,7,20,23,2,1,0
SN,CS,chikitsa,23,0,21,36,20,12,0,0,10,7,18,23,2,1,0
SN,CS,chikitsa,24,0,21,37,20,12,0,0,10,6,18,23,2,1,0
SN,CS,chikitsa,25,0,21,38,19,13,0,0,10,6,17,23,2,1,0
SN,CS,chikitsa,26,0,19,38,20,12,0,0,10,6,19,23,2,1,0
SN,CS,chikitsa,27,0,18,37,20,13,0,0,11,7,18,22,3,1,0
SN,CS,chikitsa,28,0,18,36,21,14,0,0,10,6,19,23,2,1,0
SN,CS,chikitsa,29,0,17,35,23,13,0,0,9,6,21,23,2,1,0
SN,CS,chikitsa,30,0,16,35,24,13,0,0,8,7,21,23,2,1,0
SN,CS,chikitsa,31,0,15,34,24,14,0,0,9,6,22,23,2,1,0
SN,CS,chikitsa,32,0,16,35,22,14,0,0,9,6,22,24,1,1,0
SN,CS,chikitsa,33,0,17,35,22,13,0,0,9,5,23,24,1,1,0
SN,CS,chikitsa,34,0,18,35,22,14,0,0,8,5,22,24,1,1,0
SN,CS,chikitsa,35,0,18,35,22,14,0,0,8,6,21,24,1,1,0
SN,CS,chikitsa,36,0,18,35,21,14,0,0,8,5,23,24,1,1,0
SN,CS,chikitsa,37,0,19,35,20,14,0,0,9,5,22,24,1,1,0
SN,CS,chikitsa,38,0,19,35,20,13,0,0,9,6,23,24,1,0,0
SN,CS,chikitsa,39,0,19,35,20,13,0,0,9,7,22,24,1,0,0
SN,CS,chikitsa,40,0,18,36,20,12,0,0,8,7,24,24,1,0,0
SN,CS,chikitsa,41,0,17,35,20,12,0,0,9,7,25,24,1,0,0
SN,CS,chikitsa,42,0,18,35,20,12,0,0,8,7,25,24,1,0,0
SN,CS,chikitsa,43,0,18,34,21,11,0,0,8,8,25,24,1,0,0
SN,CS,chikitsa,44,0,19,34,20,12,0,0,8,9,23,24,1,0,0
SN,CS,chikitsa,45,0,18,34,19,12,0,0,8,9,25,24,1,0,0
SN,CS,chikitsa,46,0,17,34,20,12,0,0,8,9,25,23,2,0,0
SN,CS,chikitsa,47,0,15,34,19,12,0,0,9,10,26,23,2,0,0
SN,CS,chikitsa,48,0,16,33,18,12,0,0,10,10,26,23,2,0,0
SN,CS,chikitsa,49,0,16,33,17,12,0,0,10,11,26,22,3,0,0
SN,CS,chikitsa,50,0,16,32,19,11,0,0,10,11,26,22,3,0,0
SN,CS,chikitsa,51,0,17,32,19,11,0,0,10,11,25,21,4,0,0
SN,CS,chikitsa,52,0,18,32,19,10,0,0,10,10,26,21,4,0,0
SN,CS,chikitsa,53,0,20,32,18,10,0,0,11,10,24,20,5,0,0
SN,CS,chikitsa,54,0,20,33,19,10,0,0,11,10,22,19,6,0,0
SN,CS,chikitsa,55,0,20,33,17,10,0,0,11,10,24,19,6,0,0
SN,CS,chikitsa,56,0,20,32,18,9,0,0,10,11,25,19,6,0,0
SN,CS,chikitsa,57,0,20,33,19,8,0,0,10,10,25,19,6,0,0
SN,CS,chikitsa,58,0,19,34,18,10,0,0,10,10,24,19,6,0,0
SN,CS,chikitsa,59,0,20,34,18,9,0,0,10,10,24,19,6,0,0
SN,CS,chikitsa,60,0,21,34,17,8,0,0,10,9,26,19,6,0,0
SN,CS,chikitsa,61,0,23,35,17,8,0,0,9,9,24,18,7,0,0
SN,CS,chikitsa,62,0,22,35,18,8,0,0,9,9,24,18,7,0,0
SN,CS,chikitsa,63,0,21,36,19,8,0,0,8,8,25,17,8,0,0
SN,CS,chikitsa,64,0,21,36,19,8,0,0,8,7,26,17,8,0,0
SN,CS,chikitsa,65,0,22,35,19,8,0,0,8,8,25,16,9,0,0
SN,CS,chikitsa,66,0,22,35,21,7,0,0,7,8,25,16,9,0,0
SN,CS,chikitsa,67,0,20,35,22,7,0,0,7,8,26,15,10,0,0
SN,CS,chikitsa,68,0,20,35,23,7,0,0,6,8,26,15,10,0,0
SN,CS,chikitsa,69,0,19,35,23,6,0,0,6,7,29,15,10,0,0
SN,CS,chikitsa,70,0,20,35,22,7,0,0,6,7,28,14,11,0,0
SN,CS,chikitsa,71,0,19,36,19,7,0,0,7,7,30,15,10,0,0
SN,CS,chikitsa,72,0,21,36,19,7,0,0,8,6,28,14,11,0,0
SN,CS,chikitsa,73,0,21,36,19,6,0,0,7,6,30,14,11,0,0
SN,CS,chikitsa,74,0,21,36,21,6,0,0,7,5,29,15,10,0,0
SN,CS,chikitsa,75,0,21,36,21,5,0,0,7,5,30,15,10,0,0
SN,CS,chikitsa,76,0,21,36,22,4,0,0,7,5,30,16,9,0,0
SN,CS,chikitsa,77,0,20,36,22,4,0,0,7,5,31,17,8,0,0
