Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,CS,indriya,1,4,6,0,0,4,5,23,37,40,61,29,55,58,60
SN,CS,indriya,2,4,6,0,0,4,6,23,38,42,61,30,59,61,61
SN,CS,indriya,3,5,6,0,0,4,5,24,37,44,60,29,60,61,62
SN,CS,indriya,4,5,6,0,0,4,6,19,32,40,46,24,52,59,41
SN,CS,indriya,5,5,7,0,0,3,6,18,31,39,45,22,52,58,40
SN,CS,indriya,6,5,7,1,0,2,6,16,28,37,46,20,52,60,40
SN,CS,indriya,7,4,7,1,0,2,6,17,27,36,46,18,50,58,39
SN,CS,indriya,8,4,8,1,0,1,6,16,27,36,46,15,49,59,37
SN,CS,indriya,9,3,9,1,0,1,6,15,27,37,43,14,49,58,39
SN,CS,indriya,10,3,10,1,0,0,6,13,25,39,39,11,44,55,36
SN,CS,indriya,11,3,11,1,0,0,6,13,24,40,39,10,44,52,37
SN,CS,indriya,12,3,11,1,0,0,6,12,23,40,31,8,42,49,35
SN,CS,indriya,13,3,12,1,0,0,6,12,23,40,31,6,43,47,35
SN,CS,indriya,14,3,12,1,0,0,6,12,23,41,31,6,45,48,35
SN,CS,indriya,15,3,12,1,0,0,6,12,24,42,31,6,46,48,34
SN,CS,indriya,16,3,13,1,0,0,5,12,24,43,31,6,49,46,34
SN,CS,indriya,17,3,14,1,0,0,4,11,23,43,26,6,48,43,32
SN,CS,indriya,18,3,15,1,0,0,4,10,24,43,25,5,46,40,29
SN,CS,indriya,19,3,16,1,0,0,4,9,23,44,25,5,47,38,30
SN,CS,indriya,20,2,17,1,0,0,4,6,18,42,19,5,40,33,26
SN,CS,indriya,21,2,17,1,0,0,4,6,19,42,20,5,39,33,25
SN,CS,indriya,22,2,17,1,0,0,3,5,19,42,16,4,41,31,25
SN,CS,indriya,23,1,18,1,0,0,3,2,17,41,13,3,39,30,23
SN,CS,indriya,24,1,18,1,0,0,3,2,17,38,12,2,39,26,22
SN,CS,indriya,25,1,17,1,1,0,3,2,16,38,12,3,40,27,24
