Text_Type,Book,Chapter,Window,LLG,GGL,L,LGG,GLL,LG,G,GGG,LLL,GG,LGL,GLG,GL,LL
SN,CS,kalpa,1,72,73,3,80,56,3,8,104,73,5,84,102,0,0
SN,CS,kalpa,2,78,81,3,82,56,4,8,104,74,5,86,108,0,0
SN,CS,kalpa,3,79,82,3,81,55,4,8,105,74,4,86,108,0,0
SN,CS,kalpa,4,81,80,2,78,53,4,9,99,72,4,83,104,0,0
SN,CS,kalpa,5,80,78,2,81,52,3,9,98,71,4,81,104,0,0
SN,CS,kalpa,6,77,72,2,84,55,3,9,97,67,3,79,95,0,0
SN,CS,kalpa,7,80,82,2,88,58,3,8,99,69,3,80,98,1,0
SN,CS,kalpa,8,72,80,3,81,55,3,8,95,65,2,78,90,1,0
SN,CS,kalpa,9,79,82,3,88,58,3,8,100,67,2,84,92,1,0
SN,CS,kalpa,10,80,86,3,90,60,3,8,102,68,2,86,96,1,0
SN,CS,kalpa,11,65,74,3,84,47,3,7,93,39,2,65,84,1,0
SN,CS,kalpa,12,66,78,3,80,42,3,7,94,37,2,62,82,2,0
SN,CS,kalpa,13,66,77,3,83,44,3,6,84,35,2,56,81,2,0
SN,CS,kalpa,14,66,77,3,77,46,3,6,82,33,2,57,79,3,0
SN,CS,kalpa,15,69,76,3,72,43,4,6,81,33,2,57,81,3,0
SN,CS,kalpa,16,72,75,3,73,47,4,6,80,34,1,61,84,3,0
SN,CS,kalpa,17,73,75,3,71,46,4,6,79,33,1,61,85,3,0
SN,CS,kalpa,18,73,75,3,69,44,4,7,77,33,1,62,85,3,0
SN,CS,kalpa,19,72,74,3,67,43,5,7,76,30,0,59,79,3,0
SN,CS,kalpa,20,72,72,3,67,43,4,8,77,30,0,60,78,3,0
SN,CS,kalpa,21,72,72,4,67,42,4,8,77,30,0,61,79,3,0
SN,CS,kalpa,22,69,69,5,65,41,3,8,74,27,0,60,80,3,0
SN,CS,kalpa,23,60,64,5,55,37,3,8,57,23,0,53,66,3,0
SN,CS,kalpa,24,60,65,5,55,37,3,8,57,23,0,53,65,3,0
SN,CS,kalpa,25,59,65,5,57,37,3,8,57,23,0,51,65,3,0
SN,CS,kalpa,26,59,65,5,57,37,3,7,56,23,1,50,65,3,0
SN,CS,kalpa,27,53,58,6,55,37,2,7,55,21,1,49,60,3,0
SN,CS,kalpa,28,51,57,6,55,38,2,8,55,21,1,51,61,3,0
SN,CS,kalpa,29,48,59,6,55,38,2,8,54,19,1,52,61,3,0
SN,CS,kalpa,30,47,58,7,53,36,2,8,55,19,1,50,62,3,0
SN,CS,kalpa,31,46,53,8,44,30,2,8,47,19,1,50,58,3,0
SN,CS,kalpa,32,42,44,8,40,27,2,9,46,17,1,50,56,2,0
SN,CS,kalpa,33,39,42,7,38,28,2,10,44,17,1,47,55,2,0
SN,CS,kalpa,34,30,38,6,31,25,2,11,39,14,1,43,50,2,0
SN,CS,kalpa,35,28,33,5,28,23,2,12,38,13,1,42,46,2,0
SN,CS,kalpa,36,27,32,5,25,22,2,13,37,12,1,41,43,2,0
SN,CS,kalpa,37,24,28,5,22,20,2,14,33,10,1,38,37,1,0
SN,CS,kalpa,38,21,21,6,15,14,2,14,31,7,1,35,30,1,0
SN,CS,kalpa,39,20,18,6,15,12,2,15,29,5,1,32,28,0,0
SN,CS,kalpa,40,16,16,6,14,11,1,16,26,1,1,29,26,0,0
SN,CS,kalpa,41,12,16,6,14,8,1,17,25,0,1,25,23,0,0
SN,CS,kalpa,42,11,16,6,14,8,1,17,26,0,1,25,23,0,0
SN,CS,kalpa,43,11,16,6,13,8,1,17,27,0,1,25,23,0,0
SN,CS,kalpa,44,12,15,6,13,7,0,18,26,0,1,26,23,0,0
SN,CS,kalpa,45,11,15,6,14,7,0,18,26,0,1,26,23,0,0
SN,CS,kalpa,46,11,16,5,14,7,0,19,27,0,1,26,21,0,0
SN,CS,kalpa,47,11,16,4,15,7,0,20,27,0,1,26,20,0,0
SN,CS,kalpa,48,12,14,4,14,8,1,19,31,0,1,25,19,0,0
SN,CS,kalpa,49,11,14,5,13,8,1,18,31,0,1,25,21,0,0
SN,CS,kalpa,50,12,14,5,11,8,1,18,31,0,1,26,22,0,0
SN,CS,kalpa,51,11,14,5,10,7,1,19,33,0,0,27,24,0,0
SN,CS,kalpa,52,11,14,4,9,7,1,19,34,0,0,27,23,0,0
SN,CS,kalpa,53,12,14,4,10,7,1,18,33,0,1,25,22,0,0
SN,CS,kalpa,54,12,11,4,10,7,1,18,35,0,1,25,23,0,0
SN,CS,kalpa,55,13,13,3,9,7,1,19,35,0,1,25,21,0,0
SN,CS,kalpa,56,13,13,2,9,7,1,20,36,0,1,24,21,0,0
SN,CS,kalpa,57,14,14,2,8,7,1,20,36,0,1,24,20,0,0
SN,CS,kalpa,58,15,14,2,9,7,1,20,35,0,1,25,18,0,0
SN,CS,kalpa,59,14,14,2,10,6,1,20,36,0,1,24,19,0,0
SN,CS,kalpa,60,13,14,2,10,6,1,20,36,0,1,24,20,0,0
SN,CS,kalpa,61,13,14,2,9,6,1,20,37,0,1,24,20,0,0
SN,CS,kalpa,62,13,14,2,9,6,1,20,37,0,1,24,20,0,0
SN,CS,kalpa,63,13,15,1,9,6,1,21,36,0,1,25,19,0,0
SN,CS,kalpa,64,13,15,1,10,5,1,21,35,0,1,26,19,0,0
SN,CS,kalpa,65,13,15,2,11,4,1,20,36,0,1,26,18,0,0
SN,CS,kalpa,66,14,15,2,10,3,1,20,38,0,1,26,17,0,0
SN,CS,kalpa,67,13,15,2,12,3,1,19,36,0,1,26,18,0,0
SN,CS,kalpa,68,13,15,3,12,3,1,18,35,0,1,26,19,0,0
SN,CS,kalpa,69,12,14,3,12,3,1,18,35,0,1,27,20,0,0
SN,CS,kalpa,70,12,14,3,11,4,1,18,34,0,1,27,21,0,0
SN,CS,kalpa,71,13,16,3,10,4,1,18,33,0,1,27,20,0,0
SN,CS,kalpa,72,14,16,3,10,5,1,17,33,0,1,28,22,0,1
SN,CS,kalpa,73,14,17,3,10,4,0,18,31,0,1,29,22,0,1
SN,CS,kalpa,74,15,16,2,10,5,0,19,32,0,1,29,20,0,1
SN,CS,kalpa,75,14,15,2,10,6,0,19,32,0,1,30,20,0,1
SN,CS,kalpa,76,14,16,2,11,6,0,19,31,0,1,30,19,0,1
SN,CS,kalpa,77,14,15,2,12,7,0,20,30,0,1,30,20,0,1
SN,CS,kalpa,78,14,15,2,11,6,0,21,31,0,0,31,22,0,1
SN,CS,kalpa,79,14,16,3,11,6,0,20,31,0,0,31,21,0,1
SN,CS,kalpa,80,14,14,3,11,6,0,20,31,0,0,31,23,0,1
SN,CS,kalpa,81,14,14,3,11,7,0,20,29,0,0,32,23,0,1
SN,CS,kalpa,82,13,12,3,11,7,0,20,30,0,0,33,24,0,1
SN,CS,kalpa,83,12,13,3,10,6,0,20,31,0,0,33,25,0,1
SN,CS,kalpa,84,12,15,4,9,6,0,19,29,0,0,33,26,0,1
SN,CS,kalpa,85,12,17,4,9,6,0,19,26,0,0,33,27,0,1
SN,CS,kalpa,86,11,16,4,9,7,0,19,25,0,0,33,29,0,1
SN,CS,kalpa,87,11,14,4,10,7,0,19,25,0,0,33,30,0,1
SN,CS,kalpa,88,11,14,4,12,8,0,19,28,0,0,33,36,0,1
SN,CS,kalpa,89,12,14,4,12,8,0,19,29,0,0,32,35,0,1
SN,CS,kalpa,90,13,15,4,11,9,0,19,27,0,0,32,35,0,1
SN,CS,kalpa,91,12,15,4,12,9,0,19,26,0,0,32,36,0,1
SN,CS,kalpa,92,12,15,5,10,9,0,19,29,0,0,32,35,0,1
SN,CS,kalpa,93,11,18,4,10,9,0,20,28,0,0,32,34,0,1
SN,CS,kalpa,94,14,19,4,12,12,0,20,31,0,0,30,33,0,1
SN,CS,kalpa,95,14,20,4,14,11,0,20,31,0,0,29,31,0,1
SN,CS,kalpa,96,14,17,4,15,12,0,19,31,0,1,28,31,0,1
SN,CS,kalpa,97,13,19,5,14,11,0,19,30,0,1,28,28,0,0
SN,CS,kalpa,98,12,19,5,15,11,0,19,29,0,1,28,29,0,0
SN,CS,kalpa,99,11,19,5,16,10,0,19,29,0,1,28,30,0,0
SN,CS,kalpa,100,11,20,6,16,9,0,18,28,0,1,29,30,0,0
SN,CS,kalpa,101,12,22,6,15,10,1,17,28,0,1,29,32,0,0
SN,CS,kalpa,102,13,22,6,15,10,1,17,28,0,1,29,31,0,0
SN,CS,kalpa,103,12,24,7,15,10,1,16,27,0,1,29,31,0,0
SN,CS,kalpa,104,13,24,6,15,10,1,17,27,0,1,29,30,0,0
SN,CS,kalpa,105,12,24,6,15,10,1,16,26,0,1,28,29,0,0
SN,CS,kalpa,106,11,25,6,14,9,1,16,27,0,1,27,30,0,0
SN,CS,kalpa,107,13,25,6,15,9,1,16,25,0,1,26,30,0,0
SN,CS,kalpa,108,15,24,6,16,9,1,16,25,0,1,25,29,0,0
SN,CS,kalpa,109,15,22,5,16,9,1,17,28,0,1,25,28,0,0
SN,CS,kalpa,110,15,20,5,17,9,1,17,30,0,1,25,27,0,0
SN,CS,kalpa,111,15,20,5,18,8,1,17,30,0,1,25,27,0,0
SN,CS,kalpa,112,15,20,5,18,8,1,17,30,0,1,25,27,0,0
SN,CS,kalpa,113,14,20,5,15,8,1,17,28,0,1,24,22,0,0
SN,CS,kalpa,114,14,20,5,15,9,1,17,27,0,1,24,22,0,0
SN,CS,kalpa,115,15,20,4,15,9,1,18,27,0,1,24,21,0,0
SN,CS,kalpa,116,16,20,4,14,9,1,18,27,0,1,25,20,0,0
SN,CS,kalpa,117,17,20,3,15,9,1,19,25,0,1,25,20,0,0
SN,CS,kalpa,118,17,18,3,15,9,1,19,27,0,1,25,20,0,0
SN,CS,kalpa,119,14,18,3,14,7,1,19,23,0,1,26,20,0,0
SN,CS,kalpa,120,15,17,3,12,7,1,19,24,0,1,27,21,0,0
SN,CS,kalpa,121,15,19,3,11,8,2,19,26,0,0,29,22,0,0
SN,CS,kalpa,122,16,17,3,11,8,2,19,28,0,0,28,22,0,0
SN,CS,kalpa,123,17,17,4,10,9,2,18,28,0,0,28,21,0,0
