Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,CS,nidana,1,1,6,0,1,3,2,19,17,25,36,22,49,35,51
SN,CS,nidana,2,2,6,0,1,3,2,20,19,31,38,28,54,39,52
SN,CS,nidana,3,2,6,0,1,3,1,27,26,45,60,38,75,52,70
SN,CS,nidana,4,1,7,0,1,3,1,26,28,44,60,37,73,55,68
SN,CS,nidana,5,1,7,1,1,2,1,30,29,47,61,40,79,56,70
SN,CS,nidana,6,1,7,1,1,2,1,34,34,53,75,45,86,61,77
SN,CS,nidana,7,1,8,1,1,2,1,36,34,54,76,46,86,60,79
SN,CS,nidana,8,1,7,2,1,2,1,39,34,61,79,48,91,66,81
SN,CS,nidana,9,1,7,2,1,3,1,44,41,62,84,56,98,77,95
SN,CS,nidana,10,2,6,2,1,3,1,47,47,65,92,61,105,81,103
SN,CS,nidana,11,2,6,2,1,3,1,45,46,65,90,64,106,81,103
SN,CS,nidana,12,2,5,3,1,3,1,45,46,66,89,64,110,81,103
SN,CS,nidana,13,2,6,3,1,3,1,44,46,66,90,63,110,81,104
SN,CS,nidana,14,2,5,3,1,3,1,44,48,68,90,63,113,83,104
SN,CS,nidana,15,2,6,3,1,3,1,42,49,72,92,63,114,83,105
SN,CS,nidana,16,2,6,3,1,3,1,41,49,72,92,60,111,81,104
SN,CS,nidana,17,2,6,3,1,3,1,41,48,72,92,61,112,83,101
SN,CS,nidana,18,2,6,3,1,3,2,39,46,71,94,65,111,84,99
SN,CS,nidana,19,2,6,3,1,2,2,41,48,83,104,70,123,93,112
SN,CS,nidana,20,2,5,3,1,2,3,41,49,84,102,69,121,92,112
SN,CS,nidana,21,2,5,3,1,2,3,42,56,85,106,70,121,94,111
SN,CS,nidana,22,2,5,3,1,2,3,42,55,85,106,72,120,95,111
SN,CS,nidana,23,2,6,3,1,2,3,41,57,86,109,71,123,99,113
SN,CS,nidana,24,2,7,3,1,2,3,44,60,89,108,73,129,100,111
SN,CS,nidana,25,3,7,3,1,1,3,44,61,90,110,76,132,103,117
SN,CS,nidana,26,3,7,3,0,1,3,42,60,85,109,75,127,102,114
SN,CS,nidana,27,2,8,3,0,1,3,40,59,80,107,70,122,98,112
SN,CS,nidana,28,3,8,3,0,1,3,33,52,67,84,60,101,85,96
SN,CS,nidana,29,3,8,3,0,1,3,33,51,66,83,59,98,80,96
SN,CS,nidana,30,3,9,2,0,1,3,29,50,63,79,56,92,76,94
SN,CS,nidana,31,3,10,2,0,1,3,25,46,57,66,50,82,69,87
SN,CS,nidana,32,3,10,2,0,1,3,23,45,56,65,50,81,67,87
SN,CS,nidana,33,3,11,1,0,1,3,20,45,50,62,47,75,62,86
SN,CS,nidana,34,3,11,1,1,0,3,15,39,48,57,40,68,52,73
SN,CS,nidana,35,2,12,1,1,0,3,12,35,43,48,35,58,48,62
SN,CS,nidana,36,2,13,1,1,0,2,12,36,43,47,32,55,48,61
