Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,CS,shareera,1,2,21,0,0,0,2,0,12,27,19,9,24,8,24
SN,CS,shareera,2,2,22,0,0,0,1,0,10,28,18,9,24,10,24
SN,CS,shareera,3,2,23,0,0,0,0,0,9,29,18,9,24,12,24
SN,CS,shareera,4,2,23,0,0,0,0,0,7,29,17,9,24,14,25
SN,CS,shareera,5,2,23,0,0,0,0,0,6,29,17,9,25,13,26
SN,CS,shareera,6,2,23,0,0,0,0,0,6,29,15,10,26,13,26
SN,CS,shareera,7,1,24,0,0,0,0,0,5,30,15,11,26,13,25
SN,CS,shareera,8,1,24,0,0,0,0,0,5,31,15,10,25,14,25
SN,CS,shareera,9,2,23,0,0,0,0,0,6,31,14,10,25,14,25
SN,CS,shareera,10,2,23,0,0,0,0,0,6,31,15,9,24,14,26
SN,CS,shareera,11,2,23,0,0,0,0,0,7,31,14,8,23,13,29
SN,CS,shareera,12,2,23,0,0,0,0,0,7,33,13,8,23,13,28
SN,CS,shareera,13,3,22,0,0,0,0,0,6,33,12,8,23,14,29
SN,CS,shareera,14,3,22,0,0,0,0,0,6,31,12,8,23,14,31
SN,CS,shareera,15,3,22,0,0,0,0,0,6,31,12,7,25,14,30
SN,CS,shareera,16,3,22,0,0,0,0,0,6,32,12,7,24,15,29
SN,CS,shareera,17,3,22,0,0,0,0,0,5,32,13,8,26,14,27
SN,CS,shareera,18,3,22,0,0,0,0,0,6,32,14,8,25,15,25
SN,CS,shareera,19,3,22,0,0,0,0,0,7,32,14,7,25,15,25
SN,CS,shareera,20,2,23,0,0,0,0,0,7,32,13,6,25,15,27
SN,CS,shareera,21,3,22,0,0,0,0,0,8,32,11,6,25,15,28
SN,CS,shareera,22,3,22,0,0,0,0,0,8,32,10,5,27,15,28
SN,CS,shareera,23,4,21,0,0,0,0,0,8,32,10,6,26,15,28
SN,CS,shareera,24,5,20,0,0,0,0,0,8,32,9,7,26,15,28
SN,CS,shareera,25,5,20,0,0,0,0,0,8,32,8,8,26,14,29
SN,CS,shareera,26,5,20,0,0,0,0,0,8,32,7,8,26,14,30
SN,CS,shareera,27,5,20,0,0,0,0,0,8,32,9,8,28,12,28
SN,CS,shareera,28,5,20,0,0,0,0,0,8,32,8,8,29,10,30
SN,CS,shareera,29,5,20,0,0,0,0,0,9,32,9,8,29,9,29
SN,CS,shareera,30,5,20,0,0,0,0,0,10,32,9,8,27,10,29
SN,CS,shareera,31,5,20,0,0,0,0,0,11,34,9,7,25,9,30
SN,CS,shareera,32,5,20,0,0,0,0,0,11,33,9,6,25,8,33
SN,CS,shareera,33,5,20,0,0,0,0,0,11,33,8,6,26,7,34
SN,CS,shareera,34,4,21,0,0,0,0,0,11,33,8,7,26,7,33
SN,CS,shareera,35,5,20,0,0,0,0,0,11,34,7,7,25,8,33
SN,CS,shareera,36,5,20,0,0,0,0,0,10,35,7,7,26,8,32
