Text_Type,Book,Chapter,Window,GG,GLG,GGG,G,LGL,L,LLG,LGG,GLL,GGL,LLL,LL,LG,GL
SN,CS,siddi,1,2,52,13,15,36,7,1,2,23,41,0,0,0,0
SN,CS,siddi,2,2,53,12,16,37,7,1,1,24,43,0,0,0,0
SN,CS,siddi,3,1,55,13,17,38,7,0,0,24,45,0,0,0,0
SN,CS,siddi,4,1,56,13,18,39,6,0,0,24,43,0,0,0,0
SN,CS,siddi,5,1,56,12,18,39,6,0,0,24,44,0,0,0,0
SN,CS,siddi,6,1,56,13,17,39,7,0,0,24,43,0,0,0,0
SN,CS,siddi,7,1,55,13,17,38,7,0,0,24,45,0,0,0,0
SN,CS,siddi,8,1,55,12,18,38,6,0,0,24,46,0,0,0,0
SN,CS,siddi,9,1,54,13,17,37,7,0,0,24,47,0,0,0,0
SN,CS,siddi,10,1,54,13,17,36,7,0,0,24,48,0,0,0,0
SN,CS,siddi,11,1,55,12,17,35,7,0,0,24,49,0,0,0,0
SN,CS,siddi,12,1,54,13,18,36,6,0,0,24,48,0,0,0,0
SN,CS,siddi,13,1,53,14,17,36,7,0,0,24,48,0,0,0,0
SN,CS,siddi,14,1,53,14,17,36,7,0,0,24,48,0,0,0,0
SN,CS,siddi,15,1,53,14,16,36,8,0,0,24,48,0,0,0,0
SN,CS,siddi,16,1,53,13,16,35,8,0,0,24,50,0,0,0,0
SN,CS,siddi,17,1,53,14,16,36,8,0,0,24,48,0,0,0,0
SN,CS,siddi,18,0,54,15,16,33,9,0,0,25,48,0,0,0,0
SN,CS,siddi,19,0,54,15,17,33,8,0,0,25,48,0,0,0,0
SN,CS,siddi,20,0,54,15,17,33,8,0,0,25,48,0,0,0,0
SN,CS,siddi,21,0,53,15,18,33,7,0,0,25,49,0,0,0,0
SN,CS,siddi,22,0,53,16,17,33,8,0,0,25,48,0,0,0,0
SN,CS,siddi,23,0,53,16,17,32,8,0,0,25,49,0,0,0,0
SN,CS,siddi,24,0,52,17,17,31,8,0,0,25,50,0,0,0,0
SN,CS,siddi,25,0,52,16,17,31,8,0,0,25,51,0,0,0,0
SN,CS,siddi,26,0,53,15,18,30,7,0,0,25,52,0,0,0,0
SN,CS,siddi,27,0,53,14,17,30,8,0,0,25,53,0,0,0,0
SN,CS,siddi,28,0,53,13,16,30,9,0,0,25,54,0,0,0,0
SN,CS,siddi,29,0,52,14,15,29,10,0,0,25,55,0,0,0,0
SN,CS,siddi,30,0,53,14,15,29,10,0,0,25,54,0,0,0,0
SN,CS,siddi,31,0,53,14,15,29,10,0,0,25,54,0,0,0,0
SN,CS,siddi,32,0,53,15,15,30,10,0,0,25,52,0,0,0,0
SN,CS,siddi,33,0,53,16,15,30,10,0,0,25,51,0,0,0,0
SN,CS,siddi,34,0,53,16,16,30,9,0,0,25,51,0,0,0,0
SN,CS,siddi,35,0,53,16,16,30,9,0,0,25,51,0,0,0,0
SN,CS,siddi,36,0,52,16,15,30,10,0,0,26,51,0,0,0,0
SN,CS,siddi,37,0,53,15,15,29,10,0,0,26,52,0,0,0,0
SN,CS,siddi,38,0,53,15,16,29,9,0,0,26,52,0,0,0,0
SN,CS,siddi,39,0,53,15,15,29,10,0,0,26,52,0,0,0,0
SN,CS,siddi,40,0,53,15,16,29,9,0,0,26,52,0,0,0,0
SN,CS,siddi,41,0,53,16,16,29,9,0,0,26,51,0,0,0,0
SN,CS,siddi,42,0,54,15,15,28,10,0,0,26,52,0,0,0,0
SN,CS,siddi,43,0,54,15,16,28,9,0,0,26,52,0,0,0,0
SN,CS,siddi,44,0,54,15,16,28,9,0,0,26,52,0,0,0,0
SN,CS,siddi,45,0,54,15,16,29,9,0,0,26,51,0,0,0,0
SN,CS,siddi,46,0,54,15,16,29,9,0,0,27,50,0,0,0,0
SN,CS,siddi,47,0,54,14,17,28,8,0,0,27,52,0,0,0,0
SN,CS,siddi,48,0,54,14,18,29,7,0,0,27,51,0,0,0,0
SN,CS,siddi,49,0,54,14,17,29,8,0,0,27,51,0,0,0,0
SN,CS,siddi,50,0,54,15,16,28,9,0,0,27,51,0,0,0,0
SN,CS,siddi,51,0,53,16,16,28,9,0,0,27,51,0,0,0,0
SN,CS,siddi,52,0,53,17,17,28,8,0,0,27,50,0,0,0,0
SN,CS,siddi,53,0,54,17,18,28,7,0,0,27,49,0,0,0,0
SN,CS,siddi,54,0,54,17,18,28,7,0,0,27,49,0,0,0,0
SN,CS,siddi,55,0,53,18,18,28,7,0,0,27,49,0,0,0,0
SN,CS,siddi,56,0,53,18,18,29,7,0,0,27,48,0,0,0,0
SN,CS,siddi,57,0,53,17,18,28,7,0,0,28,49,0,0,0,0
SN,CS,siddi,58,0,53,17,17,28,8,0,0,28,49,0,0,0,0
SN,CS,siddi,59,0,53,17,17,28,8,0,0,28,49,0,0,0,0
SN,CS,siddi,60,0,53,16,16,28,9,0,0,29,49,0,0,0,0
SN,CS,siddi,61,0,53,17,17,28,8,0,0,28,49,0,0,0,0
SN,CS,siddi,62,0,53,17,17,28,8,0,0,28,49,0,0,0,0
SN,CS,siddi,63,0,54,16,17,29,8,0,0,28,48,0,0,0,0
SN,CS,siddi,64,0,54,15,17,30,8,0,0,28,48,0,0,0,0
SN,CS,siddi,65,0,54,14,16,30,9,0,0,28,49,0,0,0,0
SN,CS,siddi,66,0,54,14,16,30,9,0,0,28,49,0,0,0,0
SN,CS,siddi,67,0,53,15,17,30,8,0,0,28,49,0,0,0,0
SN,CS,siddi,68,0,54,14,17,30,8,0,0,28,49,0,0,0,0
SN,CS,siddi,69,0,54,14,16,30,9,0,0,28,49,0,0,0,0
SN,CS,siddi,70,0,54,15,16,29,9,0,0,28,49,0,0,0,0
SN,CS,siddi,71,0,54,16,16,29,9,0,0,27,49,0,0,0,0
SN,CS,siddi,72,0,54,17,16,29,9,0,0,27,48,0,0,0,0
SN,CS,siddi,73,0,54,17,16,28,9,0,0,27,49,0,0,0,0
SN,CS,siddi,74,0,54,17,17,29,8,0,0,27,48,0,0,0,0
SN,CS,siddi,75,0,54,16,18,30,7,0,0,27,48,0,0,0,0
SN,CS,siddi,76,0,54,16,18,31,7,0,0,27,47,0,0,0,0
SN,CS,siddi,77,0,54,16,18,32,7,0,0,27,46,0,0,0,0
SN,CS,siddi,78,0,53,17,18,33,7,0,0,27,45,0,0,0,0
SN,CS,siddi,79,0,53,17,19,33,6,0,0,27,45,0,0,0,0
SN,CS,siddi,80,0,53,16,19,33,6,0,0,27,46,0,0,0,0
SN,CS,siddi,81,0,53,16,20,32,5,0,0,27,47,0,0,0,0
SN,CS,siddi,82,0,53,17,20,32,5,0,0,26,47,0,0,0,0
SN,CS,siddi,83,0,53,16,20,32,5,0,0,26,48,0,0,0,0
SN,CS,siddi,84,0,53,16,20,32,5,0,0,26,48,0,0,0,0
SN,CS,siddi,85,0,54,16,21,33,4,0,0,25,47,0,0,0,0
SN,CS,siddi,86,0,54,16,21,33,4,0,0,25,47,0,0,0,0
SN,CS,siddi,87,0,53,17,20,33,5,0,0,25,47,0,0,0,0
SN,CS,siddi,88,0,52,18,20,32,5,0,0,25,48,0,0,0,0
SN,CS,siddi,89,0,52,18,21,31,4,0,0,25,49,0,0,0,0
SN,CS,siddi,90,0,52,19,21,31,4,0,0,25,48,0,0,0,0
SN,CS,siddi,91,0,53,18,21,31,4,0,0,25,48,0,0,0,0
SN,CS,siddi,92,0,53,18,21,31,4,0,0,25,48,0,0,0,0
SN,CS,siddi,93,1,50,20,20,31,4,1,2,24,48,0,0,0,0
SN,CS,siddi,94,1,50,20,21,32,3,1,2,24,47,0,0,0,0
SN,CS,siddi,95,2,49,21,20,31,3,1,3,23,45,0,0,0,0
