Text_Type,Book,Chapter,Window,GGL,LGL,LLL,LG,LLG,G,GL,L,GGG,GG,LGG,GLL,GLG,LL
SN,CS,chikitsa,1,35,70,1,1,15,45,1,2,41,1,32,12,37,0
SN,CS,chikitsa,2,35,69,1,1,16,44,1,3,40,1,30,13,38,0
SN,CS,chikitsa,3,35,70,1,1,15,45,1,3,42,0,30,12,39,0
SN,CS,chikitsa,4,33,69,1,1,15,45,1,3,44,0,29,12,41,0
SN,CS,chikitsa,5,34,68,1,1,15,45,1,3,43,0,28,12,43,0
SN,CS,chikitsa,6,34,70,1,1,15,46,0,3,43,0,29,12,43,0
SN,CS,chikitsa,7,35,72,1,0,14,47,0,3,43,0,30,13,42,0
SN,CS,chikitsa,8,37,72,1,0,14,47,0,3,42,0,29,13,42,0
SN,CS,chikitsa,9,37,71,1,0,14,47,0,3,43,0,28,13,43,0
SN,CS,chikitsa,10,37,71,1,0,14,47,0,3,41,0,29,15,42,0
SN,CS,chikitsa,11,35,71,1,0,15,47,0,3,43,0,29,15,41,0
SN,CS,chikitsa,12,36,70,1,0,16,47,0,3,43,0,29,15,40,0
SN,CS,chikitsa,13,36,70,1,0,17,47,0,3,43,0,29,16,38,0
SN,CS,chikitsa,14,37,70,1,0,17,47,0,3,43,0,28,16,38,0
SN,CS,chikitsa,15,36,71,1,0,16,47,0,3,45,0,27,16,38,0
SN,CS,chikitsa,16,35,71,1,0,18,47,0,3,44,0,28,16,37,0
SN,CS,chikitsa,17,37,71,1,0,18,47,0,3,43,0,27,16,37,0
SN,CS,chikitsa,18,37,71,1,0,18,47,0,3,43,0,27,16,37,0
SN,CS,chikitsa,19,38,71,1,0,18,47,0,3,42,0,27,17,36,0
SN,CS,chikitsa,20,37,71,1,0,18,47,0,3,45,0,26,17,35,0
SN,CS,chikitsa,21,38,70,1,0,18,46,0,4,44,0,25,17,37,0
SN,CS,chikitsa,22,37,69,1,0,19,46,0,4,46,0,24,17,37,0
SN,CS,chikitsa,23,37,69,1,0,20,46,0,4,44,0,24,17,38,0
SN,CS,chikitsa,24,37,70,1,0,20,45,0,5,44,0,24,17,37,0
SN,CS,chikitsa,25,37,70,1,0,20,45,0,5,43,0,24,17,38,0
SN,CS,chikitsa,26,36,70,1,0,20,44,0,6,44,0,23,17,39,0
SN,CS,chikitsa,27,36,69,1,0,21,43,0,7,44,0,23,17,39,0
SN,CS,chikitsa,28,38,68,1,0,21,43,0,7,43,0,24,16,39,0
SN,CS,chikitsa,29,37,68,1,0,20,42,0,8,43,0,23,16,42,0
SN,CS,chikitsa,30,36,68,1,0,19,42,0,8,45,0,23,17,41,0
SN,CS,chikitsa,31,35,66,1,0,19,42,0,8,47,0,23,17,42,0
SN,CS,chikitsa,32,36,68,1,0,19,43,0,7,47,0,22,16,41,0
SN,CS,chikitsa,33,36,69,1,0,19,43,0,7,47,0,23,15,40,0
SN,CS,chikitsa,34,38,69,1,0,18,43,0,7,46,0,23,15,40,0
SN,CS,chikitsa,35,39,69,1,0,18,43,0,7,47,0,22,15,39,0
SN,CS,chikitsa,36,41,70,1,0,17,42,0,8,47,0,22,14,38,0
SN,CS,chikitsa,37,41,70,1,0,18,42,0,8,46,0,22,14,38,0
SN,CS,chikitsa,38,40,71,0,0,17,41,0,9,48,0,21,14,39,0
SN,CS,chikitsa,39,40,71,0,0,17,41,0,9,48,0,21,14,39,0
SN,CS,chikitsa,40,40,71,0,0,16,40,0,10,49,0,20,15,39,0
SN,CS,chikitsa,41,39,70,0,0,16,40,0,10,50,0,19,15,41,0
SN,CS,chikitsa,42,38,70,0,0,15,39,0,11,51,0,19,15,42,0
SN,CS,chikitsa,43,38,69,0,0,14,39,0,11,51,0,18,16,44,0
SN,CS,chikitsa,44,38,69,0,0,14,39,0,11,52,0,18,16,43,0
SN,CS,chikitsa,45,38,69,0,0,14,38,0,12,53,0,19,16,41,0
SN,CS,chikitsa,46,36,70,0,0,15,38,0,12,55,0,19,16,39,0
SN,CS,chikitsa,47,36,70,0,0,17,37,0,13,54,0,19,16,38,0
SN,CS,chikitsa,48,37,69,0,0,17,37,0,13,56,0,18,16,37,0
SN,CS,chikitsa,49,37,69,0,0,17,37,0,13,55,0,18,16,38,0
SN,CS,chikitsa,50,37,68,0,0,17,37,0,13,56,0,16,16,40,0
SN,CS,chikitsa,51,38,68,0,0,17,37,0,13,55,0,15,16,41,0
SN,CS,chikitsa,52,38,68,0,0,17,38,0,12,57,0,14,15,41,0
SN,CS,chikitsa,53,40,68,0,0,17,38,0,12,57,0,13,15,40,0
SN,CS,chikitsa,54,40,68,0,0,17,38,0,12,57,0,13,15,40,0
SN,CS,chikitsa,55,40,68,0,0,17,37,0,13,59,0,13,14,39,0
SN,CS,chikitsa,56,41,67,0,0,17,37,0,13,58,0,12,14,41,0
SN,CS,chikitsa,57,43,66,0,0,17,37,0,13,59,0,11,13,41,0
SN,CS,chikitsa,58,41,67,0,0,18,37,0,13,58,0,11,15,40,0
SN,CS,chikitsa,59,41,67,0,0,18,37,0,13,58,0,10,16,40,0
SN,CS,chikitsa,60,42,67,0,0,18,37,0,13,59,0,9,14,41,0
SN,CS,chikitsa,61,44,67,0,0,18,37,0,13,56,0,10,14,41,0
SN,CS,chikitsa,62,44,67,0,0,17,37,0,13,57,0,10,14,41,0
SN,CS,chikitsa,63,43,68,0,0,17,37,0,13,57,0,10,13,42,0
SN,CS,chikitsa,64,42,68,0,0,17,37,0,13,58,0,10,12,43,0
SN,CS,chikitsa,65,42,66,0,1,18,36,0,13,55,0,11,12,43,0
SN,CS,chikitsa,66,44,68,1,1,19,36,0,13,56,0,11,14,43,0
SN,CS,chikitsa,67,61,79,11,1,23,35,0,13,64,0,21,24,57,1
SN,CS,chikitsa,68,61,79,12,1,22,34,0,13,63,0,22,24,59,1
SN,CS,chikitsa,69,61,79,12,1,22,34,0,13,65,0,21,23,59,1
SN,CS,chikitsa,70,63,79,12,1,22,34,0,13,64,0,21,23,58,1
SN,CS,chikitsa,71,62,79,12,1,23,35,0,12,65,0,22,23,56,1
SN,CS,chikitsa,72,62,80,12,1,24,35,0,12,63,0,22,22,57,1
SN,CS,chikitsa,73,61,80,12,1,25,35,0,12,64,0,21,22,57,1
SN,CS,chikitsa,74,61,78,12,2,26,35,0,11,64,0,21,21,57,1
SN,CS,chikitsa,75,61,78,12,2,26,35,0,11,67,0,20,21,55,1
SN,CS,chikitsa,76,63,78,12,2,26,36,0,10,67,0,19,21,54,1
SN,CS,chikitsa,77,62,78,12,2,26,36,0,10,69,0,19,21,53,1
SN,CS,chikitsa,78,60,79,12,2,26,37,0,9,70,0,18,21,54,1
SN,CS,chikitsa,79,62,78,12,2,26,38,0,8,71,0,18,21,52,1
SN,CS,chikitsa,80,61,78,12,2,27,38,0,8,70,0,19,20,53,1
SN,CS,chikitsa,81,64,78,12,2,27,37,0,9,68,0,19,19,53,1
SN,CS,chikitsa,82,64,76,12,2,27,37,0,9,69,0,19,19,54,1
SN,CS,chikitsa,83,64,76,12,2,28,37,0,9,70,0,17,19,54,1
SN,CS,chikitsa,84,63,76,12,2,29,37,0,9,69,0,18,19,54,1
SN,CS,chikitsa,85,63,76,12,2,30,37,0,9,68,0,19,18,54,1
SN,CS,chikitsa,86,62,75,12,2,30,38,0,8,69,0,20,18,54,1
SN,CS,chikitsa,87,61,75,12,2,30,38,0,8,68,0,21,18,55,1
SN,CS,chikitsa,88,61,76,12,2,30,39,0,7,67,0,21,18,55,1
SN,CS,chikitsa,89,61,76,12,2,31,39,0,7,66,0,21,18,55,1
SN,CS,chikitsa,90,61,76,12,2,32,40,0,6,64,0,22,17,56,1
SN,CS,chikitsa,91,61,76,12,2,32,40,0,6,65,0,22,18,54,1
SN,CS,chikitsa,92,61,75,12,2,32,41,0,5,67,0,22,18,53,1
SN,CS,chikitsa,93,61,76,12,2,33,41,0,5,68,0,22,17,51,1
SN,CS,chikitsa,94,62,75,12,2,33,40,0,6,66,0,23,17,52,1
SN,CS,chikitsa,95,61,75,12,2,33,41,0,5,64,0,23,17,55,1
SN,CS,chikitsa,96,63,75,12,2,32,41,0,5,63,0,23,17,55,1
SN,CS,chikitsa,97,63,75,12,2,30,42,0,4,63,0,23,18,58,1
SN,CS,chikitsa,98,64,75,12,2,30,42,0,4,62,0,23,19,59,1
SN,CS,chikitsa,99,66,74,12,2,30,42,0,4,62,0,23,20,59,1
SN,CS,chikitsa,100,67,75,12,2,30,41,0,5,61,0,23,21,59,1
SN,CS,chikitsa,101,66,75,12,2,30,41,0,5,60,0,24,21,57,1
SN,CS,chikitsa,102,73,85,23,2,35,41,0,5,70,0,34,22,64,1
SN,CS,chikitsa,103,74,86,26,3,35,40,0,5,70,0,36,23,70,1
SN,CS,chikitsa,104,75,85,28,3,35,39,0,5,68,0,36,23,69,1
SN,CS,chikitsa,105,79,87,34,3,44,39,0,4,74,0,47,29,75,1
SN,CS,chikitsa,106,78,87,34,3,44,38,0,4,74,1,47,29,74,1
SN,CS,chikitsa,107,84,92,44,3,50,37,0,4,78,1,58,35,86,2
SN,CS,chikitsa,108,84,91,44,3,49,36,0,4,78,1,58,36,89,2
