Text_Type,Book,Chapter,Window,GGL,LGG,LGL,GGG,GL,LL,GLL,G,GLG,LLL,L,LG,LLG,GG
SN,CS,indriya,1,82,69,73,85,4,1,31,23,93,25,6,1,51,7
SN,CS,indriya,2,81,68,74,85,4,1,33,23,92,25,6,1,51,7
SN,CS,indriya,3,81,68,74,85,4,1,33,23,92,25,6,1,51,7
SN,CS,indriya,4,79,53,70,63,4,1,28,24,81,20,6,1,45,7
SN,CS,indriya,5,78,54,69,63,3,1,26,25,80,19,6,1,45,7
SN,CS,indriya,6,80,54,67,64,2,1,24,26,77,17,6,1,42,7
SN,CS,indriya,7,78,54,66,64,2,1,22,27,72,17,5,1,42,7
SN,CS,indriya,8,77,54,66,61,1,1,20,28,74,16,5,1,41,7
SN,CS,indriya,9,76,51,67,61,1,1,19,29,76,15,4,1,41,7
SN,CS,indriya,10,72,47,69,58,0,1,17,30,70,13,4,1,40,7
SN,CS,indriya,11,68,48,69,58,0,1,16,31,72,13,4,1,39,7
SN,CS,indriya,12,67,40,68,55,0,1,14,30,68,12,4,2,39,7
SN,CS,indriya,13,66,40,67,54,0,1,13,31,69,12,4,2,39,7
SN,CS,indriya,14,66,40,69,55,0,1,13,31,70,12,4,2,39,7
SN,CS,indriya,15,65,40,70,53,0,1,14,31,72,12,4,2,40,7
SN,CS,indriya,16,64,41,70,53,0,1,15,32,73,12,4,2,40,6
SN,CS,indriya,17,62,37,70,50,0,1,15,33,71,11,4,2,39,5
SN,CS,indriya,18,58,37,69,48,0,1,14,34,70,10,4,2,39,5
SN,CS,indriya,19,57,37,70,49,0,1,14,35,69,9,4,2,39,5
SN,CS,indriya,20,51,32,67,46,0,1,14,36,63,6,3,2,33,5
SN,CS,indriya,21,51,32,67,45,0,1,14,36,64,6,3,2,33,5
SN,CS,indriya,22,49,28,68,45,0,1,13,37,66,5,3,2,32,4
SN,CS,indriya,23,48,25,67,43,0,1,12,38,65,2,2,2,29,4
SN,CS,indriya,24,44,24,65,42,0,1,11,37,66,2,3,2,27,4
SN,CS,indriya,25,44,24,66,43,0,1,13,36,65,2,4,2,27,4
