Text_Type,Book,Chapter,Window,LGG,GLL,L,GL,GGL,LG,GLG,G,LLG,GGG,LLL,LGL,GG,LL
SN,CS,kalpa,1,137,93,8,3,138,6,167,15,131,160,96,134,6,0
SN,CS,kalpa,2,137,93,9,3,139,6,168,15,131,159,95,135,6,0
SN,CS,kalpa,3,136,93,9,3,139,6,169,16,130,160,95,137,5,0
SN,CS,kalpa,4,133,91,8,3,139,6,165,17,129,153,91,135,5,0
SN,CS,kalpa,5,134,88,9,3,136,5,166,17,127,153,90,131,5,0
SN,CS,kalpa,6,128,85,10,3,125,5,153,17,123,144,86,129,4,0
SN,CS,kalpa,7,128,85,10,3,126,5,154,17,122,145,86,130,4,0
SN,CS,kalpa,8,119,83,10,3,122,5,145,18,111,139,82,125,3,0
SN,CS,kalpa,9,119,83,9,3,120,5,142,19,109,139,81,127,3,0
SN,CS,kalpa,10,118,83,8,3,119,5,142,20,108,140,81,128,3,0
SN,CS,kalpa,11,109,69,8,3,106,5,127,20,92,130,51,106,3,0
SN,CS,kalpa,12,102,62,8,3,106,5,119,21,90,127,47,100,3,0
SN,CS,kalpa,13,98,58,9,3,98,5,111,20,87,115,42,91,3,0
SN,CS,kalpa,14,92,58,9,3,95,5,107,21,86,111,38,89,3,0
SN,CS,kalpa,15,86,54,9,3,92,5,107,22,85,107,34,86,3,0
SN,CS,kalpa,16,87,55,9,3,91,5,107,23,84,105,34,86,2,0
SN,CS,kalpa,17,85,54,9,3,91,5,108,23,84,105,33,86,2,0
SN,CS,kalpa,18,82,52,9,3,91,5,108,24,84,104,33,87,2,0
SN,CS,kalpa,19,80,50,9,3,89,5,102,25,84,102,30,85,1,0
SN,CS,kalpa,20,81,50,9,3,87,4,101,26,83,103,30,86,1,0
SN,CS,kalpa,21,81,49,9,3,88,4,100,27,83,104,30,87,1,0
SN,CS,kalpa,22,80,48,9,3,85,3,100,28,80,101,27,86,1,0
SN,CS,kalpa,23,69,45,9,3,78,4,85,27,72,88,23,78,1,0
SN,CS,kalpa,24,68,45,10,3,79,4,86,26,71,88,23,78,1,0
SN,CS,kalpa,25,68,45,10,3,79,4,87,26,71,88,23,77,1,0
SN,CS,kalpa,26,67,44,10,3,79,4,89,26,70,89,23,77,1,0
SN,CS,kalpa,27,64,44,10,3,72,3,83,26,64,89,21,76,1,0
SN,CS,kalpa,28,65,45,10,3,71,3,83,26,63,88,21,76,2,0
SN,CS,kalpa,29,65,45,10,3,70,3,84,26,60,89,19,77,2,0
SN,CS,kalpa,30,62,43,10,3,71,3,83,27,60,90,19,75,2,0
SN,CS,kalpa,31,53,37,10,3,66,3,79,28,59,83,19,74,2,0
SN,CS,kalpa,32,48,34,10,2,58,3,76,29,56,82,17,74,2,0
SN,CS,kalpa,33,47,35,9,2,56,3,73,30,54,79,17,72,2,0
SN,CS,kalpa,34,41,31,8,2,52,3,69,31,44,75,14,67,2,0
SN,CS,kalpa,35,38,29,7,2,47,3,66,32,41,74,13,66,2,0
SN,CS,kalpa,36,34,28,7,2,46,3,63,33,40,74,12,65,2,0
SN,CS,kalpa,37,31,26,7,1,42,3,57,34,37,70,10,62,2,0
