Text_Type,Book,Chapter,Window,GL,GLL,L,G,LGG,GG,LG,LGL,GGL,LLL,GGG,GLG,LL,LLG
SN,CS,nidana,1,4,97,4,13,145,5,1,110,137,61,165,176,3,77
SN,CS,nidana,2,4,98,4,14,145,5,1,111,137,60,164,176,3,78
SN,CS,nidana,3,4,98,5,14,144,4,1,112,137,60,166,176,3,78
SN,CS,nidana,4,4,96,4,15,143,4,1,110,135,59,164,171,3,79
SN,CS,nidana,5,3,96,4,16,140,4,1,110,132,59,164,171,3,79
SN,CS,nidana,6,3,95,4,17,141,4,1,110,130,59,164,168,3,80
SN,CS,nidana,7,3,96,4,18,141,4,1,110,127,59,166,167,3,79
SN,CS,nidana,8,3,95,4,18,141,4,1,111,128,59,167,166,3,79
SN,CS,nidana,9,3,96,4,18,141,4,2,110,129,59,168,166,3,80
SN,CS,nidana,10,3,96,4,18,140,4,2,108,129,59,165,163,3,82
SN,CS,nidana,11,3,96,4,19,137,3,2,108,129,57,164,161,3,82
SN,CS,nidana,12,3,96,5,18,136,3,2,109,129,57,163,163,3,81
SN,CS,nidana,13,3,95,5,19,135,3,2,109,130,56,162,164,3,81
SN,CS,nidana,14,3,95,5,19,134,3,2,111,129,56,160,163,3,82
SN,CS,nidana,15,3,94,5,19,134,4,2,111,127,54,160,162,3,82
SN,CS,nidana,16,3,92,5,19,134,5,2,110,124,53,159,158,3,83
SN,CS,nidana,17,3,94,5,19,133,6,2,110,124,52,158,158,3,83
SN,CS,nidana,18,3,104,5,19,146,6,2,128,145,60,172,175,4,94
SN,CS,nidana,19,2,104,5,20,147,6,2,129,147,59,171,177,4,92
SN,CS,nidana,20,2,109,6,19,155,6,2,134,155,63,175,184,4,98
SN,CS,nidana,21,3,109,6,18,153,6,2,135,155,62,172,183,4,99
SN,CS,nidana,22,3,111,6,18,159,6,2,140,167,61,178,187,4,102
SN,CS,nidana,23,3,112,7,18,162,6,2,141,169,62,181,190,4,104
SN,CS,nidana,24,3,112,8,18,159,6,2,141,167,64,179,189,4,105
SN,CS,nidana,25,2,114,9,18,163,6,2,145,174,65,182,190,4,107
SN,CS,nidana,26,2,113,9,18,162,6,1,140,172,62,179,187,4,106
SN,CS,nidana,27,2,107,9,18,159,6,1,136,169,60,177,183,4,104
SN,CS,nidana,28,2,97,9,19,136,6,1,124,157,53,159,163,4,96
SN,CS,nidana,29,2,96,9,19,134,6,1,124,151,53,159,162,4,94
SN,CS,nidana,30,2,93,9,20,132,6,1,121,147,49,155,156,3,93
SN,CS,nidana,31,2,87,9,21,118,6,1,115,142,45,147,147,3,88
SN,CS,nidana,32,2,87,9,21,117,6,1,114,141,43,146,145,3,88
SN,CS,nidana,33,2,84,10,21,114,6,1,108,135,40,145,140,2,88
SN,CS,nidana,34,1,77,10,22,110,6,1,107,124,35,129,133,2,83
SN,CS,nidana,35,1,72,9,23,101,6,1,102,119,32,119,125,2,77
SN,CS,nidana,36,1,70,10,23,100,5,1,102,118,32,119,123,2,76
SN,CS,nidana,37,1,71,10,24,99,5,1,102,119,32,119,119,1,75
SN,CS,nidana,38,1,71,10,24,97,5,1,103,118,32,118,120,1,75
SN,CS,nidana,39,1,71,10,25,96,5,1,103,114,32,118,115,1,74
SN,CS,nidana,40,1,70,10,25,93,5,1,100,113,32,116,114,1,73
SN,CS,nidana,41,1,71,10,26,94,5,1,100,112,32,116,113,1,74
SN,CS,nidana,42,1,71,10,27,94,5,1,101,109,31,116,113,1,74
SN,CS,nidana,43,1,67,10,28,92,4,1,103,108,31,117,113,1,74
SN,CS,nidana,44,1,61,10,29,81,4,1,91,99,28,104,101,1,71
SN,CS,nidana,45,1,60,11,29,81,3,1,91,99,28,103,101,1,70
SN,CS,nidana,46,1,58,11,29,73,3,1,90,95,26,102,98,1,64
SN,CS,nidana,47,1,56,11,30,71,3,1,91,94,25,103,98,1,64
SN,CS,nidana,48,1,54,11,30,67,3,1,92,90,25,100,95,1,62
SN,CS,nidana,49,1,52,11,30,63,3,1,89,87,22,98,86,1,58
SN,CS,nidana,50,1,48,10,31,61,3,1,88,84,21,92,82,1,58
SN,CS,nidana,51,1,47,10,32,61,3,1,88,82,20,93,82,1,59
SN,CS,nidana,52,1,46,10,32,61,3,1,88,83,20,92,83,1,59
SN,CS,nidana,53,1,45,9,33,61,3,1,89,83,20,90,85,1,59
SN,CS,nidana,54,1,45,9,33,61,3,1,89,82,20,90,86,1,59
SN,CS,nidana,55,1,44,9,33,61,3,1,89,82,20,90,87,1,59
SN,CS,nidana,56,1,44,9,33,60,3,1,89,82,20,91,88,1,58
SN,CS,nidana,57,1,43,9,33,61,3,1,89,82,20,91,87,1,59
SN,CS,nidana,58,1,43,9,32,61,3,2,88,83,20,91,89,1,58
SN,CS,nidana,59,1,42,9,33,61,3,1,89,83,20,89,91,1,57
SN,CS,nidana,60,1,42,9,33,62,3,1,90,82,20,89,92,1,55
SN,CS,nidana,61,1,42,9,33,62,3,1,91,81,20,88,94,1,54
SN,CS,nidana,62,1,43,8,33,62,3,1,90,81,20,90,91,1,54
SN,CS,nidana,63,1,44,8,32,63,4,1,89,79,20,90,89,1,55
SN,CS,nidana,64,1,44,8,31,65,4,1,89,82,21,90,90,2,55
SN,CS,nidana,65,1,46,8,31,68,3,1,92,85,26,92,90,2,56
SN,CS,nidana,66,2,45,8,31,68,2,1,96,88,28,97,94,2,57
SN,CS,nidana,67,2,52,8,32,75,1,1,110,96,35,104,102,2,62
SN,CS,nidana,68,2,50,8,32,77,1,1,102,89,37,100,104,1,57
SN,CS,nidana,69,2,52,8,31,76,1,2,103,94,40,103,111,1,61
SN,CS,nidana,70,2,50,7,32,76,1,2,105,97,47,100,113,1,60
SN,CS,nidana,71,1,52,7,32,78,1,3,106,98,51,103,123,1,63
SN,CS,nidana,72,1,54,7,33,81,1,3,105,92,59,103,131,1,62
SN,CS,nidana,73,1,50,6,33,78,1,3,107,91,58,97,129,1,61
SN,CS,nidana,74,1,50,5,33,78,1,3,107,91,56,94,127,1,59
SN,CS,nidana,75,1,48,4,33,75,2,3,104,84,56,90,126,1,58
SN,CS,nidana,76,1,49,4,34,75,2,3,105,86,58,96,131,1,59
SN,CS,nidana,77,1,50,3,34,76,3,3,106,86,61,95,131,1,60
SN,CS,nidana,78,1,50,3,33,76,3,3,105,85,61,95,130,2,60
SN,CS,nidana,79,1,52,3,32,83,4,3,109,91,61,109,135,2,62
SN,CS,nidana,80,1,55,3,31,85,4,3,113,96,61,121,144,3,67
SN,CS,nidana,81,1,57,3,30,87,4,3,112,95,61,121,145,3,67
SN,CS,nidana,82,1,56,3,29,88,4,3,116,94,61,125,147,3,69
SN,CS,nidana,83,1,61,2,29,88,4,4,117,97,62,124,149,3,69
SN,CS,nidana,84,1,65,2,28,90,4,5,118,99,65,126,153,3,70
SN,CS,nidana,85,1,65,3,27,92,4,5,117,102,65,126,152,3,71
SN,CS,nidana,86,1,65,2,27,93,4,5,118,103,66,124,152,3,73
SN,CS,nidana,87,1,65,2,27,93,4,5,118,102,67,124,152,3,75
SN,CS,nidana,88,1,65,2,26,94,4,5,116,103,67,125,151,4,76
