Text_Type,Book,Chapter,Window,GGL,L,GLL,LGG,GG,GLG,GGG,G,LGL,LLG,LL,LLL,LG,GL
SN,CS,shareera,1,22,7,17,26,2,50,54,41,59,20,0,0,0,0
SN,CS,shareera,2,22,7,17,27,1,52,52,42,60,18,0,0,0,0
SN,CS,shareera,3,22,7,17,26,0,53,54,43,61,17,0,0,0,0
SN,CS,shareera,4,23,7,17,26,0,53,54,43,61,16,0,0,0,0
SN,CS,shareera,5,23,7,17,26,0,52,55,43,61,16,0,0,0,0
SN,CS,shareera,6,22,7,17,24,0,51,56,43,63,17,0,0,0,0
SN,CS,shareera,7,21,6,17,24,0,51,58,44,63,16,0,0,0,0
SN,CS,shareera,8,21,6,16,23,0,51,59,44,64,16,0,0,0,0
SN,CS,shareera,9,21,6,17,22,0,51,58,44,64,17,0,0,0,0
SN,CS,shareera,10,22,7,16,22,0,49,59,43,65,17,0,0,0,0
SN,CS,shareera,11,21,7,15,21,0,49,61,43,66,17,0,0,0,0
SN,CS,shareera,12,21,7,15,20,0,51,60,43,66,17,0,0,0,0
SN,CS,shareera,13,22,7,15,19,0,52,59,43,67,16,0,0,0,0
SN,CS,shareera,14,22,7,15,19,0,53,61,43,65,15,0,0,0,0
SN,CS,shareera,15,23,7,13,18,0,53,62,43,65,16,0,0,0,0
SN,CS,shareera,16,22,7,14,19,0,52,62,43,65,16,0,0,0,0
SN,CS,shareera,17,21,7,14,19,0,53,63,43,65,15,0,0,0,0
SN,CS,shareera,18,23,7,14,19,0,51,62,43,65,16,0,0,0,0
SN,CS,shareera,19,23,7,14,20,0,50,61,43,65,17,0,0,0,0
SN,CS,shareera,20,24,6,13,19,0,51,62,44,65,16,0,0,0,0
SN,CS,shareera,21,25,6,13,18,0,52,61,44,65,16,0,0,0,0
SN,CS,shareera,22,25,6,12,17,0,52,62,44,65,17,0,0,0,0
SN,CS,shareera,23,25,6,12,17,0,52,61,44,66,17,0,0,0,0
SN,CS,shareera,24,25,6,13,16,0,51,62,44,66,17,0,0,0,0
SN,CS,shareera,25,24,7,13,15,0,51,64,43,66,17,0,0,0,0
SN,CS,shareera,26,25,7,14,15,0,50,63,43,66,17,0,0,0,0
SN,CS,shareera,27,23,8,15,15,0,51,62,42,67,17,0,0,0,0
SN,CS,shareera,28,22,8,14,15,0,52,62,42,67,18,0,0,0,0
SN,CS,shareera,29,20,9,16,16,0,53,60,41,67,18,0,0,0,0
SN,CS,shareera,30,21,10,16,17,0,51,59,40,67,19,0,0,0,0
SN,CS,shareera,31,20,10,15,18,0,50,60,40,67,20,0,0,0,0
SN,CS,shareera,32,19,10,14,19,0,49,61,40,67,21,0,0,0,0
SN,CS,shareera,33,19,10,14,19,0,49,61,40,67,21,0,0,0,0
SN,CS,shareera,34,19,9,14,21,0,50,59,41,67,20,0,0,0,0
SN,CS,shareera,35,19,9,15,21,0,49,58,41,67,21,0,0,0,0
SN,CS,shareera,36,19,9,16,21,0,50,56,41,67,21,0,0,0,0
SN,CS,shareera,37,19,9,17,22,0,51,56,41,65,20,0,0,0,0
SN,CS,shareera,38,20,8,17,22,0,51,54,42,65,21,0,0,0,0
SN,CS,shareera,39,21,8,17,23,0,52,52,42,65,20,0,0,0,0
SN,CS,shareera,40,22,8,16,23,0,50,53,42,65,21,0,0,0,0
SN,CS,shareera,41,20,8,16,23,0,52,54,42,64,21,0,0,0,0
SN,CS,shareera,42,20,8,16,22,0,50,56,42,65,21,0,0,0,0
SN,CS,shareera,43,19,8,17,22,0,49,57,42,66,20,0,0,0,0
SN,CS,shareera,44,19,8,17,22,0,48,59,42,66,19,0,0,0,0
SN,CS,shareera,45,19,8,17,22,0,49,59,42,65,19,0,0,0,0
SN,CS,shareera,46,19,8,17,22,0,49,59,42,65,19,0,0,0,0
SN,CS,shareera,47,20,8,17,23,0,46,59,42,65,20,0,0,0,0
SN,CS,shareera,48,21,7,16,23,0,45,59,43,66,20,0,0,0,0
SN,CS,shareera,49,22,7,15,23,0,43,60,43,66,21,0,0,0,0
SN,CS,shareera,50,22,7,14,24,0,42,60,43,66,22,0,0,0,0
SN,CS,shareera,51,22,7,15,24,0,40,60,43,67,22,0,0,0,0
SN,CS,shareera,52,22,7,16,23,0,40,60,43,67,22,0,0,0,0
SN,CS,shareera,53,22,7,15,24,0,40,59,43,67,23,0,0,0,0
SN,CS,shareera,54,21,7,15,23,0,41,59,43,68,23,0,0,0,0
SN,CS,shareera,55,20,7,15,23,0,43,59,43,67,23,0,0,0,0
SN,CS,shareera,56,20,7,15,23,0,43,61,43,65,23,0,0,0,0
SN,CS,shareera,57,21,7,15,23,0,43,59,43,65,24,0,0,0,0
SN,CS,shareera,58,21,7,15,23,0,42,60,43,64,25,0,0,0,0
SN,CS,shareera,59,23,7,15,24,0,41,59,43,64,24,0,0,0,0
SN,CS,shareera,60,22,7,15,24,0,41,59,43,63,26,0,0,0,0
SN,CS,shareera,61,22,8,15,25,0,42,58,42,62,26,0,0,0,0
SN,CS,shareera,62,23,8,15,25,0,41,59,42,62,25,0,0,0,0
SN,CS,shareera,63,23,9,15,26,0,40,60,41,61,25,0,0,0,0
SN,CS,shareera,64,23,9,15,27,0,40,59,41,61,25,0,0,0,0
SN,CS,shareera,65,23,9,15,27,0,43,57,41,61,24,0,0,0,0
SN,CS,shareera,66,24,9,14,28,0,43,55,41,61,25,0,0,0,0
SN,CS,shareera,67,25,9,14,28,0,42,53,41,61,27,0,0,0,0
SN,CS,shareera,68,23,10,15,28,0,42,54,40,62,26,0,0,0,0
SN,CS,shareera,69,23,10,15,27,0,42,56,40,62,25,0,0,0,0
SN,CS,shareera,70,23,10,15,27,0,41,57,40,62,25,0,0,0,0
SN,CS,shareera,71,23,10,15,27,0,39,59,40,62,25,0,0,0,0
