Text_Type,Book,Chapter,Window,LGL,G,LGG,L,GGG,GLL,GLG,GGL,GG,LLG,LLL,LL,LG,GL
SN,CS,siddi,1,66,33,2,14,28,48,105,93,2,1,0,0,0,0
SN,CS,siddi,2,67,33,1,15,26,49,106,96,2,1,0,0,0,0
SN,CS,siddi,3,68,33,0,16,26,49,108,99,1,0,0,0,0,0
SN,CS,siddi,4,68,33,0,16,27,49,108,98,1,0,0,0,0,0
SN,CS,siddi,5,68,33,0,16,26,49,109,98,1,0,0,0,0,0
SN,CS,siddi,6,68,32,0,17,27,49,109,97,1,0,0,0,0,0
SN,CS,siddi,7,68,32,0,17,28,49,108,97,1,0,0,0,0,0
SN,CS,siddi,8,68,33,0,16,28,49,108,97,1,0,0,0,0,0
SN,CS,siddi,9,67,33,0,16,29,49,107,98,1,0,0,0,0,0
SN,CS,siddi,10,66,33,0,16,29,49,107,99,1,0,0,0,0,0
SN,CS,siddi,11,65,32,0,17,28,50,107,100,1,0,0,0,0,0
SN,CS,siddi,12,65,33,0,16,28,50,107,100,1,0,0,0,0,0
SN,CS,siddi,13,65,33,0,16,29,50,106,100,1,0,0,0,0,0
SN,CS,siddi,14,65,32,0,17,29,50,106,100,1,0,0,0,0,0
SN,CS,siddi,15,65,32,0,17,29,50,106,100,1,0,0,0,0,0
SN,CS,siddi,16,64,32,0,17,29,50,106,101,1,0,0,0,0,0
SN,CS,siddi,17,64,31,0,18,29,50,107,100,1,0,0,0,0,0
SN,CS,siddi,18,61,32,0,18,30,51,108,100,0,0,0,0,0,0
SN,CS,siddi,19,61,33,0,17,30,51,108,100,0,0,0,0,0,0
SN,CS,siddi,20,62,33,0,17,30,51,108,99,0,0,0,0,0,0
SN,CS,siddi,21,62,34,0,16,30,52,107,99,0,0,0,0,0,0
SN,CS,siddi,22,61,34,0,16,30,52,107,100,0,0,0,0,0,0
SN,CS,siddi,23,61,35,0,15,30,52,107,100,0,0,0,0,0,0
SN,CS,siddi,24,60,34,0,16,31,52,106,101,0,0,0,0,0,0
SN,CS,siddi,25,59,33,0,17,31,52,106,102,0,0,0,0,0,0
SN,CS,siddi,26,58,34,0,16,31,52,106,103,0,0,0,0,0,0
SN,CS,siddi,27,58,34,0,16,31,52,106,103,0,0,0,0,0,0
SN,CS,siddi,28,58,34,0,16,30,52,107,103,0,0,0,0,0,0
SN,CS,siddi,29,57,33,0,17,31,52,106,104,0,0,0,0,0,0
SN,CS,siddi,30,57,33,0,17,32,52,106,103,0,0,0,0,0,0
SN,CS,siddi,31,58,33,0,17,32,52,106,102,0,0,0,0,0,0
SN,CS,siddi,32,58,33,0,17,32,53,106,101,0,0,0,0,0,0
SN,CS,siddi,33,58,32,0,18,33,53,106,100,0,0,0,0,0,0
SN,CS,siddi,34,58,33,0,17,33,53,106,100,0,0,0,0,0,0
SN,CS,siddi,35,58,32,0,18,32,54,106,100,0,0,0,0,0,0
SN,CS,siddi,36,58,32,0,18,33,54,105,100,0,0,0,0,0,0
SN,CS,siddi,37,57,32,0,18,32,54,106,101,0,0,0,0,0,0
SN,CS,siddi,38,58,33,0,17,31,54,107,100,0,0,0,0,0,0
SN,CS,siddi,39,59,32,0,18,30,54,107,100,0,0,0,0,0,0
SN,CS,siddi,40,59,32,0,18,29,54,107,101,0,0,0,0,0,0
SN,CS,siddi,41,59,32,0,18,30,54,107,100,0,0,0,0,0,0
SN,CS,siddi,42,58,32,0,18,30,54,107,101,0,0,0,0,0,0
SN,CS,siddi,43,58,33,0,17,29,54,108,101,0,0,0,0,0,0
SN,CS,siddi,44,58,32,0,18,29,54,108,101,0,0,0,0,0,0
SN,CS,siddi,45,58,32,0,18,30,54,108,100,0,0,0,0,0,0
SN,CS,siddi,46,58,32,0,18,31,54,108,99,0,0,0,0,0,0
SN,CS,siddi,47,57,33,0,17,31,54,108,100,0,0,0,0,0,0
SN,CS,siddi,48,57,34,0,16,31,54,108,100,0,0,0,0,0,0
SN,CS,siddi,49,58,34,0,16,31,54,108,99,0,0,0,0,0,0
SN,CS,siddi,50,58,34,0,16,31,54,108,99,0,0,0,0,0,0
SN,CS,siddi,51,59,34,0,16,32,54,107,98,0,0,0,0,0,0
SN,CS,siddi,52,60,35,0,15,33,54,107,96,0,0,0,0,0,0
SN,CS,siddi,53,61,36,0,14,34,54,107,94,0,0,0,0,0,0
SN,CS,siddi,54,61,37,0,13,34,54,107,94,0,0,0,0,0,0
SN,CS,siddi,55,61,37,0,13,34,54,106,95,0,0,0,0,0,0
SN,CS,siddi,56,61,38,0,12,34,54,106,95,0,0,0,0,0,0
SN,CS,siddi,57,60,38,0,12,34,54,106,96,0,0,0,0,0,0
SN,CS,siddi,58,60,37,0,13,33,54,106,97,0,0,0,0,0,0
SN,CS,siddi,59,60,37,0,13,33,54,106,97,0,0,0,0,0,0
SN,CS,siddi,60,61,37,0,13,32,54,107,96,0,0,0,0,0,0
SN,CS,siddi,61,61,38,0,12,33,53,107,96,0,0,0,0,0,0
SN,CS,siddi,62,61,37,0,13,34,53,106,96,0,0,0,0,0,0
SN,CS,siddi,63,61,37,0,13,34,53,106,96,0,0,0,0,0,0
SN,CS,siddi,64,61,38,0,12,33,53,106,97,0,0,0,0,0,0
SN,CS,siddi,65,61,37,0,13,33,53,106,97,0,0,0,0,0,0
SN,CS,siddi,66,61,37,0,13,32,53,107,97,0,0,0,0,0,0
SN,CS,siddi,67,61,38,0,12,33,53,106,97,0,0,0,0,0,0
SN,CS,siddi,68,61,37,2,12,34,52,104,97,1,1,0,0,0,0
SN,CS,siddi,69,62,37,2,12,34,52,104,96,1,1,0,0,0,0
SN,CS,siddi,70,60,36,3,12,36,51,103,94,2,1,0,0,0,0
SN,CS,siddi,71,59,35,4,12,36,50,101,92,3,2,0,0,0,0
SN,CS,siddi,72,60,35,4,12,38,49,99,90,3,2,0,0,0,0
SN,CS,siddi,73,59,35,4,12,38,48,99,90,3,2,0,0,0,0
SN,CS,siddi,74,59,35,4,12,39,47,97,89,3,3,0,0,0,0
SN,CS,siddi,75,59,36,4,11,40,46,95,88,3,4,0,0,0,0
SN,CS,siddi,76,59,36,4,11,39,46,94,88,3,4,0,0,0,0
SN,CS,siddi,77,59,36,4,11,41,45,92,86,3,5,0,0,0,0
SN,CS,siddi,78,59,36,4,11,42,44,90,84,3,7,0,0,0,0
SN,CS,siddi,79,59,37,4,10,42,43,88,84,3,8,0,0,0,0
SN,CS,siddi,80,59,37,4,10,43,42,86,83,3,9,0,0,0,0
SN,CS,siddi,81,58,38,5,9,44,41,84,82,3,10,0,0,0,0
SN,CS,siddi,82,66,38,16,9,48,40,91,85,3,12,2,0,0,0
SN,CS,siddi,83,72,38,29,8,78,50,108,96,3,21,6,0,0,0
SN,CS,siddi,84,71,37,31,8,79,51,106,97,3,24,7,1,0,0
SN,CS,siddi,85,81,37,35,7,89,51,114,103,3,29,12,1,0,0
SN,CS,siddi,86,86,36,41,7,91,55,116,101,3,31,13,1,0,0
SN,CS,siddi,87,98,35,54,7,113,61,134,112,3,43,14,1,0,0
SN,CS,siddi,88,103,34,62,7,121,64,144,121,3,51,18,1,1,0
SN,CS,siddi,89,105,34,64,6,126,65,152,129,3,53,21,1,1,0
SN,CS,siddi,90,117,35,84,5,156,66,160,142,3,58,24,1,1,0
SN,CS,siddi,91,128,34,92,5,164,74,172,153,3,64,25,1,2,0
SN,CS,siddi,92,130,33,96,5,166,79,176,155,3,68,26,1,3,0
SN,CS,siddi,93,134,32,105,5,177,80,179,157,4,70,27,1,3,0
SN,CS,siddi,94,137,33,107,4,178,80,180,160,4,71,27,1,3,0
SN,CS,siddi,95,146,32,115,5,179,79,184,162,4,73,27,1,3,0
SN,CS,siddi,96,159,31,137,5,194,87,198,179,4,80,28,1,3,0
SN,CS,siddi,97,172,30,141,5,201,93,209,182,4,87,32,1,3,0
SN,CS,siddi,98,172,29,143,5,204,93,211,183,4,88,32,1,3,0
SN,CS,siddi,99,170,28,143,5,204,94,210,183,4,89,32,1,4,0
SN,CS,siddi,100,169,28,144,5,206,93,208,181,4,90,32,1,4,0
SN,CS,siddi,101,168,28,145,5,206,93,207,180,4,90,32,1,4,0
SN,CS,siddi,102,167,28,145,5,205,92,207,180,4,91,32,1,4,0
SN,CS,siddi,103,167,27,145,6,206,91,205,179,4,92,32,1,4,0
SN,CS,siddi,104,167,27,146,6,207,90,203,177,4,93,32,1,4,0
