Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,CS,chikitsa,1,6,66,0,1,1,1,1,25,102,43,23,56,52,66
SN,CS,chikitsa,2,7,65,0,1,1,1,1,26,101,40,23,57,53,66
SN,CS,chikitsa,3,8,65,0,1,1,0,1,26,102,40,22,57,55,66
SN,CS,chikitsa,4,9,64,0,1,1,0,1,26,102,39,22,60,53,66
SN,CS,chikitsa,5,9,64,0,1,1,0,1,26,101,38,22,60,54,67
SN,CS,chikitsa,6,9,65,0,1,0,0,1,25,102,38,23,61,54,68
SN,CS,chikitsa,7,9,66,0,0,0,0,1,24,105,38,23,61,55,68
SN,CS,chikitsa,8,9,66,0,0,0,0,1,24,106,39,23,60,56,66
SN,CS,chikitsa,9,9,66,0,0,0,0,1,24,105,37,23,61,57,67
SN,CS,chikitsa,10,9,66,0,0,0,0,1,24,105,37,24,59,58,67
SN,CS,chikitsa,11,10,65,0,0,0,0,1,24,106,37,24,58,58,67
SN,CS,chikitsa,12,10,65,0,0,0,0,1,25,105,37,24,58,58,67
SN,CS,chikitsa,13,11,64,0,0,0,0,1,25,106,37,24,57,57,68
SN,CS,chikitsa,14,11,64,0,0,0,0,1,25,106,36,23,57,58,69
SN,CS,chikitsa,15,12,63,0,0,0,0,1,24,106,35,24,57,58,70
SN,CS,chikitsa,16,12,63,0,0,0,0,1,25,106,35,24,58,57,69
SN,CS,chikitsa,17,13,62,0,0,0,0,1,25,106,34,24,59,57,69
SN,CS,chikitsa,18,13,62,0,0,0,0,1,24,106,34,24,60,57,69
SN,CS,chikitsa,19,13,62,0,0,0,0,1,24,106,33,24,59,57,71
SN,CS,chikitsa,20,14,61,0,0,0,0,1,24,106,33,24,57,57,73
SN,CS,chikitsa,21,14,61,0,0,0,0,1,25,106,32,24,56,57,74
SN,CS,chikitsa,22,15,60,0,0,0,0,1,27,105,31,23,56,58,74
SN,CS,chikitsa,23,15,60,0,0,0,0,1,27,105,30,23,57,58,74
SN,CS,chikitsa,24,15,60,0,0,0,0,1,27,106,30,22,58,58,73
SN,CS,chikitsa,25,15,60,0,0,0,0,1,27,106,29,22,59,58,73
SN,CS,chikitsa,26,15,60,0,0,0,0,1,27,106,27,22,61,57,74
SN,CS,chikitsa,27,15,60,0,0,0,0,1,28,105,27,22,61,56,75
SN,CS,chikitsa,28,14,61,0,0,0,0,1,27,104,27,21,61,58,76
SN,CS,chikitsa,29,14,61,0,0,0,0,1,26,103,26,21,63,57,78
SN,CS,chikitsa,30,15,60,0,0,0,0,1,25,103,26,21,63,56,80
SN,CS,chikitsa,31,15,60,0,0,0,0,1,26,101,26,20,65,56,80
SN,CS,chikitsa,32,14,61,0,0,0,0,1,26,101,25,19,63,59,81
SN,CS,chikitsa,33,14,61,0,0,0,0,1,27,102,24,20,62,58,81
SN,CS,chikitsa,34,14,61,0,0,0,0,1,26,102,24,21,62,59,80
SN,CS,chikitsa,35,14,61,0,0,0,0,1,26,102,23,20,63,60,80
SN,CS,chikitsa,36,14,61,0,0,0,0,1,26,102,24,19,62,62,79
SN,CS,chikitsa,37,14,61,0,0,0,0,1,26,102,24,19,61,63,79
SN,CS,chikitsa,38,14,61,0,0,0,0,0,26,103,23,19,62,62,80
SN,CS,chikitsa,39,14,61,0,0,0,0,0,26,103,23,19,63,61,80
SN,CS,chikitsa,40,14,60,0,1,0,0,0,26,102,23,19,63,60,79
SN,CS,chikitsa,41,14,60,0,1,0,0,1,28,103,23,21,63,61,81
SN,CS,chikitsa,42,14,59,1,1,0,0,11,31,114,33,31,77,79,89
SN,CS,chikitsa,43,14,58,1,1,0,0,12,30,113,33,32,80,79,88
SN,CS,chikitsa,44,14,58,1,1,0,0,12,30,113,33,32,79,80,88
SN,CS,chikitsa,45,14,58,1,1,0,0,12,30,113,33,32,77,81,89
SN,CS,chikitsa,46,14,58,1,1,0,0,12,31,113,34,32,76,79,90
SN,CS,chikitsa,47,14,58,1,1,0,0,12,33,114,34,32,76,77,89
SN,CS,chikitsa,48,14,58,1,1,0,0,12,35,113,33,32,75,77,90
SN,CS,chikitsa,49,14,57,1,2,0,0,12,36,111,33,32,74,77,90
SN,CS,chikitsa,50,14,57,1,2,0,0,12,36,110,31,32,74,77,93
SN,CS,chikitsa,51,14,57,1,2,0,0,12,36,110,30,32,73,80,92
SN,CS,chikitsa,52,14,57,1,2,0,0,12,36,110,29,31,72,80,95
SN,CS,chikitsa,53,14,57,1,2,0,0,12,37,111,28,31,72,80,94
SN,CS,chikitsa,54,14,57,1,2,0,0,12,37,111,28,31,71,82,93
SN,CS,chikitsa,55,14,57,1,2,0,0,12,38,111,29,30,70,81,94
SN,CS,chikitsa,56,15,56,1,2,0,0,12,37,110,28,30,71,84,93
SN,CS,chikitsa,57,15,56,1,2,0,0,12,37,109,27,29,73,84,94
SN,CS,chikitsa,58,15,56,1,2,0,0,12,38,110,27,29,72,83,94
SN,CS,chikitsa,59,15,56,1,2,0,0,12,39,110,27,29,72,83,93
SN,CS,chikitsa,60,15,56,1,2,0,0,12,40,110,27,27,71,84,94
SN,CS,chikitsa,61,15,56,1,2,0,0,12,39,110,28,27,71,85,93
SN,CS,chikitsa,62,15,56,1,2,0,0,12,39,110,29,27,73,83,92
SN,CS,chikitsa,63,15,56,1,2,0,0,12,38,112,29,26,74,82,92
SN,CS,chikitsa,64,15,56,1,2,0,0,12,39,112,29,25,74,82,92
SN,CS,chikitsa,65,15,56,1,2,0,0,12,40,111,30,25,75,83,89
SN,CS,chikitsa,66,15,56,1,2,0,0,12,39,111,29,26,75,83,90
SN,CS,chikitsa,67,15,56,1,2,0,0,12,39,110,29,26,75,81,93
SN,CS,chikitsa,68,15,56,1,2,0,0,12,39,111,29,25,74,81,94
SN,CS,chikitsa,69,16,55,1,2,0,0,12,39,110,29,24,75,81,95
SN,CS,chikitsa,70,16,55,1,2,0,0,12,39,110,30,24,77,81,92
SN,CS,chikitsa,71,15,56,1,2,0,0,12,39,111,30,24,74,82,93
SN,CS,chikitsa,72,15,56,1,2,0,0,12,38,111,30,24,77,84,91
SN,CS,chikitsa,73,15,56,1,2,0,0,12,37,111,29,25,78,85,92
SN,CS,chikitsa,74,14,57,1,2,0,0,12,37,110,29,25,80,87,91
SN,CS,chikitsa,75,15,56,1,2,0,0,12,37,111,28,26,80,88,91
SN,CS,chikitsa,76,14,57,1,2,0,0,12,37,111,28,26,79,87,90
SN,CS,chikitsa,77,13,58,1,2,0,0,23,42,121,38,27,86,93,101
SN,CS,chikitsa,78,12,58,1,3,0,0,26,41,122,39,28,92,94,103
SN,CS,chikitsa,79,11,58,1,3,0,0,28,41,120,39,28,90,95,103
SN,CS,chikitsa,80,11,57,1,3,0,0,34,50,122,50,33,97,99,109
SN,CS,chikitsa,81,11,56,1,3,0,1,34,51,122,50,32,97,99,107
SN,CS,chikitsa,82,11,55,2,3,0,1,44,57,125,61,38,108,107,112
SN,CS,chikitsa,83,11,54,2,3,0,1,44,57,124,59,41,111,106,112
SN,CS,chikitsa,84,11,54,2,3,0,1,45,57,124,59,42,111,105,111
SN,CS,chikitsa,85,12,53,2,3,0,1,45,59,124,59,41,111,105,110
SN,CS,chikitsa,86,11,54,2,3,0,1,45,60,123,59,43,111,103,110
SN,CS,chikitsa,87,11,53,2,3,0,1,45,59,126,59,43,112,104,109
SN,CS,chikitsa,88,10,53,2,3,0,1,45,59,128,59,43,113,106,107
SN,CS,chikitsa,89,10,52,2,4,0,1,45,60,127,59,45,112,105,108
SN,CS,chikitsa,90,9,53,2,4,0,1,45,60,128,59,44,112,105,108
SN,CS,chikitsa,91,9,52,2,4,0,1,45,59,127,60,45,111,106,109
SN,CS,chikitsa,92,8,52,2,4,0,2,45,60,125,61,46,110,105,108
SN,CS,chikitsa,93,8,52,2,4,0,2,53,62,130,63,51,115,109,110
SN,CS,chikitsa,94,8,51,2,4,1,2,56,64,132,66,54,119,112,109
SN,CS,chikitsa,95,8,51,2,4,1,2,60,75,145,75,57,131,126,124
SN,CS,chikitsa,96,8,50,2,4,2,2,60,75,145,77,60,135,128,125
SN,CS,chikitsa,97,7,51,2,4,2,2,62,76,156,85,67,151,136,135
SN,CS,chikitsa,98,7,50,2,4,2,2,63,79,159,88,68,151,137,134
SN,CS,chikitsa,99,7,49,2,4,2,2,63,81,157,89,70,152,137,134
SN,CS,chikitsa,100,8,48,2,4,2,2,63,81,158,89,71,152,138,133
SN,CS,chikitsa,101,8,48,2,4,2,2,63,81,159,89,72,152,139,132
SN,CS,chikitsa,102,9,47,2,4,2,2,63,80,160,89,74,153,140,130
SN,CS,chikitsa,103,9,47,2,4,2,2,64,80,159,89,74,153,139,128
SN,CS,chikitsa,104,9,46,2,4,2,3,64,85,160,92,80,157,145,129
SN,CS,chikitsa,105,8,47,2,4,2,3,64,86,162,92,82,156,145,132
SN,CS,chikitsa,106,8,46,2,4,2,3,65,86,162,94,82,154,146,133
SN,CS,chikitsa,107,8,45,2,4,2,4,65,86,162,94,82,154,144,132
SN,CS,chikitsa,108,8,44,2,4,3,4,67,90,163,101,86,160,147,137
SN,CS,chikitsa,109,8,44,2,4,3,4,67,91,162,101,85,159,147,136
SN,CS,chikitsa,110,8,44,2,4,3,4,67,91,164,103,88,163,153,138
SN,CS,chikitsa,111,8,43,2,4,3,5,68,90,163,102,88,163,152,138
SN,CS,chikitsa,112,8,42,2,4,4,5,71,98,168,109,91,172,160,146
SN,CS,chikitsa,113,8,42,2,4,4,5,71,97,167,109,91,171,162,145
SN,CS,chikitsa,114,8,41,2,4,4,5,80,103,176,121,96,184,174,154
SN,CS,chikitsa,115,9,41,2,3,4,5,81,103,176,120,97,187,176,155
SN,CS,chikitsa,116,9,41,2,3,4,5,80,102,174,119,95,187,174,153
SN,CS,chikitsa,117,9,41,1,3,4,5,73,99,167,110,85,175,155,146
SN,CS,chikitsa,118,9,41,1,3,4,6,74,102,168,111,85,174,155,148
SN,CS,chikitsa,119,9,41,1,3,4,6,77,106,170,114,87,177,160,152
SN,CS,chikitsa,120,9,40,1,3,5,6,77,108,170,123,87,177,161,151
SN,CS,chikitsa,121,9,39,1,3,5,7,77,108,169,128,88,178,161,151
SN,CS,chikitsa,122,9,38,1,3,5,7,78,107,168,130,88,179,161,151
SN,CS,chikitsa,123,9,37,1,3,5,7,79,105,168,134,89,179,164,151
SN,CS,chikitsa,124,9,37,1,2,6,7,80,104,168,134,90,180,166,151
SN,CS,chikitsa,125,9,36,1,2,6,8,80,105,167,134,90,181,165,148
SN,CS,chikitsa,126,9,35,1,2,7,8,82,107,174,137,93,185,171,156
SN,CS,chikitsa,127,8,35,1,2,7,9,82,107,173,137,93,186,171,153
SN,CS,chikitsa,128,9,34,1,2,7,9,82,108,172,140,94,186,174,153
SN,CS,chikitsa,129,9,33,1,2,7,10,82,109,171,140,95,185,172,152
SN,CS,chikitsa,130,9,32,1,2,7,10,84,112,171,144,97,185,180,154
SN,CS,chikitsa,131,8,32,1,2,7,10,84,112,171,146,99,186,177,154
SN,CS,chikitsa,132,9,31,1,2,7,10,84,113,172,146,99,184,178,153
SN,CS,chikitsa,133,9,31,1,2,7,10,84,113,171,146,99,184,180,152
SN,CS,chikitsa,134,9,31,1,2,7,10,84,113,171,146,99,183,180,153
SN,CS,chikitsa,135,10,30,1,2,7,10,84,114,171,146,100,183,179,152
SN,CS,chikitsa,136,10,30,1,2,7,10,84,114,171,145,100,185,178,152
SN,CS,chikitsa,137,10,29,1,3,7,10,84,114,170,144,101,183,178,152
SN,CS,chikitsa,138,10,29,1,3,7,10,84,114,168,145,101,184,179,151
SN,CS,chikitsa,139,10,29,1,3,7,10,84,113,169,145,102,184,179,150
SN,CS,chikitsa,140,11,28,1,3,7,10,84,112,169,144,102,184,180,151
