Text_Type,Book,Chapter,Window,LLG,LGG,LL,G,GGL,GLG,GLL,LGL,LG,GGG,LLL,GG,GL,L
SN,CS,indriya,1,63,81,1,43,99,116,42,101,2,104,25,8,4,8
SN,CS,indriya,2,63,79,1,44,99,118,42,102,2,103,25,8,4,8
SN,CS,indriya,3,63,80,1,45,99,118,41,103,2,104,25,7,4,8
SN,CS,indriya,4,58,65,1,46,93,107,38,99,2,83,20,7,4,8
SN,CS,indriya,5,58,66,1,47,92,106,36,98,2,83,19,7,3,8
SN,CS,indriya,6,55,66,1,48,93,103,34,97,2,84,17,7,2,8
SN,CS,indriya,7,54,64,1,48,91,99,32,95,2,84,17,8,2,7
SN,CS,indriya,8,54,65,1,48,90,98,29,94,3,81,16,8,1,7
SN,CS,indriya,9,53,62,1,49,88,101,28,96,3,81,15,8,1,6
SN,CS,indriya,10,52,58,1,50,85,96,25,97,3,78,13,8,0,6
SN,CS,indriya,11,52,59,1,51,83,96,24,97,3,77,13,8,0,6
SN,CS,indriya,12,51,51,1,51,79,95,23,97,3,74,12,8,0,6
SN,CS,indriya,13,51,51,1,52,78,95,22,97,3,73,12,8,0,6
SN,CS,indriya,14,52,51,1,52,78,97,23,98,3,72,12,8,0,6
SN,CS,indriya,15,53,52,1,52,77,97,25,99,3,70,12,8,0,6
SN,CS,indriya,16,53,52,1,52,75,100,26,99,3,70,12,7,0,7
SN,CS,indriya,17,54,47,1,53,71,98,26,99,3,68,11,6,0,7
SN,CS,indriya,18,55,47,1,54,68,95,25,98,3,66,10,6,0,7
SN,CS,indriya,19,54,49,1,55,66,95,26,98,3,66,9,6,0,7
SN,CS,indriya,20,49,43,1,55,62,88,27,94,4,63,6,6,0,6
SN,CS,indriya,21,50,43,1,55,63,88,28,94,4,60,6,6,0,6
SN,CS,indriya,22,50,41,1,55,62,89,27,96,4,60,5,5,0,6
SN,CS,indriya,23,48,39,1,55,60,87,27,93,4,57,2,6,0,5
SN,CS,indriya,24,46,38,1,55,56,87,27,90,4,57,2,6,0,5
SN,CS,indriya,25,45,38,1,54,57,87,28,91,4,58,2,6,0,6
SN,CS,indriya,26,45,37,1,55,54,88,27,87,4,60,2,5,0,6
SN,CS,indriya,27,46,37,1,55,51,84,26,86,4,59,3,4,0,7
SN,CS,indriya,28,49,41,1,55,56,89,28,87,4,69,3,5,0,6
SN,CS,indriya,29,49,41,1,55,52,87,28,86,4,70,3,4,1,6
SN,CS,indriya,30,50,44,1,55,55,89,32,89,4,79,4,4,1,6
SN,CS,indriya,31,53,47,0,56,53,91,34,93,4,86,6,4,1,6
SN,CS,indriya,32,54,47,0,56,56,91,34,92,4,86,5,4,1,6
SN,CS,indriya,33,53,49,0,55,55,92,35,91,4,87,5,4,1,6
SN,CS,indriya,34,52,49,0,54,55,94,35,91,4,87,6,5,1,6
SN,CS,indriya,35,52,51,0,53,56,94,36,90,4,87,6,5,1,6
SN,CS,indriya,36,53,52,0,53,56,95,36,89,4,86,6,5,1,6
SN,CS,indriya,37,59,60,0,53,61,104,36,98,4,90,10,5,1,6
SN,CS,indriya,38,58,62,0,52,64,106,36,97,4,92,11,6,1,6
SN,CS,indriya,39,59,62,0,51,64,107,36,98,4,93,12,7,1,6
SN,CS,indriya,40,59,64,0,50,64,109,37,98,4,92,12,7,1,6
SN,CS,indriya,41,60,68,0,50,65,106,37,97,4,94,13,7,1,6
SN,CS,indriya,42,61,68,0,49,65,105,37,96,5,96,13,7,1,6
SN,CS,indriya,43,61,68,0,48,64,106,37,95,5,97,13,7,1,7
SN,CS,indriya,44,61,68,0,48,67,107,37,94,5,97,13,7,1,7
SN,CS,indriya,45,61,69,0,47,66,107,38,92,5,96,13,8,1,7
SN,CS,indriya,46,61,68,0,47,68,108,38,92,5,94,13,8,1,7
SN,CS,indriya,47,60,68,0,47,68,109,38,93,5,93,13,8,1,8
SN,CS,indriya,48,60,69,0,47,67,111,38,92,5,92,13,8,1,8
SN,CS,indriya,49,59,70,0,47,67,111,38,92,5,92,13,8,1,8
SN,CS,indriya,50,60,70,0,48,66,109,37,94,4,92,13,8,1,8
SN,CS,indriya,51,60,70,0,49,66,109,37,95,4,91,13,8,1,7
SN,CS,indriya,52,60,69,0,50,66,111,35,96,4,91,13,8,1,7
SN,CS,indriya,53,60,68,0,50,66,111,34,99,4,92,13,7,1,8
SN,CS,indriya,54,61,69,0,50,62,112,35,99,4,92,13,7,1,8
SN,CS,indriya,55,61,67,0,49,62,112,36,100,4,92,13,7,1,9
SN,CS,indriya,56,61,67,0,49,60,114,36,101,4,91,13,7,1,9
SN,CS,indriya,57,60,65,0,49,61,115,36,101,4,92,13,7,1,9
SN,CS,indriya,58,61,65,0,49,62,112,36,102,4,92,13,7,1,9
SN,CS,indriya,59,61,66,0,49,61,110,36,103,4,93,13,7,1,9
SN,CS,indriya,60,61,66,0,48,61,110,36,102,4,94,13,7,1,10
SN,CS,indriya,61,61,65,0,47,62,109,36,103,4,94,13,7,1,11
