Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,CS,kalpa,1,13,34,0,7,3,6,96,142,161,147,100,191,152,193
SN,CS,kalpa,2,13,34,0,7,3,6,95,142,162,146,100,191,153,193
SN,CS,kalpa,3,13,34,0,7,3,6,95,142,162,146,100,191,153,193
SN,CS,kalpa,4,12,35,0,7,3,6,91,141,160,143,98,188,150,188
SN,CS,kalpa,5,12,36,0,6,3,6,90,140,156,143,95,187,149,188
SN,CS,kalpa,6,12,37,0,6,3,5,86,136,153,137,92,174,138,180
SN,CS,kalpa,7,12,37,0,6,3,5,86,136,154,136,92,174,140,181
SN,CS,kalpa,8,12,38,0,6,3,4,82,126,150,128,90,163,136,174
SN,CS,kalpa,9,11,39,0,6,3,4,81,123,151,129,89,161,134,175
SN,CS,kalpa,10,10,40,0,6,3,4,81,121,152,128,89,162,133,176
SN,CS,kalpa,11,10,40,0,6,3,4,51,105,130,118,75,147,120,167
SN,CS,kalpa,12,10,41,0,6,3,4,47,103,124,111,68,139,120,164
SN,CS,kalpa,13,10,41,0,6,3,4,42,100,116,107,64,130,113,151
SN,CS,kalpa,14,10,42,0,6,3,4,38,99,115,102,63,126,110,146
SN,CS,kalpa,15,11,42,0,6,3,4,34,98,112,97,58,125,107,143
SN,CS,kalpa,16,11,43,0,6,3,3,34,98,112,97,58,124,106,143
SN,CS,kalpa,17,11,42,0,6,3,3,33,97,112,97,57,126,106,141
SN,CS,kalpa,18,12,42,0,6,3,3,33,97,113,94,55,127,106,139
SN,CS,kalpa,19,12,43,0,6,3,2,30,96,112,92,53,122,103,137
SN,CS,kalpa,20,12,44,0,5,3,2,30,95,113,92,54,122,101,137
SN,CS,kalpa,21,12,45,0,5,3,2,30,96,114,91,53,120,104,137
SN,CS,kalpa,22,12,45,1,4,3,2,27,94,114,90,53,122,101,134
SN,CS,kalpa,23,12,45,1,4,3,2,23,86,107,79,49,107,95,119
SN,CS,kalpa,24,12,45,1,4,3,2,23,86,107,78,50,106,95,120
SN,CS,kalpa,25,12,45,1,4,3,2,23,85,107,78,51,107,94,120
SN,CS,kalpa,26,12,45,1,4,3,2,23,84,107,78,50,108,95,120
SN,CS,kalpa,27,12,46,1,3,3,2,21,78,106,76,51,103,87,119
SN,CS,kalpa,28,12,47,1,3,3,2,21,77,107,76,51,105,86,119
SN,CS,kalpa,29,13,46,1,3,3,2,19,74,108,76,51,105,86,120
SN,CS,kalpa,30,13,47,1,3,3,2,19,74,106,73,49,106,85,121
SN,CS,kalpa,31,13,48,1,3,3,2,19,73,106,64,44,102,80,112
SN,CS,kalpa,32,13,49,1,3,2,2,17,69,107,59,41,100,70,112
SN,CS,kalpa,33,12,50,1,3,2,2,17,66,105,57,41,98,69,110
SN,CS,kalpa,34,12,50,1,3,2,2,14,56,100,50,37,95,67,104
SN,CS,kalpa,35,11,51,1,3,2,2,13,53,99,47,35,93,64,100
SN,CS,kalpa,36,11,52,1,3,2,2,12,51,98,43,35,92,62,99
SN,CS,kalpa,37,11,53,1,3,1,2,10,48,95,41,33,87,56,95
SN,CS,kalpa,38,11,54,1,3,1,2,7,45,93,36,28,85,50,95
SN,CS,kalpa,39,11,55,1,3,0,2,5,45,90,37,25,82,47,93
SN,CS,kalpa,40,12,55,1,2,0,2,1,42,87,36,24,79,46,89
SN,CS,kalpa,41,12,56,1,2,0,2,0,38,83,36,20,76,46,89
SN,CS,kalpa,42,13,55,1,2,0,2,0,36,83,36,20,76,46,91
SN,CS,kalpa,43,13,55,1,2,0,2,0,35,83,35,20,76,49,90
SN,CS,kalpa,44,13,56,1,1,0,2,0,38,83,37,22,76,48,92
SN,CS,kalpa,45,13,56,1,1,0,2,0,37,82,39,22,75,49,91
SN,CS,kalpa,46,12,56,1,1,0,3,0,38,81,39,23,72,49,91
SN,CS,kalpa,47,12,56,1,1,0,3,0,38,82,39,23,70,51,90
SN,CS,kalpa,48,12,56,1,1,0,3,0,38,82,39,23,70,50,91
SN,CS,kalpa,49,12,56,1,1,0,3,0,37,82,39,23,71,49,92
SN,CS,kalpa,50,13,55,1,1,0,3,0,37,85,37,23,72,49,91
SN,CS,kalpa,51,13,55,1,2,0,2,0,37,86,36,23,75,52,92
SN,CS,kalpa,52,12,56,1,2,0,2,0,38,86,36,24,74,51,92
SN,CS,kalpa,53,13,55,1,2,0,2,0,38,85,36,23,75,53,91
SN,CS,kalpa,54,13,55,1,2,0,2,0,39,85,36,23,74,51,93
SN,CS,kalpa,55,12,55,1,2,0,2,0,39,84,35,23,73,51,92
SN,CS,kalpa,56,11,56,1,2,0,2,0,38,83,34,23,74,52,92
SN,CS,kalpa,57,11,56,1,2,0,2,0,40,83,34,23,74,51,91
SN,CS,kalpa,58,11,56,1,2,0,2,0,42,83,35,22,72,51,91
SN,CS,kalpa,59,11,56,1,2,0,2,0,41,82,35,21,73,51,93
