Text_Type,Book,Chapter,Window,LLG,GG,GGL,LLL,LL,GL,L,GLG,LGG,LGL,LG,GLL,GGG,G
SN,CS,nidana,1,123,8,207,81,4,5,10,236,198,165,2,135,230,24
SN,CS,nidana,2,123,8,208,80,4,5,11,237,197,167,2,135,229,24
SN,CS,nidana,3,122,7,209,80,4,5,11,238,196,169,2,135,229,25
SN,CS,nidana,4,122,7,206,79,4,5,10,235,194,168,2,133,227,26
SN,CS,nidana,5,122,7,203,79,4,4,10,235,193,168,2,133,225,27
SN,CS,nidana,6,122,7,203,79,4,4,10,233,193,168,2,132,224,28
SN,CS,nidana,7,122,7,201,79,4,4,10,231,193,168,2,133,225,29
SN,CS,nidana,8,122,7,201,79,4,4,11,231,193,169,2,132,226,28
SN,CS,nidana,9,124,7,201,79,4,4,11,231,194,169,2,133,224,29
SN,CS,nidana,10,124,7,200,79,4,4,11,230,193,167,2,133,222,29
SN,CS,nidana,11,122,6,199,77,4,4,12,229,190,167,2,134,222,29
SN,CS,nidana,12,121,6,200,77,4,4,12,229,188,168,2,135,222,29
SN,CS,nidana,13,121,6,199,76,4,4,12,230,187,169,2,134,222,30
SN,CS,nidana,14,122,6,197,76,4,4,12,228,186,171,2,134,222,30
SN,CS,nidana,15,122,6,196,74,4,4,12,228,185,172,2,133,221,31
SN,CS,nidana,16,123,6,193,73,4,4,12,224,186,172,2,131,220,32
SN,CS,nidana,17,122,6,192,72,4,4,12,225,186,173,2,132,217,33
SN,CS,nidana,18,120,6,192,70,4,4,12,224,186,174,2,132,216,34
SN,CS,nidana,19,119,6,192,69,4,3,12,224,185,174,2,131,216,35
SN,CS,nidana,20,119,6,191,69,4,3,13,222,183,175,2,129,215,34
SN,CS,nidana,21,120,6,189,68,4,3,13,219,179,175,2,128,213,34
SN,CS,nidana,22,119,6,189,67,4,3,13,218,177,176,2,128,214,35
SN,CS,nidana,23,119,6,189,66,4,3,13,218,176,178,2,125,213,36
SN,CS,nidana,24,118,6,187,66,4,3,13,215,171,178,2,125,209,37
SN,CS,nidana,25,119,6,187,65,4,2,13,214,171,178,2,124,209,38
SN,CS,nidana,26,119,6,184,62,4,2,13,209,170,173,1,122,207,39
SN,CS,nidana,27,118,6,181,60,4,2,12,205,168,168,1,116,204,40
SN,CS,nidana,28,111,6,168,53,4,2,12,186,145,156,1,105,186,41
SN,CS,nidana,29,110,6,162,53,4,2,12,184,144,155,1,104,186,41
SN,CS,nidana,30,109,6,158,49,3,2,12,179,140,152,1,100,184,42
SN,CS,nidana,31,104,6,151,45,3,2,12,170,126,146,1,94,178,43
SN,CS,nidana,32,104,6,149,43,3,2,12,168,126,145,1,93,178,43
SN,CS,nidana,33,103,6,145,40,2,2,12,164,123,138,2,90,177,43
SN,CS,nidana,34,96,6,135,35,2,1,12,159,118,137,2,82,162,44
SN,CS,nidana,35,90,6,130,32,2,1,11,150,110,133,2,77,151,45
SN,CS,nidana,36,90,5,129,32,2,1,11,149,109,134,2,74,149,46
SN,CS,nidana,37,89,5,129,32,1,1,11,144,109,133,2,75,150,46
SN,CS,nidana,38,90,6,128,32,1,1,11,143,108,132,2,76,148,45
SN,CS,nidana,39,89,6,128,33,2,1,11,140,109,132,2,76,146,45
SN,CS,nidana,40,89,6,129,38,2,1,11,138,110,131,2,77,147,44
SN,CS,nidana,41,91,6,131,40,2,2,11,141,110,134,2,77,152,44
SN,CS,nidana,42,97,6,137,46,2,2,11,148,116,148,2,85,161,45
SN,CS,nidana,43,105,5,150,58,2,2,11,168,129,159,2,89,173,45
SN,CS,nidana,44,105,5,148,58,2,2,11,165,119,149,3,86,162,45
SN,CS,nidana,45,109,4,160,69,2,2,11,176,129,155,3,90,163,46
SN,CS,nidana,46,106,4,159,71,2,2,11,185,125,156,4,91,164,45
SN,CS,nidana,47,109,4,164,78,2,2,11,198,134,160,4,93,170,46
SN,CS,nidana,48,108,4,161,79,2,2,11,196,131,162,4,91,165,45
SN,CS,nidana,49,104,4,158,76,2,2,11,187,129,159,4,89,162,44
SN,CS,nidana,50,104,5,155,77,2,2,10,184,128,159,4,86,155,44
SN,CS,nidana,51,105,5,156,78,2,2,10,191,128,160,4,87,161,45
SN,CS,nidana,52,105,6,157,81,2,2,10,192,128,162,4,87,160,44
SN,CS,nidana,53,104,6,157,81,3,2,9,192,128,162,4,87,158,44
SN,CS,nidana,54,105,7,162,81,3,2,9,199,134,167,4,89,172,43
SN,CS,nidana,55,110,7,167,81,4,2,9,208,138,171,4,92,182,42
SN,CS,nidana,56,109,7,168,81,4,2,9,210,139,170,4,94,181,41
SN,CS,nidana,57,112,7,168,81,4,2,9,211,140,174,4,93,184,40
SN,CS,nidana,58,112,7,170,82,4,2,9,214,140,175,5,98,183,39
SN,CS,nidana,59,114,7,171,85,4,2,9,218,143,177,5,102,182,39
SN,CS,nidana,60,113,7,173,85,4,2,10,219,145,176,5,102,183,38
SN,CS,nidana,61,113,7,173,86,4,2,10,220,146,177,5,103,182,37
SN,CS,nidana,62,115,7,173,87,4,2,9,218,145,177,5,104,183,38
SN,CS,nidana,63,116,7,172,87,5,2,9,217,146,176,5,104,185,37
SN,CS,nidana,64,115,7,172,87,5,2,9,216,147,175,5,104,187,37
SN,CS,nidana,65,114,6,172,87,5,2,9,215,148,176,5,104,187,38
SN,CS,nidana,66,114,6,172,87,5,2,9,215,148,176,5,104,187,38
SN,CS,nidana,67,113,5,172,87,5,2,9,215,148,179,5,104,187,39
SN,CS,nidana,68,99,5,152,78,4,2,9,199,135,160,5,96,173,39
SN,CS,nidana,69,100,5,149,79,4,2,9,197,134,162,5,97,174,38
SN,CS,nidana,70,96,5,148,77,4,2,8,196,132,159,5,93,169,38
SN,CS,nidana,71,101,5,157,83,4,1,8,205,140,168,5,99,175,39
SN,CS,nidana,72,97,6,145,83,4,1,8,199,132,163,5,98,169,39
SN,CS,nidana,73,97,6,148,81,4,1,7,198,128,162,5,94,166,40
SN,CS,nidana,74,100,6,165,86,4,1,6,213,141,170,5,101,177,41
