Text_Type,Book,Chapter,Window,L,G,LL,LG,GL,GG,LLL,LLG,LGL,LGG,GLL,GLG,GGL,GGG
SN,CS,siddi,1,23,49,0,0,0,2,0,1,94,2,75,158,144,44
SN,CS,siddi,2,23,50,0,0,0,2,0,1,95,1,76,159,146,43
SN,CS,siddi,3,23,51,0,0,0,1,0,0,96,0,76,162,148,43
SN,CS,siddi,4,23,51,0,0,0,1,0,0,96,0,76,162,147,44
SN,CS,siddi,5,23,51,0,0,0,1,0,0,96,0,76,162,147,44
SN,CS,siddi,6,24,50,0,0,0,1,0,0,97,0,76,162,145,45
SN,CS,siddi,7,24,50,0,0,0,1,0,0,96,0,77,161,146,45
SN,CS,siddi,8,24,50,0,0,0,1,0,0,96,0,77,161,146,45
SN,CS,siddi,9,24,50,0,0,0,1,0,0,95,0,77,160,147,46
SN,CS,siddi,10,25,49,0,0,0,1,0,0,94,0,78,160,148,45
SN,CS,siddi,11,25,49,0,0,0,1,0,0,93,0,78,160,149,45
SN,CS,siddi,12,24,50,0,0,0,1,0,0,93,0,78,160,149,45
SN,CS,siddi,13,24,50,0,0,0,1,0,0,94,0,78,160,148,45
SN,CS,siddi,14,25,49,0,0,0,1,0,0,95,0,78,160,148,44
SN,CS,siddi,15,26,48,0,0,0,1,0,0,95,0,78,160,149,43
SN,CS,siddi,16,26,48,0,0,0,1,0,0,94,0,78,160,150,43
SN,CS,siddi,17,26,48,0,0,0,1,0,0,94,0,78,160,149,44
SN,CS,siddi,18,26,49,0,0,0,0,0,0,91,0,79,162,149,44
SN,CS,siddi,19,26,49,0,0,0,0,0,0,91,0,79,162,149,44
SN,CS,siddi,20,26,49,0,0,0,0,0,0,91,0,79,162,148,45
SN,CS,siddi,21,25,50,0,0,0,0,0,0,91,0,79,161,148,46
SN,CS,siddi,22,25,50,0,0,0,0,0,0,90,0,79,161,148,47
SN,CS,siddi,23,24,51,0,0,0,0,0,0,89,0,79,161,149,47
SN,CS,siddi,24,24,51,0,0,0,0,0,0,89,0,79,160,149,48
SN,CS,siddi,25,24,51,0,0,0,0,0,0,89,0,79,160,150,47
SN,CS,siddi,26,23,52,0,0,0,0,0,0,89,0,79,160,150,47
SN,CS,siddi,27,23,52,0,0,0,0,0,0,90,0,79,160,149,47
SN,CS,siddi,28,23,52,0,0,0,0,0,0,91,0,79,160,148,47
SN,CS,siddi,29,23,52,0,0,0,0,0,0,90,0,79,159,149,48
SN,CS,siddi,30,23,52,0,0,0,0,0,0,90,0,79,159,149,48
SN,CS,siddi,31,22,53,0,0,0,0,0,0,90,0,79,159,149,48
SN,CS,siddi,32,22,53,0,0,0,0,0,0,90,0,79,159,148,49
SN,CS,siddi,33,23,52,0,0,0,0,0,0,90,0,79,159,148,49
SN,CS,siddi,34,22,53,0,0,0,0,0,0,90,0,79,159,148,49
SN,CS,siddi,35,22,53,0,0,0,0,0,0,91,0,79,160,147,48
SN,CS,siddi,36,22,53,0,0,0,0,0,0,91,0,79,159,147,49
SN,CS,siddi,37,23,52,0,0,0,0,0,0,90,0,79,159,148,49
SN,CS,siddi,38,22,53,0,0,0,0,0,0,90,0,79,159,148,49
SN,CS,siddi,39,22,53,0,0,0,0,0,0,90,0,79,159,149,48
SN,CS,siddi,40,22,53,0,0,0,0,0,0,90,0,79,159,149,48
SN,CS,siddi,41,22,53,0,0,0,0,0,0,90,0,79,160,148,48
SN,CS,siddi,42,22,53,0,0,0,0,0,0,89,0,79,160,149,48
SN,CS,siddi,43,21,53,0,0,0,1,0,1,89,2,78,158,149,49
SN,CS,siddi,44,21,53,0,0,0,1,0,1,90,2,78,158,148,49
SN,CS,siddi,45,21,52,0,0,0,2,0,1,89,3,77,157,145,51
SN,CS,siddi,46,21,51,0,0,0,3,0,2,88,4,77,155,142,51
SN,CS,siddi,47,20,52,0,0,0,3,0,2,88,4,76,153,142,52
SN,CS,siddi,48,19,53,0,0,0,3,0,2,88,4,75,153,141,52
SN,CS,siddi,49,20,52,0,0,0,3,0,3,88,4,74,151,140,53
SN,CS,siddi,50,20,52,0,0,0,3,0,4,87,4,73,149,139,55
SN,CS,siddi,51,20,52,0,0,0,3,0,4,87,4,73,147,139,55
SN,CS,siddi,52,19,53,0,0,0,3,0,5,87,4,72,145,136,58
SN,CS,siddi,53,18,54,0,0,0,3,0,7,87,4,71,144,133,59
SN,CS,siddi,54,17,55,0,0,0,3,0,8,87,4,70,142,133,59
SN,CS,siddi,55,17,55,0,0,0,3,0,9,87,4,69,139,132,61
SN,CS,siddi,56,16,56,0,0,0,3,0,10,87,5,68,137,130,62
SN,CS,siddi,57,16,56,0,0,0,3,2,12,94,16,68,144,134,65
SN,CS,siddi,58,16,55,0,0,0,3,6,21,100,29,78,161,145,95
SN,CS,siddi,59,16,54,1,0,0,3,7,24,99,31,79,159,146,96
SN,CS,siddi,60,16,53,1,0,0,3,12,29,109,35,80,167,152,105
SN,CS,siddi,61,15,53,1,0,0,3,13,31,114,41,83,169,150,108
SN,CS,siddi,62,15,52,1,0,0,3,14,43,126,54,89,187,161,130
SN,CS,siddi,63,15,51,1,1,0,3,18,51,132,62,92,198,169,137
SN,CS,siddi,64,14,51,1,1,0,3,21,53,135,64,93,206,177,141
SN,CS,siddi,65,14,51,1,1,0,3,24,58,147,84,94,214,191,170
SN,CS,siddi,66,14,50,1,2,0,3,25,64,158,92,102,226,202,178
SN,CS,siddi,67,13,50,1,3,0,3,26,68,160,96,107,229,204,181
SN,CS,siddi,68,13,49,1,3,0,4,27,70,164,105,108,233,206,191
SN,CS,siddi,69,13,49,1,3,0,4,27,71,167,107,108,234,209,192
SN,CS,siddi,70,14,48,1,3,0,4,27,73,175,115,107,238,211,194
SN,CS,siddi,71,14,47,1,3,0,4,28,80,188,137,114,252,228,210
SN,CS,siddi,72,14,46,1,3,0,4,32,87,201,141,120,263,230,218
SN,CS,siddi,73,14,45,1,3,0,4,32,88,200,143,120,265,232,221
SN,CS,siddi,74,13,45,1,4,0,4,32,89,199,143,121,264,231,221
SN,CS,siddi,75,12,46,1,4,0,4,32,90,199,144,120,262,229,222
SN,CS,siddi,76,12,46,1,4,0,4,32,90,199,145,120,261,227,222
SN,CS,siddi,77,12,46,1,4,0,4,32,91,199,145,119,261,226,221
SN,CS,siddi,78,13,45,1,4,0,4,32,92,200,145,118,258,224,223
