Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,CS,kalpa,1,15.74,10.56,79.2,0.89,0.13,0.12
SN,CS,kalpa,2,15.67,11.04,82.44,0.88,0.13,0.12
SN,CS,kalpa,3,15.8,10.96,82.48,0.89,0.13,0.12
SN,CS,kalpa,4,15.81,10.6,80.08,0.89,0.13,0.12
SN,CS,kalpa,5,16.01,10.4,79.32,0.9,0.13,0.13
SN,CS,kalpa,6,15.04,10.68,76.84,0.89,0.13,0.13
SN,CS,kalpa,7,14.48,11.56,80.24,0.87,0.13,0.12
SN,CS,kalpa,8,13.86,11.36,75.6,0.87,0.13,0.11
SN,CS,kalpa,9,14.08,11.8,79.76,0.87,0.13,0.11
SN,CS,kalpa,10,14.12,12.08,81.96,0.85,0.13,0.11
SN,CS,kalpa,11,12.78,11.36,67.92,0.85,0.13,0.08
SN,CS,kalpa,12,13.01,11.0,66.72,0.85,0.13,0.08
SN,CS,kalpa,13,13.49,10.2,64.84,0.83,0.13,0.09
SN,CS,kalpa,14,13.14,10.28,63.8,0.82,0.14,0.08
SN,CS,kalpa,15,13.34,10.0,63.32,0.82,0.14,0.08
SN,CS,kalpa,16,13.45,10.08,64.96,0.82,0.14,0.08
SN,CS,kalpa,17,13.3,10.12,64.6,0.82,0.14,0.08
SN,CS,kalpa,18,13.3,10.0,64.04,0.83,0.14,0.08
SN,CS,kalpa,19,12.92,9.92,61.84,0.82,0.14,0.08
SN,CS,kalpa,20,12.83,9.96,61.68,0.82,0.14,0.08
SN,CS,kalpa,21,12.86,9.96,61.8,0.82,0.14,0.08
SN,CS,kalpa,22,12.85,9.64,59.88,0.81,0.14,0.08
SN,CS,kalpa,23,12.46,8.4,51.48,0.8,0.14,0.08
SN,CS,kalpa,24,12.53,8.36,51.48,0.8,0.14,0.08
SN,CS,kalpa,25,12.53,8.36,51.36,0.8,0.14,0.08
SN,CS,kalpa,26,12.41,8.4,51.16,0.79,0.14,0.08
SN,CS,kalpa,27,12.28,7.96,48.08,0.8,0.14,0.08
SN,CS,kalpa,28,12.05,8.12,48.24,0.79,0.14,0.07
SN,CS,kalpa,29,12.15,8.0,47.88,0.79,0.15,0.07
SN,CS,kalpa,30,12.08,7.96,47.2,0.78,0.15,0.07
SN,CS,kalpa,31,12.22,7.12,43.2,0.81,0.15,0.07
SN,CS,kalpa,32,12.69,6.4,40.2,0.83,0.15,0.07
SN,CS,kalpa,33,12.6,6.2,38.76,0.85,0.15,0.07
SN,CS,kalpa,34,11.88,5.72,33.84,0.86,0.15,0.06
SN,CS,kalpa,35,11.69,5.44,31.52,0.87,0.15,0.05
SN,CS,kalpa,36,11.55,5.28,30.12,0.88,0.15,0.05
SN,CS,kalpa,37,10.48,5.2,26.88,0.87,0.15,0.04
SN,CS,kalpa,38,9.38,4.88,22.4,0.9,0.15,0.03
SN,CS,kalpa,39,9.06,4.68,20.56,0.92,0.15,0.03
SN,CS,kalpa,40,8.28,4.6,18.08,0.91,0.15,0.03
SN,CS,kalpa,41,7.75,4.52,16.2,0.9,0.15,0.01
SN,CS,kalpa,42,7.91,4.48,16.32,0.89,0.16,0.01
SN,CS,kalpa,43,7.99,4.44,16.32,0.89,0.16,0.01
SN,CS,kalpa,44,8.08,4.32,16.16,0.89,0.16,0.01
SN,CS,kalpa,45,8.39,4.16,16.16,0.88,0.16,0.01
SN,CS,kalpa,46,8.25,4.24,16.24,0.89,0.16,0.0
SN,CS,kalpa,47,8.18,4.28,16.28,0.89,0.16,0.0
SN,CS,kalpa,48,7.93,4.44,16.44,0.89,0.16,0.0
SN,CS,kalpa,49,7.86,4.48,16.48,0.88,0.16,0.0
SN,CS,kalpa,50,7.77,4.56,16.64,0.89,0.16,0.0
SN,CS,kalpa,51,7.92,4.56,16.84,0.88,0.16,0.0
SN,CS,kalpa,52,7.97,4.52,16.68,0.88,0.16,0.0
SN,CS,kalpa,53,8.05,4.44,16.48,0.9,0.16,0.0
SN,CS,kalpa,54,8.06,4.48,16.44,0.9,0.16,0.0
SN,CS,kalpa,55,7.94,4.52,16.48,0.9,0.15,0.0
SN,CS,kalpa,56,7.77,4.64,16.48,0.91,0.15,0.0
SN,CS,kalpa,57,8.03,4.48,16.44,0.9,0.15,0.0
SN,CS,kalpa,58,7.89,4.56,16.44,0.89,0.15,0.0
SN,CS,kalpa,59,8.04,4.52,16.48,0.89,0.15,0.0
SN,CS,kalpa,60,8.29,4.4,16.52,0.9,0.15,0.0
SN,CS,kalpa,61,8.16,4.44,16.48,0.89,0.15,0.0
SN,CS,kalpa,62,8.26,4.36,16.44,0.91,0.15,0.0
SN,CS,kalpa,63,8.31,4.32,16.44,0.9,0.15,0.0
SN,CS,kalpa,64,8.27,4.32,16.48,0.9,0.15,0.0
SN,CS,kalpa,65,8.35,4.32,16.48,0.92,0.15,0.0
SN,CS,kalpa,66,8.09,4.48,16.56,0.91,0.15,0.0
SN,CS,kalpa,67,7.95,4.52,16.44,0.91,0.15,0.0
SN,CS,kalpa,68,7.94,4.52,16.44,0.91,0.16,0.0
SN,CS,kalpa,69,8.02,4.52,16.44,0.91,0.16,0.0
SN,CS,kalpa,70,7.69,4.68,16.44,0.9,0.15,0.0
SN,CS,kalpa,71,7.71,4.68,16.4,0.91,0.15,0.0
SN,CS,kalpa,72,7.79,4.8,17.04,0.89,0.16,0.0
SN,CS,kalpa,73,7.95,4.68,16.88,0.87,0.16,0.0
