Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,CS,siddi,1,8.08,5.96,21.8,0.91,0.14,0.0
SN,CS,siddi,2,8.03,6.08,22.2,0.9,0.14,0.0
SN,CS,siddi,3,8.05,6.2,22.72,0.88,0.14,0.0
SN,CS,siddi,4,8.16,6.12,22.76,0.9,0.14,0.0
SN,CS,siddi,5,8.44,5.96,22.8,0.91,0.14,0.01
SN,CS,siddi,6,8.72,5.8,22.76,0.9,0.15,0.01
SN,CS,siddi,7,9.07,5.6,22.84,0.89,0.15,0.02
SN,CS,siddi,8,9.55,5.32,22.84,0.88,0.15,0.03
SN,CS,siddi,9,9.54,5.36,22.88,0.87,0.15,0.03
SN,CS,siddi,10,9.7,5.32,22.88,0.87,0.15,0.04
SN,CS,siddi,11,9.78,5.28,22.88,0.87,0.15,0.04
SN,CS,siddi,12,10.2,5.08,22.8,0.88,0.15,0.04
SN,CS,siddi,13,10.53,4.92,22.76,0.88,0.15,0.04
SN,CS,siddi,14,10.75,4.8,22.76,0.88,0.15,0.04
SN,CS,siddi,15,10.88,4.76,22.76,0.89,0.15,0.04
SN,CS,siddi,16,10.65,4.84,22.8,0.89,0.15,0.04
SN,CS,siddi,17,10.68,4.8,22.76,0.89,0.15,0.04
SN,CS,siddi,18,10.68,4.8,22.68,0.89,0.15,0.04
SN,CS,siddi,19,10.54,4.88,22.76,0.9,0.15,0.04
SN,CS,siddi,20,10.34,4.96,22.76,0.9,0.15,0.04
SN,CS,siddi,21,10.22,5.04,22.84,0.89,0.15,0.04
SN,CS,siddi,22,10.02,5.16,22.88,0.87,0.15,0.04
SN,CS,siddi,23,9.56,5.4,22.92,0.87,0.15,0.04
SN,CS,siddi,24,9.41,5.48,22.96,0.86,0.15,0.04
SN,CS,siddi,25,9.52,5.44,23.04,0.88,0.15,0.04
SN,CS,siddi,26,9.42,5.48,23.08,0.88,0.15,0.04
SN,CS,siddi,27,9.72,5.32,23.08,0.88,0.15,0.05
SN,CS,siddi,28,9.92,5.2,23.0,0.88,0.15,0.05
SN,CS,siddi,29,10.29,5.04,22.96,0.88,0.15,0.06
SN,CS,siddi,30,10.16,5.08,23.0,0.9,0.15,0.05
SN,CS,siddi,31,9.85,5.2,23.0,0.89,0.15,0.04
SN,CS,siddi,32,9.61,5.32,22.96,0.89,0.15,0.03
SN,CS,siddi,33,9.25,5.52,22.88,0.9,0.15,0.02
SN,CS,siddi,34,9.14,5.56,22.88,0.9,0.15,0.02
SN,CS,siddi,35,8.83,5.72,22.84,0.9,0.15,0.01
SN,CS,siddi,36,8.82,5.68,22.88,0.92,0.15,0.01
SN,CS,siddi,37,8.41,5.96,22.96,0.89,0.15,0.01
SN,CS,siddi,38,8.01,6.24,22.92,0.88,0.15,0.01
SN,CS,siddi,39,7.81,6.36,22.88,0.87,0.15,0.01
SN,CS,siddi,40,7.66,6.48,22.88,0.86,0.15,0.01
SN,CS,siddi,41,7.64,6.52,22.84,0.86,0.15,0.01
SN,CS,siddi,42,7.39,6.76,22.84,0.83,0.15,0.01
SN,CS,siddi,43,7.43,6.76,22.84,0.83,0.15,0.01
SN,CS,siddi,44,7.63,6.64,22.88,0.84,0.15,0.01
SN,CS,siddi,45,7.55,6.68,22.92,0.83,0.15,0.01
SN,CS,siddi,46,7.65,6.56,22.84,0.84,0.15,0.01
SN,CS,siddi,47,7.68,6.52,22.84,0.85,0.15,0.01
SN,CS,siddi,48,7.78,6.44,22.76,0.83,0.15,0.01
SN,CS,siddi,49,7.94,6.32,22.68,0.83,0.15,0.01
SN,CS,siddi,50,7.69,6.52,22.6,0.82,0.15,0.01
SN,CS,siddi,51,7.84,6.4,22.6,0.82,0.15,0.01
