Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,CS,chikitsa,1,9.38,3.8,16.44,0.93,0.14,0.0
SN,CS,chikitsa,2,9.28,3.82,16.36,0.93,0.14,0.0
SN,CS,chikitsa,3,9.33,3.84,16.5,0.93,0.14,0.0
SN,CS,chikitsa,4,9.31,3.86,16.48,0.93,0.14,0.0
SN,CS,chikitsa,5,9.2,3.9,16.48,0.92,0.14,0.0
SN,CS,chikitsa,6,9.17,3.96,16.66,0.92,0.14,0.0
SN,CS,chikitsa,7,9.29,3.94,16.82,0.94,0.13,0.0
SN,CS,chikitsa,8,9.33,3.9,16.8,0.94,0.13,0.0
SN,CS,chikitsa,9,9.34,3.92,16.8,0.95,0.13,0.0
SN,CS,chikitsa,10,9.46,3.86,16.8,0.96,0.13,0.01
SN,CS,chikitsa,11,9.51,3.84,16.8,0.96,0.13,0.01
SN,CS,chikitsa,12,9.42,3.86,16.8,0.96,0.13,0.01
SN,CS,chikitsa,13,9.48,3.82,16.82,0.96,0.13,0.01
SN,CS,chikitsa,14,9.4,3.84,16.82,0.96,0.13,0.01
SN,CS,chikitsa,15,9.41,3.84,16.82,0.96,0.13,0.01
SN,CS,chikitsa,16,9.47,3.82,16.82,0.96,0.13,0.01
SN,CS,chikitsa,17,9.49,3.82,16.82,0.96,0.13,0.01
SN,CS,chikitsa,18,9.45,3.84,16.82,0.95,0.13,0.01
SN,CS,chikitsa,19,9.52,3.82,16.82,0.96,0.13,0.01
SN,CS,chikitsa,20,9.66,3.78,16.8,0.96,0.13,0.01
SN,CS,chikitsa,21,9.8,3.74,16.8,0.96,0.13,0.01
SN,CS,chikitsa,22,9.71,3.78,16.8,0.95,0.13,0.01
SN,CS,chikitsa,23,9.76,3.76,16.82,0.95,0.14,0.01
SN,CS,chikitsa,24,9.84,3.72,16.8,0.95,0.14,0.01
SN,CS,chikitsa,25,9.72,3.74,16.8,0.95,0.14,0.01
SN,CS,chikitsa,26,9.65,3.76,16.8,0.94,0.14,0.01
SN,CS,chikitsa,27,9.62,3.76,16.76,0.94,0.14,0.01
SN,CS,chikitsa,28,9.68,3.74,16.76,0.94,0.14,0.01
SN,CS,chikitsa,29,9.77,3.72,16.74,0.94,0.14,0.01
SN,CS,chikitsa,30,9.73,3.74,16.74,0.94,0.14,0.01
SN,CS,chikitsa,31,9.76,3.74,16.78,0.94,0.14,0.01
SN,CS,chikitsa,32,9.76,3.74,16.8,0.94,0.14,0.01
SN,CS,chikitsa,33,9.73,3.76,16.82,0.94,0.14,0.01
SN,CS,chikitsa,34,9.71,3.78,16.82,0.94,0.14,0.01
SN,CS,chikitsa,35,9.83,3.74,16.84,0.94,0.14,0.01
SN,CS,chikitsa,36,9.91,3.7,16.8,0.94,0.14,0.01
SN,CS,chikitsa,37,9.78,3.72,16.8,0.94,0.14,0.01
SN,CS,chikitsa,38,9.75,3.72,16.78,0.93,0.14,0.01
SN,CS,chikitsa,39,9.68,3.74,16.78,0.93,0.14,0.01
SN,CS,chikitsa,40,9.61,3.78,16.8,0.92,0.14,0.01
SN,CS,chikitsa,41,9.52,3.82,16.82,0.91,0.14,0.01
SN,CS,chikitsa,42,9.39,3.88,16.82,0.91,0.14,0.01
SN,CS,chikitsa,43,9.4,3.88,16.82,0.91,0.14,0.01
SN,CS,chikitsa,44,9.55,3.82,16.78,0.91,0.14,0.01
SN,CS,chikitsa,45,9.51,3.84,16.74,0.91,0.14,0.01
SN,CS,chikitsa,46,9.52,3.82,16.7,0.91,0.14,0.01
SN,CS,chikitsa,47,9.55,3.8,16.7,0.91,0.14,0.01
SN,CS,chikitsa,48,9.59,3.8,16.7,0.91,0.14,0.01
SN,CS,chikitsa,49,9.65,3.78,16.72,0.9,0.14,0.01
SN,CS,chikitsa,50,9.62,3.8,16.7,0.9,0.14,0.01
SN,CS,chikitsa,51,9.48,3.86,16.74,0.9,0.14,0.01
