Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,CS,indriya,1,11.74,6.08,32.3,0.8,0.14,0.07
SN,CS,indriya,2,11.66,6.12,32.3,0.8,0.13,0.07
SN,CS,indriya,3,11.66,6.12,32.3,0.8,0.13,0.07
SN,CS,indriya,4,12.52,4.96,28.12,0.81,0.14,0.08
SN,CS,indriya,5,12.57,4.88,27.78,0.81,0.14,0.08
SN,CS,indriya,6,12.5,4.82,27.26,0.81,0.14,0.08
SN,CS,indriya,7,12.11,4.88,26.68,0.81,0.14,0.07
SN,CS,indriya,8,12.12,4.82,26.32,0.81,0.14,0.07
SN,CS,indriya,9,11.88,4.88,26.16,0.81,0.14,0.07
SN,CS,indriya,10,12.37,4.46,24.9,0.82,0.14,0.08
SN,CS,indriya,11,12.59,4.36,24.8,0.83,0.14,0.08
SN,CS,indriya,12,12.57,4.14,23.6,0.82,0.14,0.08
SN,CS,indriya,13,12.6,4.1,23.48,0.82,0.14,0.08
SN,CS,indriya,14,12.48,4.18,23.74,0.82,0.14,0.08
SN,CS,indriya,15,12.44,4.2,23.86,0.83,0.14,0.08
SN,CS,indriya,16,12.26,4.28,23.96,0.83,0.14,0.08
SN,CS,indriya,17,12.18,4.14,23.12,0.85,0.14,0.08
SN,CS,indriya,18,11.93,4.1,22.54,0.86,0.14,0.08
SN,CS,indriya,19,11.74,4.16,22.52,0.86,0.14,0.08
SN,CS,indriya,20,11.67,3.84,20.58,0.86,0.14,0.08
SN,CS,indriya,21,11.5,3.9,20.62,0.85,0.14,0.08
SN,CS,indriya,22,11.25,3.92,20.22,0.85,0.14,0.08
SN,CS,indriya,23,10.94,3.88,19.32,0.84,0.14,0.07
SN,CS,indriya,24,10.68,3.84,18.68,0.84,0.14,0.07
SN,CS,indriya,25,10.56,3.92,18.86,0.84,0.14,0.07
SN,CS,indriya,26,10.11,3.86,17.82,0.85,0.14,0.06
SN,CS,indriya,27,9.72,3.82,17.06,0.85,0.14,0.05
SN,CS,indriya,28,9.71,3.82,17.08,0.85,0.14,0.05
SN,CS,indriya,29,9.56,3.78,16.7,0.85,0.14,0.05
SN,CS,indriya,30,9.48,3.86,16.88,0.84,0.14,0.05
SN,CS,indriya,31,9.17,3.94,16.72,0.83,0.14,0.05
SN,CS,indriya,32,9.11,3.92,16.46,0.83,0.14,0.05
SN,CS,indriya,33,9.37,3.76,16.32,0.85,0.14,0.05
SN,CS,indriya,34,9.21,3.82,16.3,0.85,0.14,0.05
SN,CS,indriya,35,9.09,3.86,16.28,0.85,0.14,0.05
SN,CS,indriya,36,8.75,3.98,16.28,0.85,0.14,0.04
SN,CS,indriya,37,8.9,3.9,16.26,0.86,0.14,0.05
SN,CS,indriya,38,8.74,3.96,16.26,0.85,0.14,0.04
SN,CS,indriya,39,8.76,3.94,16.26,0.85,0.14,0.04
SN,CS,indriya,40,8.57,4.02,16.28,0.85,0.14,0.03
SN,CS,indriya,41,8.61,4.0,16.24,0.85,0.14,0.04
SN,CS,indriya,42,8.5,4.04,16.24,0.86,0.14,0.03
SN,CS,indriya,43,8.36,4.1,16.2,0.86,0.14,0.02
SN,CS,indriya,44,8.24,4.16,16.2,0.86,0.14,0.02
SN,CS,indriya,45,8.24,4.18,16.26,0.87,0.14,0.02
SN,CS,indriya,46,8.17,4.22,16.26,0.86,0.14,0.01
SN,CS,indriya,47,8.26,4.24,16.5,0.86,0.14,0.01
SN,CS,indriya,48,8.05,4.3,16.4,0.84,0.14,0.01
SN,CS,indriya,49,7.82,4.44,16.42,0.83,0.14,0.01
SN,CS,indriya,50,7.78,4.44,16.34,0.84,0.14,0.01
SN,CS,indriya,51,7.96,4.52,16.98,0.85,0.14,0.01
SN,CS,indriya,52,7.94,4.58,17.24,0.85,0.14,0.01
SN,CS,indriya,53,8.28,4.94,19.18,0.86,0.13,0.01
SN,CS,indriya,54,8.3,4.94,19.2,0.86,0.13,0.01
SN,CS,indriya,55,8.5,5.22,20.66,0.85,0.13,0.02
SN,CS,indriya,56,8.85,5.4,22.14,0.84,0.13,0.02
SN,CS,indriya,57,9.15,5.28,22.36,0.85,0.13,0.02
SN,CS,indriya,58,9.21,5.3,22.52,0.84,0.13,0.03
SN,CS,indriya,59,9.18,5.36,22.66,0.83,0.13,0.03
SN,CS,indriya,60,9.05,5.5,22.84,0.82,0.13,0.02
SN,CS,indriya,61,8.96,5.58,22.88,0.8,0.13,0.02
SN,CS,indriya,62,9.35,6.0,25.64,0.81,0.13,0.02
SN,CS,indriya,63,9.32,6.14,26.18,0.8,0.13,0.02
SN,CS,indriya,64,9.33,6.22,26.52,0.79,0.13,0.02
SN,CS,indriya,65,9.31,6.3,26.76,0.78,0.13,0.02
SN,CS,indriya,66,9.35,6.36,27.1,0.78,0.14,0.02
SN,CS,indriya,67,9.33,6.42,27.26,0.78,0.14,0.02
SN,CS,indriya,68,9.33,6.42,27.24,0.77,0.14,0.02
SN,CS,indriya,69,9.51,6.36,27.4,0.78,0.14,0.02
SN,CS,indriya,70,9.44,6.38,27.28,0.77,0.14,0.02
SN,CS,indriya,71,9.45,6.36,27.26,0.77,0.14,0.02
SN,CS,indriya,72,9.53,6.3,27.28,0.77,0.14,0.02
SN,CS,indriya,73,9.58,6.26,27.3,0.78,0.14,0.02
SN,CS,indriya,74,9.64,6.24,27.32,0.78,0.14,0.02
SN,CS,indriya,75,9.74,6.2,27.34,0.78,0.14,0.02
SN,CS,indriya,76,9.77,6.18,27.36,0.77,0.14,0.02
SN,CS,indriya,77,9.81,6.16,27.36,0.77,0.14,0.02
SN,CS,indriya,78,9.76,6.18,27.34,0.77,0.14,0.02
SN,CS,indriya,79,9.78,6.16,27.34,0.77,0.14,0.02
SN,CS,indriya,80,9.8,6.14,27.38,0.77,0.14,0.02
SN,CS,indriya,81,9.98,6.02,27.36,0.77,0.14,0.02
SN,CS,indriya,82,10.03,6.04,27.54,0.77,0.14,0.02
SN,CS,indriya,83,10.0,6.08,27.68,0.77,0.14,0.02
SN,CS,indriya,84,9.95,6.12,27.68,0.77,0.14,0.02
SN,CS,indriya,85,9.91,6.16,27.72,0.77,0.14,0.02
SN,CS,indriya,86,10.04,6.1,27.72,0.77,0.14,0.02
SN,CS,indriya,87,9.94,6.18,27.76,0.77,0.14,0.02
SN,CS,indriya,88,9.83,6.26,27.78,0.76,0.14,0.02
SN,CS,indriya,89,9.81,6.28,27.82,0.76,0.14,0.02
SN,CS,indriya,90,9.78,6.3,27.82,0.76,0.14,0.02
SN,CS,indriya,91,9.83,6.28,27.84,0.75,0.14,0.02
SN,CS,indriya,92,9.7,6.36,27.84,0.75,0.14,0.02
SN,CS,indriya,93,9.72,6.36,27.88,0.75,0.14,0.02
SN,CS,indriya,94,9.66,6.4,27.9,0.75,0.14,0.02
SN,CS,indriya,95,9.73,6.34,27.84,0.75,0.14,0.02
