Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,CS,nidana,1,12.71,10.18,59.82,0.79,0.12,0.07
SN,CS,nidana,2,12.68,10.22,59.92,0.79,0.12,0.07
SN,CS,nidana,3,12.69,10.24,60.04,0.79,0.12,0.07
SN,CS,nidana,4,12.65,10.12,59.2,0.79,0.12,0.07
SN,CS,nidana,5,12.63,10.06,58.84,0.79,0.12,0.07
SN,CS,nidana,6,12.68,9.98,58.62,0.79,0.12,0.07
SN,CS,nidana,7,12.55,10.06,58.52,0.79,0.12,0.06
SN,CS,nidana,8,12.56,10.08,58.58,0.79,0.12,0.06
SN,CS,nidana,9,12.53,10.14,58.82,0.79,0.12,0.06
SN,CS,nidana,10,12.52,10.06,58.4,0.79,0.12,0.06
SN,CS,nidana,11,12.48,10.02,57.92,0.78,0.12,0.06
SN,CS,nidana,12,12.33,10.12,57.92,0.78,0.12,0.06
SN,CS,nidana,13,12.25,10.16,57.82,0.78,0.12,0.06
SN,CS,nidana,14,12.32,10.06,57.7,0.78,0.12,0.06
SN,CS,nidana,15,12.43,9.92,57.38,0.78,0.12,0.06
SN,CS,nidana,16,12.41,9.82,56.76,0.78,0.12,0.06
SN,CS,nidana,17,12.34,9.88,56.72,0.78,0.12,0.06
SN,CS,nidana,18,12.52,10.86,63.6,0.78,0.12,0.07
SN,CS,nidana,19,12.51,10.88,63.68,0.78,0.12,0.07
SN,CS,nidana,20,12.5,11.34,66.5,0.77,0.12,0.07
SN,CS,nidana,21,12.56,11.22,66.22,0.77,0.12,0.07
SN,CS,nidana,22,12.37,11.82,68.44,0.76,0.12,0.06
SN,CS,nidana,23,12.43,11.92,69.42,0.77,0.12,0.07
SN,CS,nidana,24,12.55,11.74,69.04,0.76,0.12,0.07
SN,CS,nidana,25,12.58,11.96,70.46,0.77,0.12,0.07
SN,CS,nidana,26,12.35,12.02,69.26,0.77,0.12,0.07
SN,CS,nidana,27,12.36,11.76,67.7,0.79,0.12,0.07
SN,CS,nidana,28,12.22,10.74,61.12,0.79,0.12,0.07
SN,CS,nidana,29,12.03,10.78,60.4,0.79,0.12,0.06
