Text_Type,Book,Chapter,Window,Avg Word Len,Avg Sen Len (Word),Avg Sen Len (Chr),Richness,Shannon,Avg Compound Words
SN,CS,shareera,1,7.6,4.92,16.32,0.82,0.13,0.0
SN,CS,shareera,2,7.49,4.99,16.31,0.8,0.13,0.0
SN,CS,shareera,3,7.49,5.01,16.39,0.8,0.13,0.0
SN,CS,shareera,4,7.41,5.07,16.37,0.79,0.13,0.0
SN,CS,shareera,5,7.36,5.11,16.37,0.78,0.13,0.0
SN,CS,shareera,6,7.42,5.05,16.39,0.78,0.13,0.0
SN,CS,shareera,7,7.48,5.01,16.4,0.78,0.13,0.0
SN,CS,shareera,8,7.44,5.04,16.43,0.78,0.13,0.0
SN,CS,shareera,9,7.42,5.04,16.44,0.78,0.13,0.0
SN,CS,shareera,10,7.46,5.01,16.43,0.78,0.13,0.0
SN,CS,shareera,11,7.4,5.05,16.45,0.78,0.13,0.0
SN,CS,shareera,12,7.44,5.03,16.44,0.77,0.13,0.01
SN,CS,shareera,13,7.48,4.99,16.44,0.78,0.13,0.01
SN,CS,shareera,14,7.46,5.0,16.43,0.78,0.13,0.01
SN,CS,shareera,15,7.48,4.99,16.43,0.78,0.13,0.01
SN,CS,shareera,16,7.51,4.96,16.43,0.8,0.13,0.01
SN,CS,shareera,17,7.54,4.92,16.41,0.8,0.13,0.01
SN,CS,shareera,18,7.54,4.92,16.41,0.8,0.13,0.01
SN,CS,shareera,19,7.55,4.92,16.41,0.8,0.13,0.01
SN,CS,shareera,20,7.56,4.92,16.41,0.8,0.13,0.01
SN,CS,shareera,21,7.51,4.95,16.4,0.79,0.13,0.01
SN,CS,shareera,22,7.47,4.97,16.41,0.78,0.13,0.01
SN,CS,shareera,23,7.51,4.93,16.43,0.78,0.13,0.01
SN,CS,shareera,24,7.47,4.96,16.43,0.77,0.13,0.01
SN,CS,shareera,25,7.51,4.93,16.45,0.77,0.13,0.01
SN,CS,shareera,26,7.49,4.95,16.44,0.77,0.13,0.01
SN,CS,shareera,27,7.46,4.96,16.44,0.76,0.13,0.01
SN,CS,shareera,28,7.45,4.96,16.44,0.76,0.13,0.01
SN,CS,shareera,29,7.46,4.95,16.43,0.76,0.13,0.01
SN,CS,shareera,30,7.49,4.93,16.43,0.76,0.13,0.01
SN,CS,shareera,31,7.45,4.97,16.44,0.76,0.13,0.01
SN,CS,shareera,32,7.46,4.96,16.44,0.76,0.13,0.01
SN,CS,shareera,33,7.43,4.99,16.49,0.76,0.13,0.01
SN,CS,shareera,34,7.43,4.99,16.49,0.76,0.13,0.01
SN,CS,shareera,35,7.44,4.97,16.49,0.77,0.13,0.01
SN,CS,shareera,36,7.37,5.0,16.49,0.76,0.13,0.01
SN,CS,shareera,37,7.38,5.0,16.51,0.76,0.13,0.01
SN,CS,shareera,38,7.39,4.99,16.51,0.76,0.13,0.01
SN,CS,shareera,39,7.34,5.0,16.48,0.75,0.13,0.01
SN,CS,shareera,40,7.39,4.97,16.48,0.75,0.13,0.01
SN,CS,shareera,41,7.41,4.96,16.48,0.75,0.13,0.01
SN,CS,shareera,42,7.41,4.95,16.48,0.75,0.13,0.01
SN,CS,shareera,43,7.41,4.95,16.47,0.75,0.13,0.01
SN,CS,shareera,44,7.46,4.92,16.47,0.75,0.13,0.01
SN,CS,shareera,45,7.5,4.89,16.45,0.75,0.13,0.01
