Text_Type,Book,Chapter,Window,Mean,StDev
SN,AH-AS,-,1,21.49,16.94
SN,AH-AS,-,2,19.87,16.44
SN,AH-AS,-,3,19.99,16.58
SN,AH-AS,-,4,17.99,15.49
SN,AH-AS,-,5,18.14,14.88
SN,AH-AS,-,6,19.06,15.45
SN,AH-AS,-,7,18.34,15.34
SN,AH-AS,-,8,18.34,15.34
SN,AH-AS,-,9,19.3,15.25
SN,AH-AS,-,10,18.57,14.85
SN,AH-AS,-,11,18.78,15.39
SN,AH-AS,-,12,17.58,14.89
SN,AH-AS,-,13,18.21,14.73
SN,AH-AS,-,14,18.81,14.81
SN,AH-AS,-,15,18.98,13.92
SN,AH-AS,-,16,18.98,13.92
SN,AH-AS,-,17,17.95,13.73
SN,AH-AS,-,18,17.95,13.31
SN,AH-AS,-,19,16.39,12.55
SN,AH-AS,-,20,16.47,12.36
SN,AH-AS,-,21,16.39,11.94
SN,AH-AS,-,22,16.14,12.76
SN,AH-AS,-,23,16.22,11.83
SN,AH-AS,-,24,16.44,12.9
SN,AH-AS,-,25,16.64,12.54
SN,AH-AS,-,26,17.69,13
SN,AH-AS,-,27,17.35,13.06
SN,AH-AS,-,28,16.83,12.97
SN,AH-AS,-,29,16.66,14.23
SN,AH-AS,-,30,16.57,14.61
SN,AH-AS,-,31,16.81,14.93
SN,AH-AS,-,32,17.38,15.15
SN,AH-AS,-,33,17.41,15
SN,AH-AS,-,34,18.18,15.17
SN,AH-AS,-,35,18.69,15.41
SN,AH-AS,-,36,18.94,15.31
SN,AH-AS,-,37,17.6,14.83
SN,AH-AS,-,38,16.74,14.8
SN,AH-AS,-,39,15.72,13.39
SN,AH-AS,-,40,15.89,13.71
SN,AH-AS,-,41,16.85,12.33
SN,AH-AS,-,42,16.6,12.53
SN,AH-AS,-,43,16.04,11.69
SN,AH-AS,-,44,15.36,11.6
SN,AH-AS,-,45,13.54,10
SN,AH-AS,-,46,13.75,10.05
SN,AH-AS,-,47,13.9,9.13
SN,AH-AS,-,48,13.74,9.91
SN,AH-AS,-,49,14.66,9.58
SN,AH-AS,-,50,14.75,10.07
SN,AH-AS,-,51,16.2,9.96
SN,AH-AS,-,52,16.12,9.99
SN,AH-AS,-,53,16.63,9.81
SN,AH-AS,-,54,17.3,9.64
SN,AH-AS,-,55,18.15,9.84
SN,AH-AS,-,56,17.76,9.59
SN,AH-AS,-,57,17.75,8.78
SN,AH-AS,-,58,16.89,8.2
SN,AH-AS,-,59,16.25,8.27
SN,AH-AS,-,60,17.02,8.32
SN,AH-AS,-,61,18.15,8.08
SN,AH-AS,-,62,18.88,8.18
SN,AH-AS,-,63,19.03,8.43
SN,AH-AS,-,64,18.59,9.63
SN,AH-AS,-,65,17.51,9.47
SN,AH-AS,-,66,17.22,10.66
SN,AH-AS,-,67,17.06,10.74
SN,AH-AS,-,68,16.84,11.14
SN,AH-AS,-,69,16.31,11.65
SN,AH-AS,-,70,16.49,13
SN,AH-AS,-,71,17.14,13.17
SN,AH-AS,-,72,17.27,14.21
SN,AH-AS,-,73,17.37,14.04
SN,AH-AS,-,74,16.83,14.61
SN,AH-AS,-,75,16.6,14.4
SN,AH-AS,-,76,17.01,15.13
SN,AH-AS,-,77,17.02,15.22
SN,AH-AS,-,78,17.26,15.66
SN,AH-AS,-,79,16.96,15.29
SN,AH-AS,-,80,17.39,15.18
SN,AH-AS,-,81,18.14,14.7
SN,AH-AS,-,82,18.95,16.03
SN,AH-AS,-,83,19.34,15.88
SN,AH-AS,-,84,18.44,15.46
SN,AH-AS,-,85,18.5,15.38
SN,AH-AS,-,86,18.48,15.76
SN,AH-AS,-,87,20.19,16.62
SN,AH-AS,-,88,20.65,16.51
SN,AH-AS,-,89,19.81,15.98
SN,AH-AS,-,90,19.5,15.86
SN,AH-AS,-,91,19.81,16.09
SN,AH-AS,-,92,19.53,15.47
SN,AH-AS,-,93,19.2,15.1
SN,AH-AS,-,94,20.17,15.15
SN,AH-AS,-,95,19.94,15.2
SN,AH-AS,-,96,18.7,15.19
SN,AH-AS,-,97,18.08,15.1
SN,AH-AS,-,98,18.13,15.61
SN,AH-AS,-,99,17.86,15.61
SN,AH-AS,-,100,17.84,15.84
SN,AH-AS,-,101,17.82,15.49
SN,AH-AS,-,102,17.11,14.76
SN,AH-AS,-,103,16.97,13.66
SN,AH-AS,-,104,16.33,13.68
SN,AH-AS,-,105,16.14,13.54
SN,AH-AS,-,106,17.48,14.87
SN,AH-AS,-,107,18.45,15.18
SN,AH-AS,-,108,18.49,15.88
SN,AH-AS,-,109,17.25,15.82
SN,AH-AS,-,110,17,16.28
SN,AH-AS,-,111,17.31,16.7
SN,AH-AS,-,112,17.07,16.18
SN,AH-AS,-,113,15.13,14.3
SN,AH-AS,-,114,15.28,14.34
SN,AH-AS,-,115,16.42,14.05
SN,AH-AS,-,116,15.93,13.3
SN,AH-AS,-,117,16.39,13.87
SN,AH-AS,-,118,15.81,13.22
SN,AH-AS,-,119,15.4,12.01
SN,AH-AS,-,120,15.15,12.13
SN,AH-AS,-,121,15.54,12.17
SN,AH-AS,-,122,15.78,12.29
SN,AH-AS,-,123,15.25,12
