Text_Type,Book,Chapter,Window,Mean,StDev
SN,AH,uttara,1,18.37,17.34
SN,AH,uttara,2,17.02,17.27
SN,AH,uttara,3,17.03,17.18
SN,AH,uttara,4,15.29,16.45
SN,AH,uttara,5,15.35,15.64
SN,AH,uttara,6,16.17,16.38
SN,AH,uttara,7,15.62,16.59
SN,AH,uttara,8,15.62,16.59
SN,AH,uttara,9,16.5,16.45
SN,AH,uttara,10,16.06,16.33
SN,AH,uttara,11,16.17,16.63
SN,AH,uttara,12,15.19,16.51
SN,AH,uttara,13,15.76,16.52
SN,AH,uttara,14,16.13,16.83
SN,AH,uttara,15,16.41,16.15
SN,AH,uttara,16,16.41,16.15
SN,AH,uttara,17,15.58,16.41
SN,AH,uttara,18,15.6,16.05
SN,AH,uttara,19,14.3,15.33
SN,AH,uttara,20,14.46,15.17
SN,AH,uttara,21,14.56,14.98
SN,AH,uttara,22,14.09,15.48
SN,AH,uttara,23,14.57,14.89
SN,AH,uttara,24,14.53,15.93
SN,AH,uttara,25,15.01,16.23
SN,AH,uttara,26,15.76,16.42
SN,AH,uttara,27,15.24,15.93
SN,AH,uttara,28,14.76,15.63
SN,AH,uttara,29,14.26,16.49
SN,AH,uttara,30,14.21,16.85
SN,AH,uttara,31,14.21,16.73
SN,AH,uttara,32,14.62,16.56
SN,AH,uttara,33,14.68,16.3
SN,AH,uttara,34,15.35,16.21
SN,AH,uttara,35,15.72,16.12
SN,AH,uttara,36,16.06,15.94
SN,AH,uttara,37,14.81,15.4
SN,AH,uttara,38,14.26,15.6
SN,AH,uttara,39,13.96,14.59
SN,AH,uttara,40,14.32,14.94
SN,AH,uttara,41,15.79,13.89
SN,AH,uttara,42,15.47,14.1
SN,AH,uttara,43,15.09,13.37
SN,AH,uttara,44,14.31,13.25
SN,AH,uttara,45,13.5,13.42
SN,AH,uttara,46,13.63,13.49
SN,AH,uttara,47,14.2,12.89
SN,AH,uttara,48,13.8,13.41
SN,AH,uttara,49,14.75,12.75
SN,AH,uttara,50,14.55,12.85
SN,AH,uttara,51,16.01,12.53
SN,AH,uttara,52,15.91,12.6
SN,AH,uttara,53,16.64,12.79
SN,AH,uttara,54,17.45,12.72
SN,AH,uttara,55,18.2,12.61
SN,AH,uttara,56,17.93,12.38
SN,AH,uttara,57,18.39,12.08
SN,AH,uttara,58,17.7,12.07
SN,AH,uttara,59,17.02,12.41
SN,AH,uttara,60,17.67,12.65
SN,AH,uttara,61,19.02,12.52
SN,AH,uttara,62,19.67,12.37
SN,AH,uttara,63,19.68,12.46
SN,AH,uttara,64,18.56,13.24
SN,AH,uttara,65,17.48,13.5
SN,AH,uttara,66,16.5,14.1
SN,AH,uttara,67,16.23,14.19
SN,AH,uttara,68,16.05,14.75
SN,AH,uttara,69,15.41,15.15
SN,AH,uttara,70,14.78,15.28
SN,AH,uttara,71,15.37,15.26
SN,AH,uttara,72,15.24,16.26
SN,AH,uttara,73,15.35,16.13
SN,AH,uttara,74,14.82,16.78
SN,AH,uttara,75,14.76,16.56
SN,AH,uttara,76,15.12,17.63
SN,AH,uttara,77,15.13,17.8
SN,AH,uttara,78,15.21,18.07
SN,AH,uttara,79,15.01,17.85
SN,AH,uttara,80,15.55,17.93
SN,AH,uttara,81,16.52,17.87
SN,AH,uttara,82,16.97,18.9
SN,AH,uttara,83,17.54,18.06
SN,AH,uttara,84,16.68,17.37
SN,AH,uttara,85,17.06,17.4
SN,AH,uttara,86,17.07,17.91
SN,AH,uttara,87,18.77,18.64
SN,AH,uttara,88,19.24,18.37
SN,AH,uttara,89,18.5,18.05
SN,AH,uttara,90,18.1,17.41
SN,AH,uttara,91,18.41,17.62
SN,AH,uttara,92,18.01,16.66
SN,AH,uttara,93,17.67,16.08
SN,AH,uttara,94,18.74,16.06
SN,AH,uttara,95,18.39,15.89
SN,AH,uttara,96,17.04,16.0
SN,AH,uttara,97,16.51,16.21
SN,AH,uttara,98,16.3,16.5
SN,AH,uttara,99,15.86,16.38
SN,AH,uttara,100,15.62,16.46
SN,AH,uttara,101,15.87,16.47
SN,AH,uttara,102,15.24,15.85
SN,AH,uttara,103,15.14,14.6
SN,AH,uttara,104,14.49,14.61
SN,AH,uttara,105,14.4,14.66
SN,AH,uttara,106,15.22,15.43
SN,AH,uttara,107,16.05,15.43
SN,AH,uttara,108,15.7,16.14
SN,AH,uttara,109,14.61,16.41
SN,AH,uttara,110,14.3,16.92
SN,AH,uttara,111,14.39,17.14
SN,AH,uttara,112,14.1,16.72
SN,AH,uttara,113,12.9,15.65
SN,AH,uttara,114,13.03,15.83
SN,AH,uttara,115,14.33,16.23
SN,AH,uttara,116,14.04,15.44
SN,AH,uttara,117,14.43,15.87
SN,AH,uttara,118,14.33,15.64
SN,AH,uttara,119,14.41,15.51
SN,AH,uttara,120,14.19,15.79
SN,AH,uttara,121,14.63,15.64
SN,AH,uttara,122,14.64,15.14
SN,AH,uttara,123,14.26,14.89
SN,AH,uttara,124,14.39,15.01
SN,AH,uttara,125,14.07,14.87
SN,AH,uttara,126,14.29,13.87
SN,AH,uttara,127,14.47,14.49
SN,AH,uttara,128,15.2,15.19
SN,AH,uttara,129,14.98,15.28
SN,AH,uttara,130,15.02,15.58
SN,AH,uttara,131,14.62,14.92
SN,AH,uttara,132,14.66,14.78
SN,AH,uttara,133,14.89,14.89
SN,AH,uttara,134,15.33,14.34
SN,AH,uttara,135,16.55,14.16
SN,AH,uttara,136,15.73,14.35
SN,AH,uttara,137,15.87,14.88
SN,AH,uttara,138,17.66,15.63
SN,AH,uttara,139,16.89,15.8
SN,AH,uttara,140,18.23,15.92
SN,AH,uttara,141,17.2,15.88
SN,AH,uttara,142,16.37,15.71
SN,AH,uttara,143,15.5,16.55
SN,AH,uttara,144,17.11,16.93
SN,AH,uttara,145,17.36,16.29
SN,AH,uttara,146,17.36,16.06
SN,AH,uttara,147,16.88,16.27
SN,AH,uttara,148,16.6,16.48
SN,AH,uttara,149,15.76,15.6
SN,AH,uttara,150,15.6,15.49
SN,AH,uttara,151,15.38,16.69
SN,AH,uttara,152,15.47,16.42
SN,AH,uttara,153,16.97,16.95
SN,AH,uttara,154,18.7,17.06
SN,AH,uttara,155,18.45,16.33
SN,AH,uttara,156,19.44,16.09
SN,AH,uttara,157,18.44,15.7
SN,AH,uttara,158,18.77,14.95
SN,AH,uttara,159,18.96,14.53
SN,AH,uttara,160,18.79,14.4
SN,AH,uttara,161,18.73,13.86
