Text_Type,Book,Chapter,Window,Mean,StDev
SN,AH,uttara,1,24.46,22.2
SN,AH,uttara,2,26.28,23.15
SN,AH,uttara,3,26.1,24.27
SN,AH,uttara,4,24.0,23.84
SN,AH,uttara,5,24.05,23.77
SN,AH,uttara,6,22.26,22.74
SN,AH,uttara,7,23.04,22.34
SN,AH,uttara,8,21.87,22.26
SN,AH,uttara,9,21.25,22.24
SN,AH,uttara,10,21.25,22.24
SN,AH,uttara,11,21.75,22.07
SN,AH,uttara,12,21.04,21.65
SN,AH,uttara,13,21.31,21.85
SN,AH,uttara,14,20.84,21.85
SN,AH,uttara,15,21.16,21.47
SN,AH,uttara,16,22.17,21.93
SN,AH,uttara,17,21.96,21.51
SN,AH,uttara,18,21.91,21.36
SN,AH,uttara,19,20.89,20.89
SN,AH,uttara,20,20.16,20.25
SN,AH,uttara,21,19.18,19.91
SN,AH,uttara,22,18.81,19.67
SN,AH,uttara,23,18.48,19.13
SN,AH,uttara,24,18.7,19.57
SN,AH,uttara,25,18.48,19.13
SN,AH,uttara,26,18.69,19.15
SN,AH,uttara,27,18.92,19.33
SN,AH,uttara,28,19.61,19.5
SN,AH,uttara,29,19.01,19.1
SN,AH,uttara,30,19.14,19.0
SN,AH,uttara,31,19.19,19.99
SN,AH,uttara,32,19.31,20.39
SN,AH,uttara,33,19.32,19.98
SN,AH,uttara,34,19.26,19.96
SN,AH,uttara,35,19.18,19.85
SN,AH,uttara,36,19.4,19.94
SN,AH,uttara,37,20.41,21.0
SN,AH,uttara,38,20.26,20.71
SN,AH,uttara,39,21.03,20.92
SN,AH,uttara,40,21.7,21.92
SN,AH,uttara,41,22.56,22.18
SN,AH,uttara,42,22.68,22.08
SN,AH,uttara,43,22.98,21.86
SN,AH,uttara,44,23.91,22.34
SN,AH,uttara,45,22.76,21.86
SN,AH,uttara,46,22.63,21.72
SN,AH,uttara,47,21.86,20.2
SN,AH,uttara,48,21.09,19.73
SN,AH,uttara,49,21.41,19.43
SN,AH,uttara,50,21.06,20.01
SN,AH,uttara,51,21.14,20.14
SN,AH,uttara,52,21.13,19.63
SN,AH,uttara,53,21.82,19.77
SN,AH,uttara,54,21.99,19.76
SN,AH,uttara,55,22.4,19.57
SN,AH,uttara,56,22.85,19.46
SN,AH,uttara,57,22.73,18.92
SN,AH,uttara,58,22.16,18.92
SN,AH,uttara,59,23.4,19.37
SN,AH,uttara,60,21.95,19.17
SN,AH,uttara,61,20.78,18.85
SN,AH,uttara,62,20.47,18.2
SN,AH,uttara,63,20.25,17.93
SN,AH,uttara,64,20.58,18.08
SN,AH,uttara,65,21.22,17.86
SN,AH,uttara,66,21.16,17.72
SN,AH,uttara,67,22.32,17.91
SN,AH,uttara,68,21.47,17.68
SN,AH,uttara,69,19.92,17.53
SN,AH,uttara,70,19.91,18.08
SN,AH,uttara,71,20.79,18.12
SN,AH,uttara,72,19.99,19.66
SN,AH,uttara,73,20.36,19.82
SN,AH,uttara,74,20.5,20.0
SN,AH,uttara,75,20.4,18.93
SN,AH,uttara,76,20.16,18.99
SN,AH,uttara,77,20.1,19.51
SN,AH,uttara,78,19.52,19.89
SN,AH,uttara,79,19.95,20.7
SN,AH,uttara,80,19.43,20.65
SN,AH,uttara,81,19.57,20.59
SN,AH,uttara,82,19.88,21.18
SN,AH,uttara,83,20.15,21.67
SN,AH,uttara,84,19.56,20.71
SN,AH,uttara,85,19.74,20.86
SN,AH,uttara,86,19.39,20.64
SN,AH,uttara,87,19.33,20.39
SN,AH,uttara,88,19.36,20.35
SN,AH,uttara,89,19.44,20.51
SN,AH,uttara,90,20.09,20.6
SN,AH,uttara,91,19.69,20.65
SN,AH,uttara,92,20.19,20.42
SN,AH,uttara,93,20.31,20.67
SN,AH,uttara,94,20.89,20.51
SN,AH,uttara,95,20.97,20.44
SN,AH,uttara,96,22.87,20.72
SN,AH,uttara,97,22.13,20.61
SN,AH,uttara,98,22.11,21.11
SN,AH,uttara,99,22.69,21.21
SN,AH,uttara,100,24.03,22.04
SN,AH,uttara,101,23.44,21.59
SN,AH,uttara,102,23.52,21.6
SN,AH,uttara,103,23.52,21.6
SN,AH,uttara,104,24.74,21.05
SN,AH,uttara,105,23.96,20.92
SN,AH,uttara,106,24.16,20.96
SN,AH,uttara,107,24.98,21.31
SN,AH,uttara,108,24.3,21.09
SN,AH,uttara,109,24.13,21.25
SN,AH,uttara,110,24.19,21.0
SN,AH,uttara,111,24.27,21.08
SN,AH,uttara,112,24.21,21.59
SN,AH,uttara,113,24.1,21.15
SN,AH,uttara,114,24.5,20.7
SN,AH,uttara,115,25.16,20.83
SN,AH,uttara,116,23.77,20.64
SN,AH,uttara,117,23.35,21.02
SN,AH,uttara,118,23.65,21.11
SN,AH,uttara,119,24.35,21.57
SN,AH,uttara,120,23.97,21.24
SN,AH,uttara,121,23.59,20.9
SN,AH,uttara,122,23.09,20.97
SN,AH,uttara,123,23.45,20.36
SN,AH,uttara,124,23.06,20.47
SN,AH,uttara,125,22.94,20.2
SN,AH,uttara,126,23.05,20.11
SN,AH,uttara,127,23.45,19.77
SN,AH,uttara,128,25.16,19.89
SN,AH,uttara,129,24.97,20.37
SN,AH,uttara,130,25.12,21.31
SN,AH,uttara,131,24.66,21.46
SN,AH,uttara,132,24.97,21.08
SN,AH,uttara,133,24.74,21.34
SN,AH,uttara,134,24.38,21.71
SN,AH,uttara,135,25.46,21.48
SN,AH,uttara,136,26.88,21.5
SN,AH,uttara,137,25.17,21.43
SN,AH,uttara,138,24.43,21.8
SN,AH,uttara,139,25.78,21.73
SN,AH,uttara,140,25.0,21.7
SN,AH,uttara,141,24.02,21.63
SN,AH,uttara,142,23.63,21.22
SN,AH,uttara,143,25.13,20.87
SN,AH,uttara,144,24.17,20.99
SN,AH,uttara,145,21.65,20.31
SN,AH,uttara,146,21.09,20.75
SN,AH,uttara,147,20.37,20.75
SN,AH,uttara,148,20.94,21.47
