Text_Type,Book,Chapter,Window,GLL,GGG,G,LLG,LGL,GLG,GGL,LGG,L,LLL,LG,LL,GG,GL
SN,AH_CS,-,1,11,37,21,9,31,24,16,6,1,0,0,0,0,0
SN,AH_CS,-,2,11,35,21,10,31,25,15,7,1,0,0,0,0,0
SN,AH_CS,-,3,11,35,21,9,31,26,15,7,1,0,0,0,0,0
SN,AH_CS,-,4,11,33,20,10,31,25,16,8,2,0,0,0,0,0
SN,AH_CS,-,5,11,31,19,11,31,26,17,7,3,0,0,0,0,0
SN,AH_CS,-,6,10,29,20,13,31,26,16,6,3,0,0,0,0,0
SN,AH_CS,-,7,10,29,20,13,31,26,15,7,3,0,0,0,0,0
SN,AH_CS,-,8,10,29,20,13,31,26,15,7,3,0,0,0,0,0
SN,AH_CS,-,9,10,30,20,14,30,25,16,6,3,0,0,0,0,0
SN,AH_CS,-,10,11,29,20,14,30,25,15,7,3,0,0,0,0,0
SN,AH_CS,-,11,11,29,20,13,32,24,15,7,3,0,0,0,0,0
SN,AH_CS,-,12,10,28,20,14,31,24,16,8,3,0,0,0,0,0
SN,AH_CS,-,13,10,29,19,14,31,24,15,8,4,0,0,0,0,0
SN,AH_CS,-,14,8,31,18,14,30,25,15,8,5,0,0,0,0,0
SN,AH_CS,-,15,8,33,17,15,28,26,16,8,5,0,0,0,0,0
SN,AH_CS,-,16,8,33,17,15,28,26,16,8,5,0,0,0,0,0
SN,AH_CS,-,17,7,34,17,14,27,25,17,10,5,0,0,0,0,0
SN,AH_CS,-,18,7,34,17,14,25,27,17,10,5,0,0,0,0,0
SN,AH_CS,-,19,7,33,17,13,24,30,18,12,4,0,0,0,0,0
SN,AH_CS,-,20,8,32,17,13,24,32,16,12,4,0,0,0,0,0
SN,AH_CS,-,21,8,31,17,13,23,33,16,13,4,0,0,0,0,0
SN,AH_CS,-,22,7,29,18,12,24,33,16,13,4,0,0,0,0,0
SN,AH_CS,-,23,8,28,17,12,24,35,15,15,4,0,0,0,0,0
SN,AH_CS,-,24,6,27,18,12,25,34,15,15,4,0,0,0,0,0
SN,AH_CS,-,25,5,27,18,13,24,32,16,17,4,0,0,0,0,0
SN,AH_CS,-,26,4,27,18,13,24,34,16,16,4,0,0,0,0,0
SN,AH_CS,-,27,4,27,18,12,24,34,18,15,4,0,0,0,0,0
SN,AH_CS,-,28,4,26,18,12,25,32,20,15,4,0,0,0,0,0
SN,AH_CS,-,29,4,27,19,11,27,33,18,14,3,0,0,0,0,0
SN,AH_CS,-,30,4,27,20,11,27,33,18,14,2,0,0,0,0,0
SN,AH_CS,-,31,4,28,20,10,27,33,19,13,2,0,0,0,0,0
SN,AH_CS,-,32,4,26,20,10,28,35,19,12,2,0,0,0,0,0
