Text_Type,Book,Chapter,Window,GLL,GGL,LG,GGG,LGL,LLL,GLG,L,G,LGG,LLG,LL,GG,GL
SN,AS-CS,-,1,6,16,1,30,33,1,25,2,22,4,8,0,0,0
SN,AS-CS,-,2,7,16,1,30,34,0,26,2,22,3,8,0,0,0
SN,AS-CS,-,3,8,16,0,31,35,0,24,2,23,4,7,0,0,0
SN,AS-CS,-,4,8,15,0,29,35,0,24,2,23,5,9,0,0,0
SN,AS-CS,-,5,8,15,0,28,35,0,26,2,23,5,8,0,0,0
SN,AS-CS,-,6,8,16,0,26,35,0,25,3,22,6,9,0,0,0
SN,AS-CS,-,7,8,17,0,26,35,0,24,4,21,5,10,0,0,0
SN,AS-CS,-,8,8,17,0,24,35,0,24,3,22,6,11,0,0,0
SN,AS-CS,-,9,8,16,0,24,35,0,24,3,22,7,11,0,0,0
SN,AS-CS,-,10,8,16,0,24,35,0,24,3,22,7,11,0,0,0
SN,AS-CS,-,11,8,17,0,25,34,0,23,3,22,6,12,0,0,0
SN,AS-CS,-,12,9,16,0,24,34,0,23,3,22,7,12,0,0,0
SN,AS-CS,-,13,9,17,0,24,35,0,22,3,22,7,11,0,0,0
SN,AS-CS,-,14,8,17,0,23,35,0,22,3,22,8,12,0,0,0
SN,AS-CS,-,15,9,16,0,24,35,0,21,4,21,8,12,0,0,0
SN,AS-CS,-,16,8,15,0,26,35,0,22,5,20,7,12,0,0,0
SN,AS-CS,-,17,8,16,0,28,33,0,21,5,20,7,12,0,0,0
SN,AS-CS,-,18,8,16,0,27,33,0,21,5,20,7,13,0,0,0
SN,AS-CS,-,19,7,18,0,27,32,0,20,5,20,9,12,0,0,0
SN,AS-CS,-,20,7,18,0,27,30,0,22,5,20,9,12,0,0,0
SN,AS-CS,-,21,7,19,0,26,29,0,23,4,21,10,11,0,0,0
SN,AS-CS,-,22,8,17,0,25,29,0,25,4,21,10,11,0,0,0
SN,AS-CS,-,23,8,17,0,24,28,0,26,4,21,11,11,0,0,0
SN,AS-CS,-,24,7,17,0,25,28,0,26,4,21,11,11,0,0,0
SN,AS-CS,-,25,8,17,0,24,28,0,26,4,21,11,11,0,0,0
SN,AS-CS,-,26,7,17,0,24,27,0,27,4,21,11,12,0,0,0
SN,AS-CS,-,27,6,17,0,24,27,0,25,4,21,13,13,0,0,0
SN,AS-CS,-,28,5,18,0,23,27,0,26,4,21,12,14,0,0,0
SN,AS-CS,-,29,6,19,0,23,27,0,27,4,21,11,12,0,0,0
SN,AS-CS,-,30,6,20,0,23,27,0,25,4,21,11,13,0,0,0
SN,AS-CS,-,31,6,18,0,25,27,0,26,3,22,10,13,0,0,0
SN,AS-CS,-,32,6,18,0,25,27,0,27,2,23,10,12,0,0,0
SN,AS-CS,-,33,7,19,0,27,27,0,26,3,22,9,10,0,0,0
SN,AS-CS,-,34,7,19,0,27,27,0,25,3,22,9,11,0,0,0
SN,AS-CS,-,35,7,20,0,25,28,0,25,3,22,9,11,0,0,0
SN,AS-CS,-,36,7,21,0,24,29,0,25,3,22,9,10,0,0,0
SN,AS-CS,-,37,6,21,0,24,31,0,25,3,22,8,10,0,0,0
SN,AS-CS,-,38,6,21,0,24,30,0,26,3,22,8,10,0,0,0
